## FlyBase gene genetic interactions report
## Generated: Sat May 29 01:03:13 2021
## Using datasource: dbi:Pg:dbname=fb_2021_03_reporting;host=flysql20;port=5432

##Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type	Publication_FBrf
Fmr1	FBgn0028734	Adar	FBgn0026086	suppressible	FBrf0216747
baz	FBgn0000163	CG5823	FBgn0038515	enhanceable	FBrf0210449
cry	FBgn0025680	Rh7	FBgn0036260	suppressible	FBrf0237162
cin	FBgn0000316	Mocs1	FBgn0263241	enhanceable	FBrf0027911
p53	FBgn0039044	Myt1	FBgn0040298	suppressible	FBrf0149024
kud	FBgn0036667	klar	FBgn0001316	suppressible	FBrf0236591
ey	FBgn0005558	dpp	FBgn0000490	enhanceable	FBrf0106322
Pez	FBgn0031799	hpo	FBgn0261456	suppressible	FBrf0217766
CycE	FBgn0010382	l(1)air6	FBgn0004481	suppressible	FBrf0180291
β-Spec	FBgn0250788	sli	FBgn0264089	enhanceable	FBrf0194635
cindr	FBgn0027598	Mtl|Rac1|Rac2	FBgn0039532|FBgn0010333|FBgn0014011	enhanceable	FBrf0204348
Hip14	FBgn0259824	Csp::nSyb	FBgn0259919	suppressible	FBrf0200919
sima	FBgn0266411	Hph	FBgn0264785	suppressible	FBrf0210110
Sema1a	FBgn0011259	trol	FBgn0284408	suppressible	FBrf0219528
dx	FBgn0000524	Su(H)	FBgn0004837	suppressible	FBrf0190133
bgm	FBgn0027348	hll	FBgn0286723	enhanceable	FBrf0231861
Ras85D	FBgn0003205	Pten	FBgn0026379	suppressible	FBrf0234055
mir-9a	FBgn0262373	sNPF-R	FBgn0036934	suppressible	FBrf0228895
wkd	FBgn0037917	Rab35	FBgn0031090	suppressible	FBrf0217936
Tsc1|gig	FBgn0026317|FBgn0005198	CstF64	FBgn0027841	suppressible	FBrf0238799
Pkn	FBgn0020621	sqh	FBgn0003514	enhanceable	FBrf0226238
L	FBgn0267825	hh	FBgn0004644	enhanceable	FBrf0187660
pic	FBgn0260962	yki	FBgn0034970	suppressible	FBrf0242621
mor	FBgn0002783	Bap60	FBgn0025463	enhanceable	FBrf0187959
Rbf	FBgn0015799	mir-998	FBgn0262405	enhanceable	FBrf0225736
w	FBgn0003996	su(f)	FBgn0003559	enhanceable	unattributed
Cad99C	FBgn0039709	Uev1A	FBgn0035601	suppressible	FBrf0238353
Egfr	FBgn0003731	aos	FBgn0004569	enhanceable	FBrf0195051
GlyRS	FBgn0027088	corolla	FBgn0267967	enhanceable	FBrf0225414
Pink1	FBgn0029891	Mcad	FBgn0035811	suppressible	FBrf0238892
Arr2	FBgn0000121	Camta	FBgn0287478	enhanceable	FBrf0192912
nmo	FBgn0011817	net	FBgn0002931	enhanceable	FBrf0134745
Zip42C.1|ZnT63C	FBgn0033096|FBgn0035432	Zip88E	FBgn0038312	enhanceable	FBrf0220942
ci	FBgn0004859	cg	FBgn0000289	enhanceable	FBrf0129753
dom	FBgn0020306	pum	FBgn0003165	enhanceable	FBrf0221645
N	FBgn0004647	mahe	FBgn0029979	suppressible	FBrf0230136
puc	FBgn0243512	hep	FBgn0010303	suppressible	FBrf0167481
dpp	FBgn0000490	shn	FBgn0003396	suppressible	FBrf0131410
Pka-C1	FBgn0000273	Pka-R1	FBgn0259243	suppressible	FBrf0108217
hh	FBgn0004644	Su(hh)VII	FBgn0043560	suppressible	FBrf0131307
bw	FBgn0000241	Mod(Prat:bw)3-10	FBgn0067876	suppressible	FBrf0162143
E(z)	FBgn0000629	ash1	FBgn0005386	enhanceable	FBrf0141551
sli	FBgn0264089	Egfr	FBgn0003731	suppressible	FBrf0211962
bi	FBgn0000179	ci	FBgn0004859	suppressible	FBrf0183859
E2f1	FBgn0011766	Scm	FBgn0003334	suppressible	FBrf0220353
Atg1	FBgn0260945	bsk	FBgn0000229	suppressible	FBrf0208921
tim	FBgn0014396	per	FBgn0003068	suppressible	FBrf0128628
drl	FBgn0015380	dnt	FBgn0024245	suppressible	FBrf0106033
dx	FBgn0000524	Kap-α3	FBgn0027338	enhanceable	FBrf0222099
tor	FBgn0003733	Su(tor)3-91	FBgn0014070	suppressible	FBrf0058535
baz	FBgn0000163	Arf79F	FBgn0010348	enhanceable	FBrf0210449
Snr1	FBgn0011715	rho	FBgn0004635	suppressible	FBrf0174517
Atg1	FBgn0260945	Diap1	FBgn0260635	suppressible	FBrf0208086
Abl	FBgn0000017	Lar	FBgn0000464	suppressible	FBrf0152273
Myc	FBgn0262656	hfp	FBgn0028577	suppressible	FBrf0174559
Ras85D|emei	FBgn0003205|FBgn0036133	bsk	FBgn0000229	suppressible	FBrf0246782
d	FBgn0262029	Fbxl7	FBgn0038385	enhanceable	FBrf0226551
smo	FBgn0003444	gish	FBgn0250823	suppressible	FBrf0232603
Nsf2	FBgn0266464	lola	FBgn0283521	suppressible	FBrf0187645
svp	FBgn0003651	usp	FBgn0003964	suppressible	FBrf0086205
Fmr1	FBgn0028734	dco	FBgn0002413	suppressible	FBrf0208636
kirre	FBgn0028369	sns	FBgn0024189	enhanceable	FBrf0211429
z	FBgn0004050	mxc	FBgn0260789	suppressible	FBrf0080370
DCTN1-p150	FBgn0001108	Dhc64C	FBgn0261797	suppressible	FBrf0205741
hep	FBgn0010303	btl	FBgn0285896	suppressible	FBrf0192599
shrb	FBgn0086656	Atg6	FBgn0264325	suppressible	FBrf0220946
da	FBgn0267821	da::Drer\tcf3a	FBgn0022337	suppressible	FBrf0097887
Ubx	FBgn0003944	Dl	FBgn0000463	enhanceable	FBrf0190145
btl|stumps	FBgn0285896|FBgn0020299	Atg1	FBgn0260945	enhanceable	FBrf0187664
E(Pc)	FBgn0000581	aop	FBgn0000097	suppressible	FBrf0234777
Su(H)	FBgn0004837	H	FBgn0001169	suppressible	FBrf0216786
pnr	FBgn0003117	Doc2	FBgn0035956	enhanceable	FBrf0190316
bond|Pex2	FBgn0260942|FBgn0035876	Pex10	FBgn0035233	suppressible	FBrf0209624
mago	FBgn0002736	osk	FBgn0003015	suppressible	FBrf0222456
cindr	FBgn0027598	WASp	FBgn0024273	enhanceable	FBrf0204348
Pka-C1	FBgn0000273	wg	FBgn0284084	suppressible	FBrf0080213
Ras85D|dlg1	FBgn0003205|FBgn0001624	ImpL2	FBgn0001257	suppressible	FBrf0228029
Ser	FBgn0004197	fng	FBgn0011591	suppressible	FBrf0098268
Pect	FBgn0032482	Pisd	FBgn0026576	enhanceable	FBrf0247107
Lsd-2	FBgn0030608	foxo	FBgn0038197	enhanceable	FBrf0241122
vg	FBgn0003975	yki	FBgn0034970	suppressible	FBrf0229775
ftz	FBgn0001077	E(ftz)4038	FBgn0082680	enhanceable	FBrf0180288
hng1	FBgn0034599	wg	FBgn0284084	suppressible	FBrf0224045
grim	FBgn0015946	Akt	FBgn0010379	suppressible	FBrf0226463
rho	FBgn0004635	grk	FBgn0001137	suppressible	FBrf0100630
pbl	FBgn0003041	cdc14	FBgn0031952	suppressible	FBrf0199094
bchs	FBgn0043362	Usp7	FBgn0030366	enhanceable	FBrf0201586
foxo	FBgn0038197	Pi3K92E	FBgn0015279	enhanceable	FBrf0162177
Chi	FBgn0013764	tup	FBgn0003896	suppressible	FBrf0190092
ppk29	FBgn0034965	Dcr-2	FBgn0034246	suppressible	FBrf0224495
hppy	FBgn0263395	S6k	FBgn0283472	suppressible	FBrf0212911
kn	FBgn0001319	asrij	FBgn0034793	suppressible	FBrf0222511
moon	FBgn0030373	Trf2|del	FBgn0261793|FBgn0086251	suppressible	FBrf0236603
N	FBgn0004647	neur	FBgn0002932	enhanceable	FBrf0134543
dom	FBgn0020306	CG4617	FBgn0029936	suppressible	FBrf0230159
CycE	FBgn0010382	dsh	FBgn0000499	suppressible	FBrf0180291
tkv	FBgn0003716	N	FBgn0004647	suppressible	FBrf0092741
Apc	FBgn0015589	ebd1	FBgn0035153	suppressible	FBrf0236090
PlexA	FBgn0025741	Lar	FBgn0000464	enhanceable	FBrf0241779
CycE	FBgn0010382	stg	FBgn0003525	enhanceable	FBrf0103367
Det	FBgn0264291	hts	FBgn0263391	suppressible	FBrf0222435
apt	FBgn0015903	slbo	FBgn0005638	suppressible	FBrf0204922
Sema5c	FBgn0284221	PlexA	FBgn0025741	suppressible	FBrf0241779
CG1139	FBgn0035300	Tor	FBgn0021796	enhanceable	FBrf0187461
cnk	FBgn0286070	Rap1	FBgn0004636	enhanceable	FBrf0226731
pros	FBgn0004595	sv	FBgn0005561	suppressible	FBrf0213993
Aplip1	FBgn0040281	hiw	FBgn0030600	suppressible	FBrf0222265
Eip75B	FBgn0000568	Rheb	FBgn0041191	suppressible	FBrf0230650
Pkn	FBgn0020621	flw	FBgn0000711	enhanceable	FBrf0226238
crb	FBgn0259685	ex	FBgn0004583	suppressible	FBrf0235878
w	FBgn0003996	pasha	FBgn0039861	suppressible	FBrf0218153
jus	FBgn0039647	Sh	FBgn0003380	suppressible	FBrf0138446
csw	FBgn0000382	Egfr	FBgn0003731	enhanceable	FBrf0129810
Rae1	FBgn0034646	wnd	FBgn0036896	suppressible	FBrf0216253
tra	FBgn0003741	fru	FBgn0004652	suppressible	FBrf0191487
Ras85D	FBgn0003205	dor	FBgn0000482	enhanceable	FBrf0211186
l(1)sc	FBgn0002561	jumu	FBgn0015396	enhanceable	FBrf0101998
svp	FBgn0003651	psq	FBgn0263102	suppressible	FBrf0086124
Dg	FBgn0034072	wun	FBgn0016078	suppressible	FBrf0205440
neur	FBgn0002932	mib1	FBgn0263601	suppressible	FBrf0187469
Pcyt1	FBgn0041342	N|aos	FBgn0004647|FBgn0004569	enhanceable	FBrf0167472
dom	FBgn0020306	tara	FBgn0040071	suppressible	FBrf0221645
ash1	FBgn0005386	trx	FBgn0003862	enhanceable	FBrf0233053
Dref	FBgn0015664	l(1)G0004	FBgn0027334	suppressible	FBrf0207590
robo1	FBgn0005631	kuz	FBgn0259984	enhanceable	FBrf0211121
Abl	FBgn0000017	Rho1	FBgn0014020	enhanceable	FBrf0200818
Vap33	FBgn0029687	CG7564	FBgn0036734	suppressible	FBrf0226712
Pc	FBgn0003042	osa	FBgn0261885	suppressible	FBrf0048952
bul	FBgn0000237	aos	FBgn0004569	enhanceable	FBrf0082770
Ced-12	FBgn0032409	spg	FBgn0264324	enhanceable	FBrf0212890
sca	FBgn0003326	shg	FBgn0003391	enhanceable	FBrf0141477
wun2|wun	FBgn0041087|FBgn0016078	Rac1	FBgn0010333	suppressible	FBrf0210764
BEAF-32	FBgn0015602	sav|wts	FBgn0053193|FBgn0011739	suppressible	FBrf0232800
osk	FBgn0003015	vas	FBgn0283442	suppressible	FBrf0090859
Mkp3	FBgn0036844	rl	FBgn0003256	enhanceable	FBrf0192922
ND-42	FBgn0019957	out	FBgn0259834	suppressible	FBrf0237138
hid	FBgn0003997	D	FBgn0000411	enhanceable	FBrf0167623
Dp|E2f1	FBgn0011763|FBgn0011766	vg	FBgn0003975	suppressible	FBrf0193006
pnr	FBgn0003117	EP1509	FBgn0062685	suppressible	FBrf0147055
Jra|kay	FBgn0001291|FBgn0001297	sgg	FBgn0003371	suppressible	FBrf0207092
sgg	FBgn0003371	arm	FBgn0000117	suppressible	FBrf0213424
aop	FBgn0000097	lncRNA:acal	FBgn0283426	suppressible	FBrf0227624
PDZ-GEF	FBgn0265778	zip	FBgn0287873	enhanceable	FBrf0202988
exp	FBgn0033668	Raf	FBgn0003079	enhanceable	FBrf0225894
Pten	FBgn0026379	Akt	FBgn0010379	suppressible	FBrf0230276
H	FBgn0001169	Tlk	FBgn0283657	enhanceable	FBrf0190751
TER94	FBgn0286784	Der-1	FBgn0267972	enhanceable	FBrf0226358
Nsf2	FBgn0266464	Moe	FBgn0011661	suppressible	FBrf0187645
fz2	FBgn0016797	wg	FBgn0284084	enhanceable	FBrf0105776
slim	FBgn0261477	lic	FBgn0261524	suppressible	FBrf0220253
bdl	FBgn0028482	Lar	FBgn0000464	suppressible	FBrf0223190
PGRP-LF	FBgn0035977	Rel	FBgn0014018	suppressible	FBrf0204914
Ilp5	FBgn0044048	Ilp2	FBgn0036046	suppressible	FBrf0225849
αSnap	FBgn0250791	Nsf2	FBgn0266464	enhanceable	FBrf0174858
pnr	FBgn0003117	lap	FBgn0086372	enhanceable	FBrf0147055
Src42A	FBgn0264959	rl	FBgn0003256	suppressible	FBrf0107534
Zip71B	FBgn0036461	ZnT35C	FBgn0028516	suppressible	FBrf0227521
rpr	FBgn0011706	morgue	FBgn0027609	enhanceable	FBrf0222885
Chi	FBgn0013764	CtsF	FBgn0260462	enhanceable	FBrf0211594
d|ft	FBgn0262029|FBgn0001075	yki	FBgn0034970	enhanceable	FBrf0219618
ken	FBgn0011236	tll	FBgn0003720	enhanceable	FBrf0167302
Zip71B	FBgn0036461	Zip102B	FBgn0039902	enhanceable	FBrf0227521
Atg1	FBgn0260945	gig	FBgn0005198	suppressible	FBrf0194462
GluRIIA	FBgn0004620	Eph|Exn	FBgn0025936|FBgn0261547	suppressible	FBrf0207531
otu	FBgn0003023	Sxl	FBgn0264270	suppressible	FBrf0076939
kis	FBgn0266557	N	FBgn0004647	suppressible	FBrf0242428
Wnt5	FBgn0010194	Drl-2	FBgn0033791	enhanceable	FBrf0228474
Liprin-β	FBgn0036376	trio	FBgn0024277	suppressible	FBrf0212351
EcR	FBgn0000546	mys	FBgn0004657	enhanceable	FBrf0162290
ci	FBgn0004859	sd	FBgn0003345	suppressible	FBrf0229775
tws	FBgn0004889	nbs	FBgn0261530	suppressible	FBrf0235005
hep	FBgn0010303	dsh	FBgn0000499	suppressible	FBrf0155993
Myc	FBgn0262656	cnc	FBgn0262975	suppressible	FBrf0222430
TBPH	FBgn0025790	sqd	FBgn0263396	enhanceable	FBrf0236460
HP1b	FBgn0030082	htt	FBgn0027655	suppressible	FBrf0227101
rux	FBgn0003302	stg	FBgn0003525	suppressible	FBrf0091048
mav	FBgn0039914	gbb	FBgn0024234	suppressible	FBrf0219680
Mtl	FBgn0039532	Cdc42	FBgn0010341	enhanceable	FBrf0200938
btl::Egfr	FBgn0022739	Cbl	FBgn0020224	suppressible	FBrf0195049
chinmo	FBgn0086758	dsx	FBgn0000504	suppressible	FBrf0226905
Blos1	FBgn0050077	Dysb	FBgn0036819	suppressible	FBrf0227264
trx|ash1	FBgn0003862|FBgn0005386	sxc	FBgn0261403	enhanceable	FBrf0129826
Sdc	FBgn0010415	robo2	FBgn0002543	enhanceable	FBrf0174474
babo	FBgn0011300	CycA	FBgn0000404	suppressible	FBrf0202883
Pink1|trc	FBgn0029891|FBgn0003744	Marf	FBgn0029870	suppressible	FBrf0220987
CG5986	FBgn0043455	Diap1	FBgn0260635	suppressible	FBrf0190751
N	FBgn0004647	H	FBgn0001169	suppressible	FBrf0099460
fzy	FBgn0001086	fzr2	FBgn0034937	suppressible	FBrf0151839
sstn	FBgn0036476	Rho1	FBgn0014020	suppressible	FBrf0227539
Ras85D	FBgn0003205	pico	FBgn0261811	suppressible	FBrf0206242
Iswi	FBgn0011604	Polr2A	FBgn0003277	enhanceable	FBrf0187627
CCT2	FBgn0030086	fzy	FBgn0001086	suppressible	FBrf0224436
nej	FBgn0261617	ey	FBgn0005558	suppressible	FBrf0190701
app	FBgn0260941	d	FBgn0262029	suppressible	FBrf0206015
Gbp1	FBgn0034199	mthl10	FBgn0035132	suppressible	FBrf0237648
ninaE	FBgn0002940	sordd2	FBgn0052581	suppressible	FBrf0247257
hid	FBgn0003997	wech	FBgn0259745	suppressible	FBrf0202746
ap	FBgn0267978	fz3|wg	FBgn0027343|FBgn0284084	suppressible	FBrf0111481
dally	FBgn0263930	dlp	FBgn0041604	enhanceable	FBrf0207296
Ras85D|PpV	FBgn0003205|FBgn0003139	fmt	FBgn0035688	enhanceable	FBrf0235868
wnd	FBgn0036896	Dscam1	FBgn0033159	suppressible	FBrf0221817
bam	FBgn0000158	E2f1	FBgn0011766	suppressible	FBrf0203121
Rala	FBgn0015286	Jra	FBgn0001291	suppressible	FBrf0194568
pds5	FBgn0260012	mei-W68	FBgn0002716	suppressible	FBrf0200974
ptc	FBgn0003892	Su(fu)	FBgn0005355	suppressible	FBrf0132285
mys	FBgn0004657	bs	FBgn0004101	enhanceable	FBrf0064744
mxc	FBgn0260789	Asx	FBgn0261823	enhanceable	FBrf0103357
Syx5	FBgn0011708	Sec22	FBgn0260855	enhanceable	FBrf0227874
Pi3K92E	FBgn0015279	foxo	FBgn0038197	suppressible	FBrf0190605
Blos1	FBgn0050077	Arpc1	FBgn0001961	enhanceable	FBrf0234191
corto	FBgn0010313	Trl	FBgn0013263	enhanceable	FBrf0145129
kay	FBgn0001297	puc	FBgn0243512	suppressible	FBrf0141481
mir-92a	FBgn0262411	sha	FBgn0003382	suppressible	FBrf0220194
Syx1A	FBgn0013343	Csp	FBgn0004179	suppressible	FBrf0111989
ssh	FBgn0029157	tsr	FBgn0011726	suppressible	FBrf0180582
Axud1	FBgn0261647	hep	FBgn0010303	suppressible	FBrf0207344
nwk	FBgn0263456	Snx16	FBgn0034265	suppressible	FBrf0213353
Nsf2	FBgn0266464	Qtzl	FBgn0051864	suppressible	FBrf0187645
tld	FBgn0003719	tok	FBgn0004885	enhanceable	FBrf0187482
Pink1	FBgn0029891	Tom40	FBgn0016041	enhanceable	FBrf0229600
if	FBgn0001250	Pgant3	FBgn0027558	enhanceable	FBrf0211018
tkv|Mad	FBgn0003716|FBgn0011648	yki	FBgn0034970	enhanceable	FBrf0212763
unc-104	FBgn0267002	bsk	FBgn0000229	suppressible	FBrf0218884
mei-9	FBgn0002707	mei-218	FBgn0002709	suppressible	FBrf0207080
f	FBgn0262111	su(Hw)	FBgn0003567	suppressible	FBrf0020044
H	FBgn0001169	if	FBgn0001250	suppressible	FBrf0190751
Myc	FBgn0262656	Sin3A	FBgn0022764	enhanceable	FBrf0221983
upd1	FBgn0004956	gl	FBgn0004618	suppressible	FBrf0167623
upd1	FBgn0004956	hop	FBgn0004864	suppressible	FBrf0144881
grnd	FBgn0032682	hep	FBgn0010303	suppressible	FBrf0228803
Lrpprc2	FBgn0027794	Vps35	FBgn0034708	suppressible	FBrf0232044
wun2	FBgn0041087	wun	FBgn0016078	enhanceable	FBrf0210764
tut	FBgn0052364	Cpsf100	FBgn0027873	enhanceable	FBrf0234954
shg	FBgn0003391	dsh	FBgn0000499	enhanceable	FBrf0123026
pnr	FBgn0003117	XNP	FBgn0039338	enhanceable	FBrf0217551
TrpA1	FBgn0035934	Cam	FBgn0000253	suppressible	FBrf0220564
Ret	FBgn0011829	l(3)S023549	FBgn0028189	enhanceable	FBrf0190765
tral	FBgn0041775	Zfrp8	FBgn0021875	suppressible	FBrf0230996
Apc	FBgn0015589	ninaA	FBgn0002936	suppressible	FBrf0207956
mir-bft	FBgn0263107	mir-263b	FBgn0262371	enhanceable	FBrf0211074
ft	FBgn0001075	fj	FBgn0000658	suppressible	FBrf0179329
Atg9	FBgn0034110	ena	FBgn0000578	enhanceable	FBrf0245495
upd1	FBgn0004956	Sodh-2	FBgn0022359	suppressible	FBrf0190752
ct|lncRNA:flam	FBgn0004198|FBgn0267704	Dcr-2	FBgn0034246	suppressible	FBrf0233726
lola	FBgn0283521	rib	FBgn0003254	enhanceable	FBrf0234063
spn-B	FBgn0003480	mei-218	FBgn0002709	enhanceable	FBrf0127203
Acn	FBgn0263198	Akt	FBgn0010379	enhanceable	FBrf0226558
Dronc	FBgn0026404	Diap1	FBgn0260635	enhanceable	FBrf0236959
Diap1	FBgn0260635	Diap2	FBgn0015247	suppressible	FBrf0201142
ct	FBgn0004198	Cp190	FBgn0000283	suppressible	FBrf0212850
ap	FBgn0267978	z	FBgn0004050	suppressible	FBrf0202942
Rab3-GAP	FBgn0027505	Rab3	FBgn0005586	enhanceable	FBrf0213055
Rbf|Stam	FBgn0015799|FBgn0027363	Egfr	FBgn0003731	suppressible	FBrf0232331
knrl	FBgn0001323	kni	FBgn0001320	enhanceable	FBrf0132397
robo1	FBgn0005631	sli	FBgn0264089	enhanceable	FBrf0128391
AP-2α	FBgn0264855	AP-2σ	FBgn0043012	enhanceable	FBrf0223233
pnr	FBgn0003117	EP1113	FBgn0062700	enhanceable	FBrf0147055
Rab5	FBgn0014010	puc	FBgn0243512	suppressible	FBrf0226083
if	FBgn0001250	crol	FBgn0020309	enhanceable	FBrf0127048
sina	FBgn0003410	gl	FBgn0004618	suppressible	FBrf0100609
slmb	FBgn0283468	CSN5	FBgn0027053	enhanceable	FBrf0187475
rhea	FBgn0260442	if	FBgn0001250	suppressible	FBrf0193338
Tollo	FBgn0029114	Dredd	FBgn0020381	enhanceable	FBrf0210269
ninaE	FBgn0002940	bsk	FBgn0000229	suppressible	FBrf0224179
Dronc	FBgn0026404	Diap1	FBgn0260635	suppressible	FBrf0129853
nab	FBgn0259986	rn	FBgn0267337	suppressible	FBrf0200657
14-3-3ε	FBgn0020238	if	FBgn0001250	suppressible	FBrf0218615
Cip4	FBgn0035533	wit	FBgn0024179	suppressible	FBrf0211075
Bx	FBgn0265598	CG11334	FBgn0039849	suppressible	FBrf0211594
brm	FBgn0000212	Polr2B	FBgn0262955	enhanceable	FBrf0187627
drl	FBgn0015380	Wnt5	FBgn0010194	enhanceable	FBrf0207647
Ubx	FBgn0003944	Gug	FBgn0010825	enhanceable	FBrf0180288
sti	FBgn0002466	Rho1	FBgn0014020	enhanceable	FBrf0179178
His2Av	FBgn0001197	CG8677	FBgn0026577	enhanceable	FBrf0210332
Jra	FBgn0001291	aop	FBgn0000097	enhanceable	FBrf0086055
ci	FBgn0004859	cg	FBgn0000289	enhanceable	FBrf0130102
Rbf	FBgn0015799	ptc	FBgn0003892	suppressible	FBrf0149123
H	FBgn0001169	gro	FBgn0001139	enhanceable	FBrf0149093
Egfr	FBgn0003731	Fak	FBgn0020440	suppressible	FBrf0224535
Pten	FBgn0026379	S6k	FBgn0283472	suppressible	FBrf0210767
pbl	FBgn0003041	PIP5K59B	FBgn0034789	enhanceable	FBrf0199094
Ras85D	FBgn0003205	14-3-3ε	FBgn0020238	suppressible	FBrf0087493
lsn	FBgn0260940	N	FBgn0004647	suppressible	FBrf0206508
park	FBgn0041100	bsk	FBgn0000229	suppressible	FBrf0188253
Dys	FBgn0260003	lace	FBgn0002524	suppressible	FBrf0220147
fu	FBgn0001079	kn	FBgn0001319	enhanceable	FBrf0109132
Cdc42	FBgn0010341	CG7231	FBgn0031968	enhanceable	FBrf0187664
cm	FBgn0000330	Vps26|w	FBgn0014411|FBgn0003996	suppressible	FBrf0224859
N	FBgn0004647	E(spl)m8-HLH	FBgn0000591	suppressible	FBrf0108192
Rbfox1	FBgn0052062	spdo	FBgn0260440	enhanceable	FBrf0234931
Sh	FBgn0003380	eag	FBgn0000535	suppressible	FBrf0190710
Sema1a	FBgn0011259	dally	FBgn0263930	enhanceable	FBrf0219528
Abl	FBgn0000017	robo1	FBgn0005631	suppressible	FBrf0162201
E2f1	FBgn0011766	Mi-2	FBgn0262519	enhanceable	FBrf0220353
ph-p	FBgn0004861	M(2)56F	FBgn0286220	suppressible	FBrf0141543
htl::tor	FBgn0014854	vap	FBgn0003969	enhanceable	FBrf0179968
e(y)3	FBgn0087008	brm	FBgn0000212	enhanceable	FBrf0205136
pk	FBgn0003090	dsh	FBgn0000499	suppressible	FBrf0162094
InR	FBgn0283499	dap	FBgn0010316	suppressible	FBrf0207811
egr	FBgn0033483	Lrrk	FBgn0038816	enhanceable	FBrf0231848
trbl	FBgn0028978	stg	FBgn0003525	suppressible	FBrf0128569
foxo	FBgn0038197	Pi3K92E	FBgn0015279	enhanceable	FBrf0160695
Pvr	FBgn0032006	Tlk	FBgn0283657	suppressible	FBrf0187664
upd1	FBgn0004956	dome	FBgn0043903	suppressible	FBrf0144881
arm	FBgn0000117	sgg	FBgn0003371	suppressible	FBrf0129777
Alk	FBgn0040505	Nf1	FBgn0015269	suppressible	FBrf0230075
tow	FBgn0035719	Rho1	FBgn0014020	suppressible	FBrf0202398
lace	FBgn0002524	hep	FBgn0010303	suppressible	FBrf0111321
cno	FBgn0259212	Rap1	FBgn0004636	enhanceable	FBrf0162150
Mhc	FBgn0264695	Act88F	FBgn0000047	suppressible	FBrf0132372
Dcp-1	FBgn0010501	Atg7	FBgn0034366	suppressible	FBrf0209948
bw	FBgn0000241	Mod(Prat:bw)3-11	FBgn0067875	suppressible	FBrf0162143
seq	FBgn0028991	CadN	FBgn0015609	suppressible	FBrf0206960
nwk	FBgn0263456	WASp	FBgn0024273	enhanceable	FBrf0214154
Itpr	FBgn0010051	NUCB1|Orai	FBgn0052190|FBgn0041585	suppressible	FBrf0244698
vtd	FBgn0260987	dl	FBgn0260632	enhanceable	FBrf0230345
pnr	FBgn0003117	EP3714	FBgn0062653	enhanceable	FBrf0147055
babo	FBgn0011300	Snoo	FBgn0085450	suppressible	FBrf0200635
L	FBgn0267825	EP3123	FBgn0084764	suppressible	FBrf0187660
spin	FBgn0086676	sax	FBgn0003317	suppressible	FBrf0213705
klhl10	FBgn0040038	Cul3	FBgn0261268	enhanceable	FBrf0231856
upd1	FBgn0004956	Cip4	FBgn0035533	suppressible	FBrf0190752
Opa1	FBgn0261276	Chchd2	FBgn0260747	enhanceable	FBrf0245721
N	FBgn0004647	krz	FBgn0040206	enhanceable	FBrf0213301
rux	FBgn0003302	twe	FBgn0002673	suppressible	FBrf0073190
Raf	FBgn0003079	geminin	FBgn0033081	enhanceable	FBrf0211319
Pink1	FBgn0029891	Opa1	FBgn0261276	suppressible	FBrf0205047
Apc2|Apc|Ras85D	FBgn0026598|FBgn0015589|FBgn0003205	pan	FBgn0085432	suppressible	FBrf0221572
hh	FBgn0004644	snama	FBgn0086129	enhanceable	FBrf0193720
snf|Sxl	FBgn0003449|FBgn0264270	TrpRS	FBgn0010803	enhanceable	FBrf0107310
yki	FBgn0034970	14-3-3ε|14-3-3ζ	FBgn0020238|FBgn0004907	suppressible	FBrf0209792
Pvf1	FBgn0030964	hep	FBgn0010303	enhanceable	FBrf0201428
park	FBgn0041100	Pink1	FBgn0029891	enhanceable	FBrf0213658
norpA	FBgn0262738	NUCB1	FBgn0052190	suppressible	FBrf0244698
EP596	FBgn0043383	H	FBgn0001169	enhanceable	FBrf0128367
Ras85D|l(2)gl	FBgn0003205|FBgn0002121	Uev1A	FBgn0035601	suppressible	FBrf0221969
ago	FBgn0041171	bnl	FBgn0014135	suppressible	FBrf0221195
drl	FBgn0015380	Wnt5	FBgn0010194	suppressible	FBrf0226680
N	FBgn0004647	kuz	FBgn0259984	enhanceable	FBrf0099884
svp	FBgn0003651	Raf	FBgn0003079	suppressible	FBrf0078827
pnr	FBgn0003117	kis	FBgn0266557	suppressible	FBrf0147055
vvl|Lim3	FBgn0086680|FBgn0002023	tup	FBgn0003896	enhanceable	FBrf0180170
Pink1	FBgn0029891	Pi3K21B	FBgn0020622	suppressible	FBrf0213658
fzr	FBgn0262699	Ndfip	FBgn0052177	suppressible	FBrf0237532
park	FBgn0041100	Pink1	FBgn0029891	enhanceable	FBrf0228603
TER94	FBgn0286784	TBPH	FBgn0025790	suppressible	FBrf0210957
emb	FBgn0020497	mbo	FBgn0026207	suppressible	FBrf0167772
InR	FBgn0283499	ImpL2	FBgn0001257	suppressible	FBrf0204716
Src42A	FBgn0264959	14-3-3ζ	FBgn0004907	suppressible	FBrf0107534
Pten|Ras85D	FBgn0026379|FBgn0003205	Tep1	FBgn0041183	suppressible	FBrf0245801
Ras85D	FBgn0003205	dome	FBgn0043903	suppressible	FBrf0226906
mys	FBgn0004657	2R-F	FBgn0021755	enhanceable	FBrf0093664
Ras85D|sev	FBgn0003205|FBgn0003366	Taf4	FBgn0010280	suppressible	FBrf0105879
