## FlyBase gene genetic interactions report
## Generated: Sat May 29 01:03:13 2021
## Using datasource: dbi:Pg:dbname=fb_2021_03_reporting;host=flysql20;port=5432

##Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type	Publication_FBrf
run	FBgn0003300	ttk	FBgn0003870	suppressible	FBrf0152256
Rho1	FBgn0014020	p120ctn	FBgn0260799	suppressible	FBrf0190288
trk	FBgn0003751	Fur1	FBgn0004509	enhanceable	FBrf0230070
CtBP|egr	FBgn0020496|FBgn0033483	Ilp8	FBgn0036690	suppressible	FBrf0238208
Spn77Ba	FBgn0262057	MP1	FBgn0027930	suppressible	FBrf0206001
Ret	FBgn0011829	dj-1β	FBgn0039802	suppressible	FBrf0210541
Prat	FBgn0004901	Prat2	FBgn0041194	suppressible	FBrf0205467
Src64B	FBgn0262733	csw	FBgn0000382	suppressible	FBrf0091036
tow	FBgn0035719	Rok	FBgn0026181	enhanceable	FBrf0202398
Sema5c	FBgn0284221	Lar	FBgn0000464	suppressible	FBrf0241779
numb	FBgn0002973	spdo	FBgn0260440	enhanceable	FBrf0209326
Zip42C.1|ZnT63C	FBgn0033096|FBgn0035432	ZnT41F	FBgn0025693	suppressible	FBrf0220942
N	FBgn0004647	spen	FBgn0016977	suppressible	FBrf0202064
unc-5|Nrg	FBgn0034013|FBgn0264975	beat-Ia	FBgn0013433	enhanceable	FBrf0224474
lic	FBgn0261524	bsk	FBgn0000229	suppressible	FBrf0241461
pnr	FBgn0003117	Mef2	FBgn0011656	enhanceable	FBrf0147055
net	FBgn0002931	osa	FBgn0261885	enhanceable	FBrf0208056
g	FBgn0001087	w	FBgn0003996	enhanceable	FBrf0147069
ninaE	FBgn0002940	sordd1	FBgn0030693	suppressible	FBrf0247257
sc	FBgn0004170	mod(mdg4)	FBgn0002781	suppressible	FBrf0108187
Parp	FBgn0010247	Parg	FBgn0023216	suppressible	FBrf0210529
AP-2α	FBgn0264855	N	FBgn0004647	suppressible	FBrf0218342
PRL-1	FBgn0024734	Gr21a	FBgn0041250	suppressible	FBrf0243653
tor	FBgn0003733	Su(tor)2-191	FBgn0014047	suppressible	FBrf0058535
Sema1a|pbl	FBgn0011259|FBgn0003041	PlexA	FBgn0025741	suppressible	FBrf0219982
smo	FBgn0003444	E(smoDN)E	FBgn0083253	enhanceable	FBrf0188528
Sply	FBgn0010591	lace	FBgn0002524	suppressible	FBrf0158890
aos	FBgn0004569	SM3-3	FBgn0041617	suppressible	FBrf0127348
Dys	FBgn0260003	kis	FBgn0266557	suppressible	FBrf0205440
mxc	FBgn0260789	Scm	FBgn0003334	enhanceable	FBrf0086384
LamC	FBgn0010397	AMPKα	FBgn0023169	suppressible	FBrf0241206
