"sample_021Ab"	"sample_021Ao"	"sample_029Db"	"sample_029Do"	"sample_106Bb"	"sample_106Bo"	"sample_7_1_1"	"sample_7_1_4"	"sample_7_2_1"	"sample_7_2_4"
"00306dbb19665982fc78754ac92927bf"	1.95573832093502	3.56843028199609	2.73014091610916	3.77496526337568	2.74527381455572	3.84401231109544	3.80601905009399	2.20646418664781	1.80312877463051	4.05416308291375
"0032aede248babc5516f057b3bcd4409"	2.7528323438741	2.98798937452948	3.16266265825894	3.82839353968818	2.36306617509738	2.68391699035078	2.23174784311504	1.33401505446619	0.954688029190568	1.87113580107638
"0051ee453ff489fa79b20379bcc79b6b"	0.769876713418619	2.37826568507543	0.993473970544805	2.24179845805419	1.08961022473438	1.4901632648776	1.26128229008728	0.458082858350042	0.14614586950682	1.45688329156018
"00539cb2af8b7b06ee1279130fa2f307"	2.31617828551275	4.21294652172806	2.46076592654535	4.11593415403723	1.1939073168425	2.48216372473953	2.17011656390134	0.502997060371407	0.386686556267673	2.32828451565419
"006c80037cfc5a276d7d1b8ef20cdccd"	2.6845208782945	1.11716577009327	3.63788190546299	1.59155496137987	0.620283434036384	1.04378996756688	0	0.748421041968167	0.37842958638172	0
"00823592d773ca77be3da202ae020b29"	1.32027819458905	2.11247278419547	1.48503861851112	2.40509941548008	1.66719253739376	2.86835675176038	2.05915273371699	1.39283542166327	1.00909595872004	1.7031021930346
"0092362bbf11972deda26d5b9e919f85"	4.72663479189597	4.27160807085281	2.63365418746852	4.9054432086977	0.867087882561922	3.15765127312979	2.3878251938666	0.473279507692021	0.327402660646713	2.42919791994237
"00c4a692e67b1c93a289ffcae447cfcf"	1.33454306712969	4.07894695854765	2.36091626333063	4.2515537030428	2.49222811566037	4.42855597128806	3.91807793727439	3.62133990104798	2.9425329533264	4.09716125827331
"00cee8684ccbb62fce87c20103b8aed2"	1.09154739094599	2.46996220240218	1.56281579634904	2.43942276385196	0.702473660125897	1.82492439325043	1.75986129402566	0.469494778852093	0.0782753273625249	1.72438436421783
"0112c347c6def14a99ba74cd77bfc94d"	1.6040675176441	3.13816109143593	2.6380854289013	3.61192443295969	1.25440019893045	3.21952841188697	2.5110758140157	0.450397045231816	0.566798501802664	2.22261071631923
"011b116b1e264e2cde7ec36aa569ad7c"	2.27287126375856	4.6640437026872	3.03285383191856	4.62992678018215	1.06904271970194	2.29834612123475	2.43132873008648	0.65231476931877	0.273631321354119	2.67394690493955
"0127000197e26a049598b4a6d0225ba2"	1.5134608008051	0.163391293036848	1.29721746222992	0.251381789520943	1.7356352263313	0.736900873449868	0.327402660646713	1.14889023443033	1.1450457096447	0.236107159466067
