"sample_002Cb"	"sample_002Co"	"sample_032Ab"	"sample_032Ao"	"sample_032Bb"	"sample_032Bo"	"sample_16_1_1"	"sample_16_1_4"	"sample_16_2_1"	"sample_16_2_4"
"00306dbb19665982fc78754ac92927bf"	2.77649887361831	2.83346374542469	1.84559294898146	2.7800125774472	2.26994103251022	2.28116536297025	2.48193977238682	2.95384616368784	2.28299717831376	3.027821320873
"0032aede248babc5516f057b3bcd4409"	2.7149786108116	4.17283209200237	1.98587550247762	4.1021007219649	1.58080775287044	3.25706454416049	3.02256503341897	1.88880662446522	2.70353642934456	2.03636440206363
"0034860642bb665e3bc98da83b24f6f7"	2.35335567579169	2.48240360311207	2.38953203457443	3.1068360301847	2.44657512785367	2.72496932870087	3.30128113017792	2.26814995070835	2.93683307483863	2.89678095283442
"0051ee453ff489fa79b20379bcc79b6b"	1.11314110425696	2.54194405328656	1.31020396852998	2.91837506818275	1.14983081522815	2.20989062136022	2.37398004813342	1.88522339592511	1.25827589272424	2.15577665535745
"006c80037cfc5a276d7d1b8ef20cdccd"	2.69676649203356	2.3906656659168	1.45907329052186	0.635450118746671	2.06063034487378	4.84595238827701	2.78991690168542	2.55346711079066	0.675017170393496	2.76748321988921
"00823592d773ca77be3da202ae020b29"	2.63137805086797	2.62479771562831	3.03836134779674	2.73221861434901	2.26275276270948	2.71336108521088	3.29909717504575	2.1391052313606	3.05657371892132	1.85926171917942
"0092362bbf11972deda26d5b9e919f85"	2.08069275858139	4.25000768344732	1.77841955355073	4.47582322639966	2.10357021479843	3.72023009665233	4.89120543817544	1.66931797478197	4.65857769285256	2.01290475867956
"0095b52bd61b59e97345c0564dc8496e"	4.76463885165755	5.83337156452353	5.74576046315788	5.98478106229775	5.65452110748807	6.46171569259405	6.14513243040775	5.48512588353003	5.71709215985505	5.83907875062416
"00b08f570ae6322b03af00df9230f86d"	1.53897469748732	1.44922852921162	1.60880679783936	0.799328399067572	1.65444950378834	1.26426602430395	0.611905671277479	1.5255905428715	0	2.37281445304717
"00bcc118d77be26d37aa6816c6eec493"	2.6797814450598	0.170047369543551	1.98818580649548	0	2.82774808374984	0.554714654119703	0	2.73956618067322	0	2.39330584839184
