"sample_021Ab"	"sample_021Ao"	"sample_029Db"	"sample_029Do"	"sample_043Cb"	"sample_043Co"	"sample_056Ab"	"sample_056Ao"	"sample_40_2_1"	"sample_40_2_4"
"00306dbb19665982fc78754ac92927bf"	1.95573832093502	3.56843028199609	2.73014091610916	3.77496526337568	1.62152784979051	3.11344435036465	1.79893838202631	3.15505610840337	1.89846961796236	0.400409236820555
"0051ee453ff489fa79b20379bcc79b6b"	0.769876713418619	2.37826568507543	0.993473970544805	2.24179845805419	1.51056781990225	2.52312199457686	1.45467110775738	2.67608646936999	1.54522324549091	0.229612307716522
"00539cb2af8b7b06ee1279130fa2f307"	2.31617828551275	4.21294652172806	2.46076592654535	4.11593415403723	1.85162163174008	3.49097368328872	2.42703424529751	4.15093984967644	3.31487452828524	1.24380337849419
"006c80037cfc5a276d7d1b8ef20cdccd"	2.6845208782945	1.11716577009327	3.63788190546299	1.59155496137987	1.72305394059846	2.43793273822944	1.5465971463208	0.88364147218024	0.115085230582893	0.606687096893043
"00823592d773ca77be3da202ae020b29"	1.32027819458905	2.11247278419547	1.48503861851112	2.40509941548008	1.59709464679483	3.26886077975276	2.38712888633511	3.28761975337142	2.14596508354701	0.553533327219064
"0092362bbf11972deda26d5b9e919f85"	4.72663479189597	4.27160807085281	2.63365418746852	4.9054432086977	1.49726222616816	4.05928503000084	2.02408447502765	4.24449334513106	4.04145539862117	1.5796689821172
"0095b52bd61b59e97345c0564dc8496e"	5.56454446833591	6.63347226355316	6.31331381594876	6.92051506555672	7.56191344658424	8.54917841043884	8.07678671769597	8.34839988121315	9.54468893670168	8.66200146068248
"00bcc118d77be26d37aa6816c6eec493"	1.63166113713089	0.116609013428573	2.04046419890958	0.359686404934866	1.8981266280506	0.365190880203047	2.32235762179805	0.403907228577095	0	1.44166118490928
"00cee8684ccbb62fce87c20103b8aed2"	1.09154739094599	2.46996220240218	1.56281579634904	2.43942276385196	0.678955355895438	2.58568173560987	0.492207969294036	2.66797761622657	0.906430453259081	0.386293401383151
"0112c347c6def14a99ba74cd77bfc94d"	1.6040675176441	3.13816109143593	2.6380854289013	3.61192443295969	1.54993394994437	3.21438254518966	1.92337367104954	3.03597582881051	2.39623371135119	0.711962555977441
"011b116b1e264e2cde7ec36aa569ad7c"	2.27287126375856	4.6640437026872	3.03285383191856	4.62992678018215	1.05191182499023	3.54117214964282	2.06652439137714	3.94469567646469	2.80689433362921	0.538411686403664
"0127000197e26a049598b4a6d0225ba2"	1.5134608008051	0.163391293036848	1.29721746222992	0.251381789520943	1.22466062795551	0.250276111638924	2.26202296054005	0.204982839337034	0.193331557022263	1.65308018223666
"013c9c13c8d7029019462bef0627adba"	2.22059482086037	3.65199524977425	2.13681625389307	3.1755479027412	2.01821017617756	2.76353248407507	1.90367677717723	3.29051119543734	2.23236350733968	0.524446312948161
"015116cb2ae1efade79e1af688f3c15b"	3.3788897394343	3.6909493104825	3.1769515564005	3.38204650193238	0.759646278510151	3.09240066693216	2.64687795436662	3.14213308630233	1.93576211723202	0.272175971851484
"0160f5a856b526939ba1062b1cc9df76"	2.55635406197929	4.49485162171764	2.6100624397738	3.95633381893569	1.6338397510465	3.14336058605601	1.69310383295278	3.87403002630092	2.82206484156436	0.866782369862384
"017a60cbade7b309db182bcabe59d6a4"	3.38099535461651	1.33046447615922	3.72544616775488	1.72952939269192	5.55854297649261	2.59517768906569	5.73742113066673	2.0982825548125	0.979687226147219	4.74894969928041
