"sample_002Cb"	"sample_002Co"	"sample_032Ab"	"sample_032Ao"	"sample_032Bb"	"sample_032Bo"	"sample_040Bb"	"sample_040Bo"	"sample_040Db"	"sample_040Do"	"sample_18_0_14"	"sample_18_0_17"
"00306dbb19665982fc78754ac92927bf"	2.77649887361831	2.83346374542469	1.84559294898146	2.7800125774472	2.26994103251022	2.28116536297025	2.67480890898749	3.40849235679921	2.40850208888371	3.49497777090629	3.96822759297345	3.07463299294176
"0034860642bb665e3bc98da83b24f6f7"	2.35335567579169	2.48240360311207	2.38953203457443	3.1068360301847	2.44657512785367	2.72496932870087	2.29132961984735	2.93397760194817	1.55300796954876	3.18398051019977	2.33806974302635	2.40714491864446
"0051ee453ff489fa79b20379bcc79b6b"	1.11314110425696	2.54194405328656	1.31020396852998	2.91837506818275	1.14983081522815	2.20989062136022	0.919076202477152	1.76632737948895	1.08486004750821	1.8952114506445	2.3897134435495	1.56591380569541
"00539cb2af8b7b06ee1279130fa2f307"	2.05926780776313	3.75758180550668	2.64650077771755	4.11740406824264	2.26602840176231	3.5933496232009	2.26007417304183	4.43655388169503	2.10994649811804	4.31120307063428	4.0669939201993	2.67140004789361
"006c80037cfc5a276d7d1b8ef20cdccd"	2.69676649203356	2.3906656659168	1.45907329052186	0.635450118746671	2.06063034487378	4.84595238827701	1.27264016318804	3.21872391636426	1.98811195878326	2.59619472515376	1.34327102821263	2.10717227402822
"00823592d773ca77be3da202ae020b29"	2.63137805086797	2.62479771562831	3.03836134779674	2.73221861434901	2.26275276270948	2.71336108521088	1.48880112978996	2.3549742697362	1.25305414899894	2.4195504898939	2.40217605889569	1.88793026641604
"008810a5ca2332a04d285ca396b6a5f1"	1.12801703373601	3.18720673112703	0.96871125070545	3.47899495552325	1.32087892226901	2.20329257419331	1.63411101263898	2.95767208672945	1.41249802661653	2.83214807097192	4.21162376727345	2.28417669331069
"0092362bbf11972deda26d5b9e919f85"	2.08069275858139	4.25000768344732	1.77841955355073	4.47582322639966	2.10357021479843	3.72023009665233	4.4446257764304	5.03666230053986	3.59971211835086	4.99230362441128	5.3469508517773	4.7830636197673
"0095b52bd61b59e97345c0564dc8496e"	4.76463885165755	5.83337156452353	5.74576046315788	5.98478106229775	5.65452110748807	6.46171569259405	7.2781841229063	8.0324231858856	7.55850333659167	7.77451827274606	7.9921169414333	7.5102996775346
"00b08f570ae6322b03af00df9230f86d"	1.53897469748732	1.44922852921162	1.60880679783936	0.799328399067572	1.65444950378834	1.26426602430395	1.1800386540303	0.325050108920519	0.812040710500356	1.07175483449823	0.417196030983863	1.75663302975248
"00bcc118d77be26d37aa6816c6eec493"	2.6797814450598	0.170047369543551	1.98818580649548	0	2.82774808374984	0.554714654119703	2.86408481948799	0	2.63494172928157	0.223543471335537	0	2.92505226536625
"00c4a692e67b1c93a289ffcae447cfcf"	2.23639398076231	3.79093669592108	2.73348748462049	3.70267402464347	2.46439271363719	3.22902191762921	2.12800548978815	4.1933886713187	1.85537569017753	3.81562883832181	3.87835246155087	2.59710374270481
"00c6a28930e3eafc29b6cf8827820e4c"	2.43759881037155	1.35225309917164	2.78966344794583	1.85466816308165	2.34182951349234	2.15550655621886	4.40542495439816	3.99141496628142	4.24055806345313	3.29125240100391	3.7909536700183	4.32215111304276
"00cee8684ccbb62fce87c20103b8aed2"	2.17039715940748	3.37594238160161	1.91403144028486	3.328022067513	2.74468423529791	4.51441681389469	2.84812969316222	3.19628323472499	2.38557556078559	2.94811559123915	3.09929440064321	2.30090910479347
