"sample_008Ab"	"sample_008Ao"	"sample_012Ab"	"sample_012Ao"	"sample_016Bb"	"sample_016Bo"	"sample_016Cb"	"sample_016Co"	"sample_024Bb"	"sample_024Bo"	"sample_028Ab"	"sample_028Ao"
"00306dbb19665982fc78754ac92927bf"	1.14168003620066	3.05947180644256	1.42545103178093	2.308609330465	3.34694057760738	4.68499313720926	3.83940110698125	5.46739440481394	1.1676869397181	2.75750968410333	3.37275534793579	4.54124946863712
"00539cb2af8b7b06ee1279130fa2f307"	1.46063247429251	3.74708282683313	0.954038499484924	3.09374706397674	1.50908863374988	2.86935394196391	1.53082850438503	3.05195213487212	1.09226716145969	3.85717942506772	1.34613972033702	2.79117419593519
"006c80037cfc5a276d7d1b8ef20cdccd"	2.60049543093496	2.11384641104977	1.46484509440062	1.82182226691346	3.67130385415048	2.54056539338816	2.659253436911	1.70335457629138	2.15794354853774	3.83224386719806	1.91170431463713	0.682860958301575
"0092362bbf11972deda26d5b9e919f85"	1.50390293711463	3.7974463737599	1.23008197410087	3.00366075987611	1.18610960312656	2.93328330112149	1.46618259532455	3.18375608322446	0.799334354441691	3.70103625980123	1.44517440321817	2.66240101888022
"0095b52bd61b59e97345c0564dc8496e"	7.13561910823496	8.26891014955157	6.4299584414206	7.64784570253546	6.62691685260544	6.8311478052137	7.4704519720516	7.50847902831682	6.30534341128089	7.44762015839823	6.98941275053016	6.99522721256596
"00cee8684ccbb62fce87c20103b8aed2"	1.03244964074383	3.86896203863665	0.706655941323986	2.7190900172501	1.73364047653287	1.95247185958285	1.43450245115513	2.38948913088971	0.917036999697315	3.15387574129798	0.997453304572412	1.85168470927917
"011b116b1e264e2cde7ec36aa569ad7c"	1.27568956266247	3.04693072594418	1.15332614293146	3.12238496833934	0.959135060066762	2.77880782839755	1.06107879702975	3.05545358528694	0.775114189423935	2.96805450356149	1.12660674872291	2.49138740551638
"013c9c13c8d7029019462bef0627adba"	1.76068323293224	3.42848207905065	0.906989610239071	2.32568326440668	2.55203626426701	3.74180778235484	2.20029397302911	3.26093071026607	1.01387468832435	2.94031654623578	2.08823427207899	3.7139253213757
"01524ceb0052552ad3c425bf777b0b3a"	0.974491713162854	2.48406713082388	1.28309262473153	1.85658388699329	1.76110299142773	2.4159721694534	1.8193553429491	2.87784416987816	1.28309262473153	2.53279601153133	2.17631254821468	2.1582665852243
"0160f5a856b526939ba1062b1cc9df76"	2.02454571332062	3.57662467196646	1.42069095690768	3.17878897672828	1.2493970243415	2.43291635816834	1.21324666880355	2.62965880149096	1.66974624894349	3.00629726694858	1.1652623289792	2.58057706772908
