"sample_088Ab"	"sample_088Ao"	"sample_088Bb"	"sample_088Bo"	"sample_088Cb"	"sample_088Co"	"sample_CFAb"	"sample_CFAo"	"sample_CFBb"	"sample_CFBo"	"sample_CFCb"	"sample_CFCo"
"0026fcece5bad932ca77e9b27dd8c599"	2.5057969206795	3.46433930300809	2.24771910835279	3.84134600230157	2.01922699202232	3.29935511414919	2.25939696806041	3.38025045190157	3.21819623399863	3.53353145778927	3.34548733020355	3.56414491263053
"00306dbb19665982fc78754ac92927bf"	2.71235306497559	3.49244367923963	2.38539039573091	3.79025890371181	2.50107496123471	4.11149063571935	3.58543928400651	2.62491011819617	3.36090112298382	2.79400596017524	3.33504634541391	3.65726616035692
"0032aede248babc5516f057b3bcd4409"	2.25322466625582	2.75603496165613	1.80035574845341	2.72455065017816	1.9887014033102	2.56914362612936	2.05191205897586	3.32107278174665	2.67342397311897	3.33416800981893	3.10350950659645	3.56629614053659
"0034860642bb665e3bc98da83b24f6f7"	2.14100924806395	3.67360539734608	2.23661621605183	3.70666043140902	2.51005281804303	3.46706127410702	2.18354747067283	3.47970488073656	2.57997558837479	3.16570894483575	3.4655453846523	3.85023695941967
"0051ee453ff489fa79b20379bcc79b6b"	2.1607203243996	2.89879525059348	1.68838505325635	2.8171142578224	1.77951085080433	3.18000698275622	2.08136985361815	3.08646859926419	1.77705953704084	3.38306927713354	3.08522800905022	3.32517749244754
"00539cb2af8b7b06ee1279130fa2f307"	2.0005525432278	3.9033244827361	1.7887750201871	4.04497608085951	1.84813035082365	4.33977001782495	2.44969113178826	4.51070274697797	2.32097809979093	4.65243751504201	4.27124511857527	4.55131909691513
"006c80037cfc5a276d7d1b8ef20cdccd"	2.56374604644889	2.50289915947275	1.52132306904417	2.99317646725305	1.89395258087007	2.40586948585907	3.07593806610919	2.38405678238062	2.57361873897985	1.5133557656137	2.08067798044198	1.57584134739554
"00823592d773ca77be3da202ae020b29"	2.8953051243632	3.74855303559955	2.67897697428317	3.83722445641957	2.38826358208313	3.51275545273749	3.09321608929916	4.45237120553681	3.2818686520361	4.40353457180824	4.31589302873133	4.65807886693594
"008810a5ca2332a04d285ca396b6a5f1"	2.16127725633982	4.23219627547368	2.11192567262253	3.72446954606942	2.2063913229388	3.80866093599022	2.3313754447133	3.96417482717559	3.28813200035428	4.05015704958266	3.89731927344294	4.27442561095132
"0092362bbf11972deda26d5b9e919f85"	2.6528902393743	4.63534966799293	2.4404530297077	3.7683589437076	2.45992779690253	5.1480396206683	1.48654685300898	4.22295129860826	1.28530649370849	4.19377859089752	3.40983305334999	3.40731701842988
"0095b52bd61b59e97345c0564dc8496e"	6.2299162485135	6.19468327085986	5.71531861016252	7.02242829241789	5.86163708645049	6.01135471959158	5.63405024419647	5.56909765518585	4.88649485289338	4.64967759222818	5.32789480939254	5.42269644926596
"00a550b3fa43f178639afb2a02540b16"	3.35803375878001	1.6002639601211	3.59401972284244	2.0005525432278	3.89556267443172	0.578801978775085	3.53619250251365	1.69670565655887	3.38283542809703	1.46569501656816	2.70544307215979	0.971711815206825
"00b08f570ae6322b03af00df9230f86d"	2.9124908721767	1.39834644214403	2.65599872463041	0.880049894477776	2.1224100308313	0	2.0811452995388	0.939014227009374	1.38443907162406	0.621090271424502	1.48298477892835	0.529052390683763
"00c4a692e67b1c93a289ffcae447cfcf"	2.27852393099678	4.34813939324064	1.70372211155474	4.32281815028634	1.95967215954285	4.48987560156709	2.33579856799926	4.337590408346	2.49335750715752	3.90255286486516	4.74201127551835	4.81661407437961
"00c6a28930e3eafc29b6cf8827820e4c"	2.75048497439534	3.15357071664448	2.46072494832697	2.99337750325731	2.67778066635014	3.42486573003558	2.92238586382834	2.57337177543235	2.48658796543783	2.40889780681551	2.5041404086231	2.04911945542891
"00cee8684ccbb62fce87c20103b8aed2"	2.92378611683866	4.43234230133914	2.61223656124981	3.38966109384382	2.31359031280072	4.54353730605022	2.09176516916119	3.85020666332935	1.1252211052926	3.71708353765595	3.50072734659853	3.52898892326627
"011b116b1e264e2cde7ec36aa569ad7c"	2.38506053148464	4.61364854292991	2.08630543120116	3.96466403121759	2.14713289989905	4.60218292857425	2.80685632357778	4.83672136593079	2.90227046445955	5.00152232349245	4.58880524786174	4.88154677157744
"0127000197e26a049598b4a6d0225ba2"	3.57270939708958	0.915289689833416	2.92497841154379	0.832124526285831	2.54067475115946	0.996651776959194	2.96778811080916	1.22896649358202	0.489999997373214	0.98821899490561	1.63493870281451	1.02774834681357
"013c9c13c8d7029019462bef0627adba"	2.9474076498178	4.2149313981908	2.91681661726382	4.11078255279063	2.62465165636909	4.92344521089855	3.12578883594263	5.06514115599177	1.83692019781439	5.19057811282368	4.66038409272112	4.94587795435297
"015116cb2ae1efade79e1af688f3c15b"	4.34135879493783	3.18793320158783	4.67900282023981	3.5205158305607	4.16714169941648	2.9872473784252	2.39989980782947	3.3807679819852	2.5845745934592	3.18540143711743	2.97316759530457	3.2954839148355
"01525c063123cb2134c64e84ad1e2118"	2.51429067947616	4.05800694229185	2.42592068464007	4.50942749266328	2.48278773981633	4.21946829263474	2.27827272810035	3.96446348954187	2.77607762892059	4.03843219527259	3.52505779407815	4.14583431730998
"0160f5a856b526939ba1062b1cc9df76"	1.91138056161224	3.42576880218575	1.61122536738821	3.08384445912122	1.66002961054623	3.76678122545621	2.24982377421737	4.36406641110914	1.10109453866824	4.05623167253907	4.02521110942549	4.09294010977364
"017a60cbade7b309db182bcabe59d6a4"	4.17520754875954	4.41120696724656	3.21836929660442	4.08151359632087	3.22808211661667	4.59252679409913	3.57144028432891	3.88708108576335	2.30137716374116	3.50698028810043	3.76518713370774	3.8276593492211
"017d459400583fe36857c77a1d541f39"	3.5858462282152	5.07773565591595	3.63207203749079	5.45595886067287	3.60639255349965	5.48340326569125	3.87925449437806	5.52522773449225	4.27082028761294	5.33846933825313	5.02528180175133	5.37236661697767
"018de0ee05bc68de9383baf688539f9f"	2.74277756042271	3.89299809115043	2.73049382060838	3.20686919140612	2.73538683068147	3.73597417820307	2.11440223226983	3.83819354217953	1.80990844240993	4.03440345675513	3.56285195104166	3.7064267950646
"019ee757485f09fa0c7881843036a765"	3.19366631871136	3.12642802454425	3.00033765249798	2.58896181384501	2.5678083435862	3.24315703577133	3.42082901394736	2.84647420535894	2.41767793554588	3.85765095548011	4.00850413576587	3.62106988225176
"019f94720ba42ef1861b87fc58cdd3de"	3.96895177067865	5.06208452299206	3.85656018854496	4.67835540396367	3.88952337649042	5.58288055533468	3.39922290032285	5.0273777667676	2.08459125909438	4.9829339571641	4.87761692794638	5.15672841019881
"01ac16555e036cea2ece2a239591aae6"	2.39145640589668	4.23573127090585	2.23661621605183	4.06938293011589	2.28563626972274	4.59868238565136	2.24869453376611	4.19456016152632	2.09251807203743	3.91008806958688	3.99407733379041	4.00373760729234
"01b2f3b340d5c58058b29719f8ce8d4e"	5.82984744613471	6.00776211729343	5.61835050429248	5.68347622456335	5.46882086437005	6.2507977996193	4.82042278144006	4.86044612599831	4.76612223256572	4.82030014607758	4.12761336708907	4.57432409955166
"01e013346904f75a91f713c559585ff7"	2.96233281187041	2.51245046938849	2.84970785629012	2.22398778614692	2.9145962953114	2.16473311421427	3.34548733020355	3.14888828743648	1.95772578299574	2.84293674176538	3.22123527916543	3.03864117696428
"01e7154d4b5f3188595e288aeab7f7a0"	2.3491327446107	4.1133504669904	2.35245277167425	4.0568019070084	2.2513928461326	4.80828995275266	2.87897448299086	5.28867902432655	3.57411679865459	5.0321194588886	4.99577654261387	5.20797267728418
"01e9bb0d97f8ed373a8d529ffb971acc"	3.61158147622099	4.56425714565663	3.64261821451745	4.30439801075395	3.62187923882541	4.45668433070174	3.42529274276263	5.05131683715367	3.58037934843047	4.63339979456339	4.50180447937506	4.89779472430815
"01ea06c562e6b8f6bbc5be68d99c0373"	5.54963499482382	5.42044340215704	5.44300463781337	5.55665569163232	5.25409553663157	5.0409029712402	4.4443658328227	4.92168213488537	4.22183628604373	4.83925171492526	4.73735840696131	5.0677300288717
"01feb696b69822d637cdf0956d28bad4"	4.69902621812289	2.74602269966225	4.69393828570306	2.9010665860199	4.51896699142196	2.39781163293702	5.77524501932159	0	3.88176567447222	0	3.12445261159274	0
"0202a0b2dfad6a6e5b225afdddaf5729"	0.785508371812018	0.273040365605805	0.979346204589569	0.414667694373663	0.911164008519446	0	1.63405944597824	0	0.491578271385409	0	0.595109476425712	0.328160678683509
"02104476719f02b32307edfdb1e6a0c4"	3.54746334435798	4.86722871141447	3.22254349075137	4.71585341086258	3.14535500338471	5.11650348086729	3.01783572522462	4.31373579407254	3.30787314272307	4.55316009702292	4.14096630443908	4.57226186264174
"02266378f920e88e1dac1ed916c48ff6"	3.52616874152108	3.87733424743514	3.18288961905158	3.53788620103113	2.44724977986089	4.06848951593406	2.44947026505809	4.15304951565973	2.062851291829	3.99523740970894	3.88984021263474	4.10667978853438
"022b87e073ba519506a6d0d9dac1bba1"	4.01651238175426	6.07186028476679	4.27478323639348	5.52056059269114	3.96300999290853	6.4745029780054	3.90531254053666	6.18438858179696	4.46574755404064	5.91864627524089	5.78837364085251	6.0512635481934
"02556710e6071f6303dfb662fc79f6b6"	2.4636949301874	4.23623525169929	2.39463906802219	4.57813397932521	2.16127725633982	3.99590228250986	2.01407814709435	4.00296511362851	3.43612092648045	4.04271170141647	3.7795267796906	4.24717219578093
"025bc839c8c1f60b74081f09ba0e8632"	1.53862910742317	0.635740500610399	1.36331740095587	0.218235526641623	1.4527747456198	0	0.960134587968153	0	1.31840088507624	0.229949140666822	0.988830160220261	0.26555915536401
"026f6d9d6a5c591d5465aaeddf6222f1"	1.34985856647868	3.72614922695863	1.33162695977758	3.53889865158484	1.38535391904283	3.49863317952676	1.54661397389268	3.67762334109819	2.49084100660952	3.74346460439372	3.30445884891394	3.52997234706667
"027ee5073ec17a7192c3036f2b817f18"	2.36234722532628	3.8543481288325	2.36398682454718	3.92384761832081	2.49723039947683	4.12580672990737	2.74214670003937	4.34601629077417	3.08419772659679	4.21075584577275	4.18989048620897	4.48297715455283
