"sample_008Ab"	"sample_008An"	"sample_008Ao"	"sample_012Ab"	"sample_012An"	"sample_012Ao"	"sample_020Bb"	"sample_020Bn"	"sample_020Bo"	"sample_020Cb"	"sample_020Cn"	"sample_020Co"	"sample_020Db"	"sample_020Dn"	"sample_020Do"	"sample_024Bb"	"sample_024Bn"	"sample_024Bo"	"sample_040Bb"	"sample_040Bn"	"sample_040Bo"	"sample_040Db"	"sample_040Dn"	"sample_040Do"	"sample_043Cb"	"sample_043Cn"	"sample_043Co"	"sample_056Ab"	"sample_056An"	"sample_056Ao"	"sample_106Bb"	"sample_106Bn"	"sample_106Bo"	"sample_16_1_1"	"sample_16_1_2"	"sample_16_1_4"	"sample_16_2_1"	"sample_16_2_2"	"sample_16_2_4"	"sample_18_0_14"	"sample_18_0_14_resequence1"	"sample_18_0_17"	"sample_40_2_1"	"sample_40_2_2"	"sample_40_2_4"	"sample_7_1_1"	"sample_7_1_4"	"sample_7_2_1"	"sample_7_2_2"	"sample_7_2_4"
"002c8b16c60ae57f34435016c957fe69"	3.32183839538689	5.02032341303297	7.06245536078274	2.68993220653236	5.14589006082589	6.62150307877446	2.60025086207898	3.56830975180618	4.09044844888658	3.28055009796088	3.02785632641424	3.6699402339745	2.30360976783542	3.51975617559952	3.6605177360811	2.71180075573763	6.0095973152799	6.88485022354058	4.12901652944295	5.89484855510932	9.25001417690747	4.25638561200201	7.68600701357223	9.37571293185656	3.86824654064504	6.14181324142591	7.73647915402558	5.08342108909319	6.87230217484892	8.48747237010924	2.26245608746811	2.86353285060673	4.02349595205962	4.68380236702881	4.02806853249033	3.09885639033502	4.88618760891906	3.71335267678644	2.44598146629486	9.94376317596189	9.82231007061307	6.62028434947856	7.12747712569315	6.2403049641967	2.3117204734584	3.81393619434855	2.05915273371699	1.81360575845787	2.90082251357095	3.93926864894279
"003096becb056512a6852b6d97c81e70"	2.42933139385668	1.96107951031278	4.75412142928472	1.48900662324777	1.76979159948541	4.16198374010138	6.78735653114707	9.80762969213063	23.1979236696002	17.4076555644057	7.75751523959545	20.4046216614296	4.36613431550236	6.0046024321109	20.5777856722643	1.53304594934234	2.2722774204191	4.71519946100804	1.7799749824555	3.31350225678839	9.22802651773402	3.17222870050772	3.61648752030075	8.18038729903813	0.193331557022263	0.35527296162064	4.79632954080859	0.35527296162064	0.335137059955132	5.10483636816104	0	0	4.24535617748024	9.31231597148853	1.43880238433555	0.346824184128204	10.0281938094372	3.05191674974213	0	10.6995903446221	10.6965011957657	6.67119923457767	4.66979252861254	0.132947472176155	0.204982839337034	4.36505308301671	0.10340911290936	0	0	3.86520798437867
"0053ef839671147b583abc1da338caa2"	4.3068195394749	4.25209625062842	1.12781018436677	3.74097510153019	3.29871420397577	0	4.17880929370543	4.27568964241792	0.215159765543102	3.186592273868	3.9593044511016	0.766531462341519	4.67918860556067	4.66737800564988	1.27888953506054	4.16591370116924	3.74601422878559	0.41798309680047	6.79554187585909	8.19815470870131	0.406131552651325	6.35555949172873	8.35521386492539	1.88558467275825	4.38720766274131	4.62780886996998	0.322771432840649	6.4617857949391	7.27321632167346	0.398314396359297	8.79975905682047	8.30332011603874	5.06453795197904	0.0851092357321053	4.70372161635086	5.01452782834541	0.407731870393584	5.58359931099559	5.78117845205804	0	0	5.24650313649706	0	5.97110392858401	3.30821095631639	4.84298595752247	6.7630437382854	6.59776907314642	7.69433429190914	5.75975864517365
"005a280b00d3ecf88ee311777cf5222e"	3.19418100227539	3.18651460351581	4.137012132619	3.30751983505333	3.24106892603701	3.84294641615124	1.99736234510304	1.30091837342464	2.41112877699164	2.0965179070793	1.88485447006137	2.26614514991337	2.08265587018649	1.71867681740759	2.43804317835352	3.08961780266162	3.59140057437899	4.19460534632582	3.59559571968156	3.87869783933451	4.42282062880213	3.04880373606313	3.49033094965511	3.42728089641818	2.55401642555249	3.35038695313226	3.07087100714771	3.29185855560376	3.53848234581459	3.02429849597249	1.92022670646927	1.36540391736587	1.16789422948161	3.01169567771033	2.56325977707798	2.72414478562667	3.52687157048056	2.39735421736336	3.46075156409606	3.32875929652199	3.43107005050003	3.6714738516569	2.30831892312662	3.99203200791828	2.92790493685312	0.683351862691644	0.841327932921629	0.897148686345789	2.19603498115829	1.18284160486848
"005a669dcc950227443b1c6e9c6e8d8b"	5.50180832565602	8.64241182183985	12.687129807191	3.74661202968759	7.52981318933237	10.2927055290439	5.20210289119177	5.25933621291671	9.72822832384453	7.0014786208141	5.49140900111775	8.46571387736833	4.71329440461265	5.37190973474248	8.31478445953868	4.6735763459955	9.47404470671933	12.9180193827449	7.164861991523	7.96098436375749	11.8607630790107	7.0959567087786	8.47245436508422	11.7020491755112	4.93965032227829	8.12406159422959	11.2817345469725	7.23560458701546	8.77715732443542	12.5683203432858	5.8780226038627	6.82281800008946	8.07293535704703	8.80183252653057	6.87188767362861	4.51615004764552	9.01239406832951	5.74495133794344	4.37098312829714	12.5448000739666	12.3723905337353	8.6005323067813	8.30959610958424	8.67033907754008	2.91837576721885	6.99106839978787	4.0129968948479	3.3392475188272	6.43460007696194	7.5787998858126
"009abe199ed67a7996cc43e8b23c3036"	3.62882632521431	4.73817500249574	3.78180770847576	3.86187000802322	4.41497041741863	3.66183079008783	3.33215979488978	4.30008654060069	0.265494744014708	2.10435364237605	4.76296862749286	0.587897769840848	3.38178021606607	4.58104293055324	1.11465360272013	3.45656712270618	4.60811798695052	3.91869946816717	4.28486712090514	6.95009324383848	1.24461558278795	3.8159965691734	6.01146127321283	2.00320823568025	3.97187927566751	6.75399956364613	0.537048771806268	3.80017943119757	4.31515269523538	0.193331557022263	4.13641593594302	5.54774290088036	2.3955762222417	5.2982805658709	4.63758562260828	3.83815284499498	5.25199157681198	3.54712180413847	3.42235895445454	0.372184053539502	0.460268900148838	3.96086650150874	0	6.58968031024907	1.53778787093855	1.96871177625298	4.54756416610515	2.88404484065511	6.14387702427877	1.84661138254698
"00a7492993e99c31e0ae624d3b3d151b"	1.91118042202476	2.425808856567	3.57959737026025	1.47083310032542	2.6503253915964	2.87943522701869	4.49515596975481	4.45170646348494	6.18785627811816	5.06491722073674	4.56567830647253	5.96366413179761	4.49175581381007	4.8803189941844	5.82577725069134	1.56693220960553	3.02002602612247	3.37530539177296	4.88371295080744	6.4233853225329	7.23448410736136	4.87953099803137	7.11519264445677	7.56192832307587	2.40909846385886	3.62244788896534	4.85472478668039	3.29449871181598	4.20476124390192	4.73830251399692	2.56650698987591	2.98441118113632	3.47442677750452	9.1265626029872	7.62550614286594	5.77499495396963	9.22532884524712	7.83257984570675	6.73056344980031	7.09252681460883	7.03235086046242	5.47709460536954	3.05491670585401	4.15382895775696	1.62547916088034	2.47709328815544	1.33401505446619	0.897148686345789	3.53163497258047	2.77925644349777
"00e1fdb5474821f870fd6c48acac291c"	4.09580191643206	3.60668382640365	5.04902360962069	3.48470116980369	3.68313222035981	5.00183333694287	6.15640565833594	6.05785029780923	6.5556606157277	6.51059510310465	6.63952097412359	5.93642087178426	6.45278377166357	6.78140796291935	6.09501755328414	3.8774165501939	3.98886950296737	4.98322757727733	5.02257045255511	4.15011506891992	4.54136313059754	5.10823436753532	3.79105465202942	4.19992155444718	1.58259442837722	2.47704020696447	2.22122122964523	2.29264525608582	2.76372801940133	3.18540052716097	3.97604336109117	3.72109612884797	3.79343156810317	4.96318557912324	4.1907506564443	3.14070513720462	4.4572842350375	2.48374364042138	2.59470395830774	4.44540980114621	4.38086971570113	3.84284011588891	1.7806973422252	3.5915851522406	1.2695976102425	2.92319760157577	2.34234268123487	1.92376897520369	3.65163451782743	3.07225826636662
"0120a2850c6c5d13db081628957cfdbd"	3.46450811813051	3.05761821721653	3.21416374041538	3.1749036654512	2.92686653684221	3.59103382527351	3.47071685224924	3.22485932795625	3.93426438204651	3.68411060118881	3.82766779225549	3.89922319626498	3.96660489844272	4.26742325729202	3.81293318778333	3.01937653193502	3.10524162089512	3.31286313005962	5.09215076287839	4.85075210367072	3.75809996635543	5.30088855819992	5.64466602747244	3.63513579160399	5.30049133294776	6.32962842249148	5.09560401092805	8.54238774485402	8.32381800049442	4.41330891778176	3.21952841188697	3.31190413044941	1.89325201392179	3.84760462074366	5.78994479563288	5.73122699754778	4.22607788188563	6.12395439999327	5.66005186834417	2.32745329992293	2.37049604608497	3.98970970913342	3.39448530262396	5.7248137687521	3.11496153568693	1.78151382810844	2.25740308658734	1.9737698665058	3.17500209520415	1.47366171640839
"01896a313d0020c8b2b980d58a1a0267"	1.38136221807433	2.84368072234719	2.34627178036077	1.56136364195162	2.69534246543353	2.0556814941155	3.96811913969332	3.52965731950502	5.37571238757534	4.14642372440132	3.68651977225323	4.81930295789241	3.31718673434023	3.58086887458106	4.53576724471973	1.32639572571154	2.96600063637735	2.58929894687346	4.13472966131745	3.99402686570723	4.15326891587208	4.37731053132017	3.67571315758218	3.89139367650833	3.07547679831388	3.64758211225904	4.72097699463804	3.53972107946796	3.70726207858511	4.97582189232886	3.78796499825324	3.75480611290497	3.68408372295612	5.54090306450681	4.84149466198499	4.60183647534456	5.43616540030713	4.73775043642026	4.87200223962064	4.44717161250441	4.40991170691341	4.05866384255838	3.98041418927072	3.52139737560174	2.1035015151719	3.37059056878259	2.84962065206695	2.9173233347197	3.62908035083829	3.37266861208811
