"sample_040Bb"	"sample_040Bo"	"sample_040Db"	"sample_040Do"	"sample_088Ab"	"sample_088Ao"	"sample_088Bb"	"sample_088Bo"	"sample_088Cb"	"sample_088Co"	"sample_18_0_14"	"sample_18_0_17"
"00306dbb19665982fc78754ac92927bf"	2.67480890898749	3.40849235679921	2.40850208888371	3.49497777090629	2.71235306497559	3.49244367923963	2.38539039573091	3.79025890371181	2.50107496123471	4.11149063571935	3.96822759297345	3.07463299294176
"0034860642bb665e3bc98da83b24f6f7"	2.29132961984735	2.93397760194817	1.55300796954876	3.18398051019977	2.14100924806395	3.67360539734608	2.23661621605183	3.70666043140902	2.51005281804303	3.46706127410702	2.33806974302635	2.40714491864446
"0051ee453ff489fa79b20379bcc79b6b"	0.919076202477152	1.76632737948895	1.08486004750821	1.8952114506445	2.1607203243996	2.89879525059348	1.68838505325635	2.8171142578224	1.77951085080433	3.18000698275622	2.3897134435495	1.56591380569541
"00539cb2af8b7b06ee1279130fa2f307"	2.26007417304183	4.43655388169503	2.10994649811804	4.31120307063428	2.0005525432278	3.9033244827361	1.7887750201871	4.04497608085951	1.84813035082365	4.33977001782495	4.0669939201993	2.67140004789361
"006c80037cfc5a276d7d1b8ef20cdccd"	1.27264016318804	3.21872391636426	1.98811195878326	2.59619472515376	2.56374604644889	2.50289915947275	1.52132306904417	2.99317646725305	1.89395258087007	2.40586948585907	1.34327102821263	2.10717227402822
"00823592d773ca77be3da202ae020b29"	1.48880112978996	2.3549742697362	1.25305414899894	2.4195504898939	2.8953051243632	3.74855303559955	2.67897697428317	3.83722445641957	2.38826358208313	3.51275545273749	2.40217605889569	1.88793026641604
"008810a5ca2332a04d285ca396b6a5f1"	1.63411101263898	2.95767208672945	1.41249802661653	2.83214807097192	2.16127725633982	4.23219627547368	2.11192567262253	3.72446954606942	2.2063913229388	3.80866093599022	4.21162376727345	2.28417669331069
"0092362bbf11972deda26d5b9e919f85"	4.4446257764304	5.03666230053986	3.59971211835086	4.99230362441128	2.6528902393743	4.63534966799293	2.4404530297077	3.7683589437076	2.45992779690253	5.1480396206683	5.3469508517773	4.7830636197673
"0095b52bd61b59e97345c0564dc8496e"	7.2781841229063	8.0324231858856	7.55850333659167	7.77451827274606	6.2299162485135	6.19468327085986	5.71531861016252	7.02242829241789	5.86163708645049	6.01135471959158	7.9921169414333	7.5102996775346
"00a550b3fa43f178639afb2a02540b16"	3.91797326745464	2.54867925268507	2.92146121117871	1.92107574069811	3.35803375878001	1.6002639601211	3.59401972284244	2.0005525432278	3.89556267443172	0.578801978775085	1.56671828521394	3.45350832473626
"00b08f570ae6322b03af00df9230f86d"	1.1800386540303	0.325050108920519	0.812040710500356	1.07175483449823	2.9124908721767	1.39834644214403	2.65599872463041	0.880049894477776	2.1224100308313	0	0.417196030983863	1.75663302975248
"00bcc118d77be26d37aa6816c6eec493"	2.86408481948799	0	2.63494172928157	0.223543471335537	3.39551795085091	0	3.48857435847869	0	3.39142175554723	0	0	2.92505226536625
"00c4a692e67b1c93a289ffcae447cfcf"	2.12800548978815	4.1933886713187	1.85537569017753	3.81562883832181	2.27852393099678	4.34813939324064	1.70372211155474	4.32281815028634	1.95967215954285	4.48987560156709	3.87835246155087	2.59710374270481
"00c6a28930e3eafc29b6cf8827820e4c"	4.40542495439816	3.99141496628142	4.24055806345313	3.29125240100391	2.75048497439534	3.15357071664448	2.46072494832697	2.99337750325731	2.67778066635014	3.42486573003558	3.7909536700183	4.32215111304276
"00cee8684ccbb62fce87c20103b8aed2"	2.84812969316222	3.19628323472499	2.38557556078559	2.94811559123915	2.92378611683866	4.43234230133914	2.61223656124981	3.38966109384382	2.31359031280072	4.54353730605022	3.09929440064321	2.30090910479347
"0112c347c6def14a99ba74cd77bfc94d"	1.08312633113266	2.79814072154914	1.28699875002431	2.80321491578154	1.8203048131103	3.89165906062277	1.64495948450118	3.970596018251	2.03072387488241	3.80943331415516	3.36865008498288	2.05800082344499
"011b116b1e264e2cde7ec36aa569ad7c"	2.75340590282301	4.15221873836161	2.62167861939992	4.10212587579043	2.38506053148464	4.61364854292991	2.08630543120116	3.96466403121759	2.14713289989905	4.60218292857425	4.28141040263936	3.24386107756211
"0127000197e26a049598b4a6d0225ba2"	1.7479468962714	0.210098837793401	1.98272412217803	0.417196030983863	3.57270939708958	0.915289689833416	2.92497841154379	0.832124526285831	2.54067475115946	0.996651776959194	0.0954919814592207	2.64566402866611
"013c9c13c8d7029019462bef0627adba"	4.18860763765862	4.15863646548142	4.13596098127204	3.70887535611766	2.9474076498178	4.2149313981908	2.91681661726382	4.11078255279063	2.62465165636909	4.92344521089855	4.4699998160834	3.18407406552119
