"sample_008Ab"	"sample_008Ao"	"sample_012Ab"	"sample_012Ao"	"sample_024Bb"	"sample_024Bo"	"sample_CFAb"	"sample_CFAo"	"sample_CFBb"	"sample_CFBo"	"sample_CFCb"	"sample_CFCo"
"00306dbb19665982fc78754ac92927bf"	1.14168003620066	3.05947180644256	1.42545103178093	2.308609330465	1.1676869397181	2.75750968410333	3.58543928400651	2.62491011819617	3.36090112298382	2.79400596017524	3.33504634541391	3.65726616035692
"0032aede248babc5516f057b3bcd4409"	1.73988091589059	2.6129883238016	1.97224948866988	2.99903007980845	1.7988335554413	2.69264379624379	2.05191205897586	3.32107278174665	2.67342397311897	3.33416800981893	3.10350950659645	3.56629614053659
"0051ee453ff489fa79b20379bcc79b6b"	1.34042318256374	2.66802233562245	1.27196737767908	2.16678885182094	0.901603399122278	2.45020995448319	2.08136985361815	3.08646859926419	1.77705953704084	3.38306927713354	3.08522800905022	3.32517749244754
"00539cb2af8b7b06ee1279130fa2f307"	1.46063247429251	3.74708282683313	0.954038499484924	3.09374706397674	1.09226716145969	3.85717942506772	2.44969113178826	4.51070274697797	2.32097809979093	4.65243751504201	4.27124511857527	4.55131909691513
"006c80037cfc5a276d7d1b8ef20cdccd"	2.60049543093496	2.11384641104977	1.46484509440062	1.82182226691346	2.15794354853774	3.83224386719806	3.07593806610919	2.38405678238062	2.57361873897985	1.5133557656137	2.08067798044198	1.57584134739554
"0092362bbf11972deda26d5b9e919f85"	1.50390293711463	3.7974463737599	1.23008197410087	3.00366075987611	0.799334354441691	3.70103625980123	1.48654685300898	4.22295129860826	1.28530649370849	4.19377859089752	3.40983305334999	3.40731701842988
"0095b52bd61b59e97345c0564dc8496e"	7.13561910823496	8.26891014955157	6.4299584414206	7.64784570253546	6.30534341128089	7.44762015839823	5.63405024419647	5.56909765518585	4.88649485289338	4.64967759222818	5.32789480939254	5.42269644926596
"00a550b3fa43f178639afb2a02540b16"	3.59432973508601	2.46162352257293	3.86298852641627	2.916118827901	3.6901330430429	2.55371378180422	3.53619250251365	1.69670565655887	3.38283542809703	1.46569501656816	2.70544307215979	0.971711815206825
"00c4a692e67b1c93a289ffcae447cfcf"	3.11709600198271	3.82394844527772	2.50710306002508	4.21032812795133	1.99422196754317	3.59140057437899	2.33579856799926	4.337590408346	2.49335750715752	3.90255286486516	4.74201127551835	4.81661407437961
"00cee8684ccbb62fce87c20103b8aed2"	1.03244964074383	3.86896203863665	0.706655941323986	2.7190900172501	0.917036999697315	3.15387574129798	2.09176516916119	3.85020666332935	1.1252211052926	3.71708353765595	3.50072734659853	3.52898892326627
"00d413ed2e7ee7dd251ede7c7ed3ff78"	2.65220304483522	1.8892959568478	1.19445717397681	1.24933854040006	3.82045515436819	1.67224837884478	2.48071119449383	3.772907134304	2.60837836308103	3.70792002641407	3.18603026715872	3.18728674220146
"011b116b1e264e2cde7ec36aa569ad7c"	1.27568956266247	3.04693072594418	1.15332614293146	3.12238496833934	0.775114189423935	2.96805450356149	2.80685632357778	4.83672136593079	2.90227046445955	5.00152232349245	4.58880524786174	4.88154677157744
"0127000197e26a049598b4a6d0225ba2"	0.724839627292435	0	0.501953381566355	0	1.31216869650197	0.564395774148579	2.96778811080916	1.22896649358202	0.489999997373214	0.98821899490561	1.63493870281451	1.02774834681357
"013c9c13c8d7029019462bef0627adba"	1.76068323293224	3.42848207905065	0.906989610239071	2.32568326440668	1.01387468832435	2.94031654623578	3.12578883594263	5.06514115599177	1.83692019781439	5.19057811282368	4.66038409272112	4.94587795435297
"015116cb2ae1efade79e1af688f3c15b"	2.63422136947233	3.4280504230723	2.00502977338474	2.52217072240395	1.85866004227329	3.28486054974883	2.39989980782947	3.3807679819852	2.5845745934592	3.18540143711743	2.97316759530457	3.2954839148355
"01524ceb0052552ad3c425bf777b0b3a"	0.974491713162854	2.48406713082388	1.28309262473153	1.85658388699329	1.28309262473153	2.53279601153133	3.16891149964139	4.50146714041196	3.58629463819045	5.04359686991079	4.37293008624475	4.79055032720691
"0160f5a856b526939ba1062b1cc9df76"	2.02454571332062	3.57662467196646	1.42069095690768	3.17878897672828	1.66974624894349	3.00629726694858	2.24982377421737	4.36406641110914	1.10109453866824	4.05623167253907	4.02521110942549	4.09294010977364
"017a60cbade7b309db182bcabe59d6a4"	5.70139561169716	4.30286707857383	5.4833421829079	4.3730693880493	5.51168634196327	4.59852067692376	3.57144028432891	3.88708108576335	2.30137716374116	3.50698028810043	3.76518713370774	3.8276593492211
"017d459400583fe36857c77a1d541f39"	3.25194051313803	4.77779811939336	3.13808607155888	4.78170888759291	2.91755854741254	4.76891432960442	3.87925449437806	5.52522773449225	4.27082028761294	5.33846933825313	5.02528180175133	5.37236661697767
"018de0ee05bc68de9383baf688539f9f"	3.70037883209861	5.06930286488208	3.50088825523123	4.98541313965668	3.49484876217693	4.76427245785292	2.11440223226983	3.83819354217953	1.80990844240993	4.03440345675513	3.56285195104166	3.7064267950646
"019f94720ba42ef1861b87fc58cdd3de"	2.76809175100447	4.34740368060868	2.33731641698011	3.46284156198351	2.78794089722258	3.62315890131879	3.39922290032285	5.0273777667676	2.08459125909438	4.9829339571641	4.87761692794638	5.15672841019881
"01ac16555e036cea2ece2a239591aae6"	1.25721525724279	2.65217779698296	1.01992200277372	2.18709001755468	1.09159480518581	2.8070362108791	2.24869453376611	4.19456016152632	2.09251807203743	3.91008806958688	3.99407733379041	4.00373760729234
"01e7154d4b5f3188595e288aeab7f7a0"	1.50979988097553	3.24054827158943	1.42709795547086	2.64372570150484	1.27196737767908	3.00233989506128	2.87897448299086	5.28867902432655	3.57411679865459	5.0321194588886	4.99577654261387	5.20797267728418
"01e9bb0d97f8ed373a8d529ffb971acc"	3.10045718575609	4.19827876892957	2.84295933378296	3.69876365164998	3.07491792654025	4.39901775676221	3.42529274276263	5.05131683715367	3.58037934843047	4.63339979456339	4.50180447937506	4.89779472430815
"01ea06c562e6b8f6bbc5be68d99c0373"	5.10391192278789	5.76453234353086	4.59476337246256	5.00967710184332	4.77555650872791	5.67750639571111	4.4443658328227	4.92168213488537	4.22183628604373	4.83925171492526	4.73735840696131	5.0677300288717
"01feb696b69822d637cdf0956d28bad4"	6.09174824751999	6.18969410632919	6.43070906887773	5.91292984141103	5.95084451135935	6.30115473577041	5.77524501932159	0	3.88176567447222	0	3.12445261159274	0
"02104476719f02b32307edfdb1e6a0c4"	2.06180589963626	3.43777240607328	2.02884980739555	3.3859748703202	1.93423828780836	3.77494591025648	3.01783572522462	4.31373579407254	3.30787314272307	4.55316009702292	4.14096630443908	4.57226186264174
"02266378f920e88e1dac1ed916c48ff6"	2.15430356106012	4.0913160515017	2.13658088979728	3.77113914860524	1.82389964973362	3.97780377690766	2.44947026505809	4.15304951565973	2.062851291829	3.99523740970894	3.88984021263474	4.10667978853438
"022b87e073ba519506a6d0d9dac1bba1"	4.51051230339168	5.88361224898163	3.60052585857004	6.21253842813146	3.46284156198351	5.67518162526461	3.90531254053666	6.18438858179696	4.46574755404064	5.91864627524089	5.78837364085251	6.0512635481934
"026f6d9d6a5c591d5465aaeddf6222f1"	0.825610667534697	3.16246050583047	0.983879186835169	2.69005447316274	1.10477700782788	3.33569961797863	1.54661397389268	3.67762334109819	2.49084100660952	3.74346460439372	3.30445884891394	3.52997234706667
"028a375a3a51f2d5d05b85cf4ef10890"	1.83345708028424	2.66339552400622	1.62622324717989	2.65594780755237	1.54162577218102	2.52749747899739	3.18665870202127	4.54810405024333	3.66796424813156	5.04956309255935	4.49095278589106	5.11605152020223
"02a63d174c8502c109303db99cf1e437"	2.64642874976183	3.60694925941818	2.5407837758583	3.62280141723789	2.50596973855221	4.04309526753041	3.49227924076528	4.89518086512965	3.05668888731382	4.94771514624146	4.57039528753887	4.95492315624774
"02adf979cb3500c39977fffbf7d2a048"	2.70112007283831	4.21865288784158	2.0599406362902	3.53310640506762	2.12756194835733	3.80892146287358	2.96912909164052	4.36374907466354	2.18567079814631	4.01136995702616	3.91774694375205	3.9664401718914
"02c19d40dee2d87c409a2e2f7b713d7f"	1.83981761950894	1.43979010333764	2.22020135558077	0.787297597189783	1.72576833800757	1.03299941284038	1.30611847791222	3.66290440455269	1.62147240654306	3.84796957194986	3.29435636319328	3.54413341172182
"02ccf6f06e50ce9c5e49ffe2278c9f27"	1.63281443877488	3.93808573853526	2.04371016420049	4.07188133547128	1.8195873614479	3.81839056972492	1.80741625950409	5.31840042510793	3.58207300470868	5.42818737949507	5.20762409241359	5.42363606210899
"02ed78575eba82d038ec26a744d9b6c5"	3.56326280965427	3.67547593822257	2.2497003205535	3.55529530102942	2.62131351767705	4.06930393500623	6.99035410898968	7.17076777022832	7.02696388647241	7.02221448929058	6.6741177479645	6.90102426041787
"02f7b0f943947c68160210ebf8af9e7d"	2.70428579126056	3.10583768934752	2.60318585862641	3.10285378774333	2.77806557188077	3.30556971813187	3.20429232676951	4.18397499661292	3.02262113537136	3.72283724187945	4.03639736066939	3.89355786566517
"03202b02066380ba1d7fadbf07ec658a"	3.95452735998681	3.90298115078547	3.81899600718001	3.69741504707345	3.12939368897518	3.20772650151071	4.81612156997053	4.00739878308088	5.32634330523391	3.28642770128694	3.49873755802336	3.42973663521431
"03355cd11fa9d7ee1d42bfd508147739"	3.78120130968538	2.14210232440707	3.31769601917612	1.80541743973502	3.82771912349999	2.16831171087768	1.8887845046757	1.24786690744402	1.80868413802593	1.5949329430021	1.65137375223432	1.54213068138448
"03734cd02763530410103ffac1802bfc"	2.22947951794966	0.208991548400235	1.7922806234833	0.214181226751819	1.86816827715748	0	5.41656735094466	0.768165595277886	3.49135320967974	0	2.72755997506352	0.446412534761481
"0381b98525605c48d762e395044ca5b2"	2.38091815960227	4.70940521247607	2.28597671095102	4.30504419655968	2.07942715058055	4.80540818274086	2.38471349087024	4.69093190345555	2.93941289592756	4.76460508355477	4.19057537990868	4.59184803915902
"039544c0752df4a57b038dd86e16eba6"	0.66508458344506	2.31259680810178	0.65130643812554	1.98512536768801	0.857436292360128	2.43866461138687	1.83692019781439	2.76080658465263	1.99770965815172	2.44310570402908	2.81326510615933	2.97937034426186
"03dbe23a9e8b7382924fd20ec95338af"	0.885268479311374	2.34372127815125	0.851775677127912	2.09082216106371	0.98944267574987	2.66060912650207	3.34869802694281	4.32095760787418	3.18916849959766	4.13274878829435	4.01126218387143	4.1857145046282
"03e263884fc71d9f491555f67c1f630d"	1.64694080482394	2.98298866763787	1.31574447454238	2.18491186380871	1.48900662324777	3.00233989506128	2.87003026543823	4.33520270619549	2.55429588715606	4.33121048959039	4.06749053211758	4.43989055514105
"03f86a1233871340db1328f6fc35aff1"	1.79220603616886	3.47197344010359	2.06584832105364	3.41676146384024	1.13638804812202	3.77083586794474	2.05581256323007	3.71387075380019	2.39297701615981	3.60590102475664	3.54149344224035	3.83195225736148
"03f8d34575dc20b78b31c3c1177379b9"	2.45633964509243	4.01595822620673	3.03207124120066	4.3169047549767	2.27992842832299	4.11075130029584	3.62998131606633	5.33268188437168	3.74310453660768	5.12594786733843	4.87854298739545	5.13565776833335
"040ffbbb2858152fe7b1bfe2be12eebb"	0.756556157752879	2.92971319025832	0.345329325123889	2.99570927328949	1.43346416559628	3.10821841652186	3.30780379069418	4.16017574750925	3.01951950079696	3.93814429453501	3.33741519665251	3.89701056046747
"041c4b843dce3deada3d6b1daf849177"	0.0890497148335058	2.97826103645446	0.460849356454254	2.58629792341684	0.363993597142208	2.82412837690315	0.823066055894185	3.22849152548149	2.07509008782214	3.40882739890616	3.59007893013907	3.60961197920315
"042f95fd86a3be60cda5e0a13e76be0c"	3.04122605824854	3.70136481164435	3.34433686462302	3.57513500238805	3.88973649584891	4.120947219434	6.77638104601482	5.77420614428535	7.90390148721853	5.60526692313243	6.66721661617845	5.51542269241611
"04356242a8d119e65547c999cf90c0a1"	4.31703475665833	4.31859000886342	2.93751173251761	3.54368953430052	3.50594925094489	4.29121774005769	8.84474141752591	9.03238650133904	8.52937760148863	8.6841784920523	8.44455260022459	8.62830749392922
"04731e32cb646050ab7f27f284c04106"	1.65150406155596	3.77771876556647	1.43102177987471	0.709729852874161	1.33518438622988	0.348167764622536	4.3555139592736	1.86557854251166	3.41033550157318	0	2.85613819708856	1.71054652153513
"0495aca4ee75b03118200f39e55de807"	3.51760732691308	5.29373106552926	2.89794522885077	4.88280972558623	2.65220304483522	5.43468514220735	4.01593347828187	4.77821901696939	3.87104933273867	4.91053841229129	4.721103903821	4.86971060399188
"04b93fa3ee523f9634c9c795a5f49e4b"	1.48655385009557	3.19535901531452	1.32270086714661	2.80665361041941	1.45542880571348	3.00687597383996	2.37616412528374	4.23711472897298	1.33454622646608	3.85925544589822	3.96705770801109	4.1475181211372
"04bd54b9e03f729a1a5670b1416e260b"	2.74099807595045	2.97961407042341	2.60613670061847	3.3734832003941	2.15913957457523	2.83434329365794	2.97048021633026	3.52868757889785	2.98267500800202	3.72160159296205	2.52616780808455	2.87746313128321
