"sample_002Cb"	"sample_002Cn"	"sample_002Co"	"sample_008Ab"	"sample_008An"	"sample_008Ao"	"sample_012Ab"	"sample_012An"	"sample_012Ao"	"sample_016Bb"	"sample_016Bn"	"sample_016Bo"	"sample_016Cb"	"sample_016Cn"	"sample_016Co"	"sample_020Bb"	"sample_020Bn"	"sample_020Bo"	"sample_020Cb"	"sample_020Cn"	"sample_020Co"	"sample_020Db"	"sample_020Dn"	"sample_020Do"	"sample_021Ab"	"sample_021An"	"sample_021Ao"	"sample_024Bb"	"sample_024Bn"	"sample_024Bo"	"sample_028Ab"	"sample_028An"	"sample_028Ao"	"sample_029Db"	"sample_029Dn"	"sample_029Do"	"sample_032Ab"	"sample_032An"	"sample_032Ao"	"sample_032Bb"	"sample_032Bn"	"sample_032Bo"	"sample_040Bb"	"sample_040Bn"	"sample_040Bo"	"sample_040Db"	"sample_040Dn"	"sample_040Do"	"sample_043Cb"	"sample_043Cn"	"sample_043Co"	"sample_056Ab"	"sample_056An"	"sample_056Ao"	"sample_088Ab"	"sample_088An"	"sample_088Ao"	"sample_088Bb"	"sample_088Bn"	"sample_088Bo"	"sample_088Cb"	"sample_088Cn"	"sample_088Co"	"sample_106Bb"	"sample_106Bn"	"sample_106Bo"	"sample_16_1_1"	"sample_16_1_2"	"sample_16_1_4"	"sample_16_2_1"	"sample_16_2_2"	"sample_16_2_4"	"sample_18_0_14"	"sample_18_0_14_resequence1"	"sample_18_0_17"	"sample_40_2_1"	"sample_40_2_2"	"sample_40_2_4"	"sample_7_1_1"	"sample_7_1_4"	"sample_7_2_1"	"sample_7_2_2"	"sample_7_2_4"	"sample_8_0_12"	"sample_8_0_15"	"sample_8_0_16"	"sample_8_0_2"	"sample_8_0_4"	"sample_8_0_6"	"sample_8_0_7"	"sample_8_0_9"	"sample_CFAb"	"sample_CFAn"	"sample_CFAo"	"sample_CFBb"	"sample_CFBn"	"sample_CFBo"	"sample_CFCb"	"sample_CFCn"	"sample_CFCo"
"002c8b16c60ae57f34435016c957fe69"	4.1550364783484	6.58991555552821	8.4676570634759	3.32183839538689	5.02032341303297	7.06245536078274	2.68993220653236	5.14589006082589	6.62150307877446	4.85981199581037	6.47299348637139	10.7230149738951	5.43890336274435	7.47550296887512	11.0941505715613	2.60025086207898	3.56830975180618	4.09044844888658	3.28055009796088	3.02785632641424	3.6699402339745	2.30360976783542	3.51975617559952	3.6605177360811	3.62879962075582	5.98942034454089	7.96310846044027	2.71180075573763	6.0095973152799	6.88485022354058	4.82532482829267	6.86290456612485	9.61337166904918	3.75676699381072	4.70849131611018	7.27400955858142	4.062908803801	6.96756261129338	9.0473047351521	4.42232148225384	7.22945069994689	6.85643460013153	4.12901652944295	5.89484855510932	9.25001417690747	4.25638561200201	7.68600701357223	9.37571293185656	3.86824654064504	6.14181324142591	7.73647915402558	5.08342108909319	6.87230217484892	8.48747237010924	3.15208196235919	3.83572149075662	4.51953647775873	3.04277424385593	3.63667100425723	4.65923062828802	3.0977417808496	4.26894863794187	4.64560554577477	2.26245608746811	2.86353285060673	4.02349595205962	4.68380236702881	4.02806853249033	3.09885639033502	4.88618760891906	3.71335267678644	2.44598146629486	9.94376317596189	9.82231007061307	6.62028434947856	7.12747712569315	6.2403049641967	2.3117204734584	3.81393619434855	2.05915273371699	1.81360575845787	2.90082251357095	3.93926864894279	4.2493527952512	7.61539899353392	5.95523766753275	4.74372062252894	4.29161609684312	7.61073699551696	4.74159925879058	2.15165550692575	2.88882211337262	3.72530048257413	4.32900795793305	3.11639755155641	3.42479775570069	4.46906386966252	3.9838995870235	2.44706216253461	4.29288345974412
"003096becb056512a6852b6d97c81e70"	0	0.339627254314513	9.0267649098669	2.42933139385668	1.96107951031278	4.75412142928472	1.48900662324777	1.76979159948541	4.16198374010138	4.53333560541083	3.65475935717092	10.6159314229618	3.28325860532547	2.96663516354267	10.5296447933453	6.78735653114707	9.80762969213063	23.1979236696002	17.4076555644057	7.75751523959545	20.4046216614296	4.36613431550236	6.0046024321109	20.5777856722643	4.46058869194388	5.18774657616567	15.6985753165893	1.53304594934234	2.2722774204191	4.71519946100804	3.62920930775822	3.57036603959205	9.93262675631529	9.72736818226129	5.85714936483868	16.1875252576734	1.84998603981021	0.126463473628098	9.8912923158316	1.07785546147629	0	7.03783886962841	1.7799749824555	3.31350225678839	9.22802651773402	3.17222870050772	3.61648752030075	8.18038729903813	0.193331557022263	0.35527296162064	4.79632954080859	0.35527296162064	0.335137059955132	5.10483636816104	1.85794793845236	6.18583408711882	15.5437927296996	2.38437167967687	3.52988986364297	13.7952484316007	2.20592046360589	12.4371451169259	15.7510030088311	0	0	4.24535617748024	9.31231597148853	1.43880238433555	0.346824184128204	10.0281938094372	3.05191674974213	0	10.6995903446221	10.6965011957657	6.67119923457767	4.66979252861254	0.132947472176155	0.204982839337034	4.36505308301671	0.10340911290936	0	0	3.86520798437867	5.51496378370675	14.9769584036099	6.79581416769712	6.76923389224588	6.18150125694039	14.2922614130417	8.37910192021204	5.77875349927764	2.76560388496082	3.78851481228894	15.4794718568096	6.65099345061116	4.18423510096564	15.4497481637004	15.0693267692087	7.20759943738415	15.7260194986143
"005a280b00d3ecf88ee311777cf5222e"	2.53851787236983	2.7293778088153	2.83470053176181	3.19418100227539	3.18651460351581	4.137012132619	3.30751983505333	3.24106892603701	3.84294641615124	0.688532549509157	1.67212271649933	0.699780133807483	1.48930098354351	2.37493310303691	2.36862935493474	1.99736234510304	1.30091837342464	2.41112877699164	2.0965179070793	1.88485447006137	2.26614514991337	2.08265587018649	1.71867681740759	2.43804317835352	2.04647403640559	2.29147358823933	3.06661189733721	3.08961780266162	3.59140057437899	4.19460534632582	1.85521318342529	2.92666998894372	1.56742416639335	3.54325003169536	3.18912976509506	3.56797881377438	2.92275526162359	3.00451548794807	3.17601266525379	2.51699267661759	2.966207835222	3.11658968956739	3.59559571968156	3.87869783933451	4.42282062880213	3.04880373606313	3.49033094965511	3.42728089641818	2.55401642555249	3.35038695313226	3.07087100714771	3.29185855560376	3.53848234581459	3.02429849597249	1.89372623261775	2.0215369671783	1.67477236673282	2.03982715104574	2.03072387488241	2.05332854582258	2.52828856491377	1.87786988491836	2.26414567455055	1.92022670646927	1.36540391736587	1.16789422948161	3.01169567771033	2.56325977707798	2.72414478562667	3.52687157048056	2.39735421736336	3.46075156409606	3.32875929652199	3.43107005050003	3.6714738516569	2.30831892312662	3.99203200791828	2.92790493685312	0.683351862691644	0.841327932921629	0.897148686345789	2.19603498115829	1.18284160486848	2.02104094488529	2.29160907630496	2.1554715940248	2.53349298366164	2.55694944330851	1.76318028034196	1.72185761331133	0.981335125036894	1.79486132017714	2.28448629335879	2.21058734103815	2.20053287665202	2.27671328542648	1.91158959335355	1.97896906009479	0.930591191144136	2.33432636628106
"005a669dcc950227443b1c6e9c6e8d8b"	9.16531426117522	10.5257566097114	12.7945262223615	5.50180832565602	8.64241182183985	12.687129807191	3.74661202968759	7.52981318933237	10.2927055290439	6.78570422652922	7.25871555097706	10.5595533131249	7.78205286752318	8.92420822730515	11.6724117497091	5.20210289119177	5.25933621291671	9.72822832384453	7.0014786208141	5.49140900111775	8.46571387736833	4.71329440461265	5.37190973474248	8.31478445953868	4.80156595608761	5.898323257019	7.64031236089046	4.6735763459955	9.47404470671933	12.9180193827449	6.45214317744395	8.316332756966	9.07304130240767	4.84549898611503	4.93130511218571	7.56244301284162	10.361836841135	12.1202649034585	13.8820870534343	9.7042387787171	11.2852126044756	13.7364083051775	7.164861991523	7.96098436375749	11.8607630790107	7.0959567087786	8.47245436508422	11.7020491755112	4.93965032227829	8.12406159422959	11.2817345469725	7.23560458701546	8.77715732443542	12.5683203432858	6.61892049967981	6.96933103799944	9.59325375552663	6.43408222422712	6.00835409508903	9.0451640681049	6.0442039726819	8.04557520549689	9.59697803980936	5.8780226038627	6.82281800008946	8.07293535704703	8.80183252653057	6.87188767362861	4.51615004764552	9.01239406832951	5.74495133794344	4.37098312829714	12.5448000739666	12.3723905337353	8.6005323067813	8.30959610958424	8.67033907754008	2.91837576721885	6.99106839978787	4.0129968948479	3.3392475188272	6.43460007696194	7.5787998858126	10.9406746596307	16.3930000046122	13.3091360319635	12.1285612523198	11.8810013465383	15.2684002088121	12.7170550659302	7.96877824294674	5.32671213823662	5.93625435828751	8.42950412153612	4.81641825215525	5.33157789775239	8.24340566872108	7.74335542743695	5.5127983773421	8.45890470746575
"00e1fdb5474821f870fd6c48acac291c"	4.69672645595392	4.11868327479888	4.45782684026403	4.09580191643206	3.60668382640365	5.04902360962069	3.48470116980369	3.68313222035981	5.00183333694287	9.03600462362159	9.36705662898278	9.49603939405362	10.5267590207441	10.3737888549848	10.7902327841326	6.15640565833594	6.05785029780923	6.5556606157277	6.51059510310465	6.63952097412359	5.93642087178426	6.45278377166357	6.78140796291935	6.09501755328414	6.54428191462094	5.61832716861886	6.99042201088762	3.8774165501939	3.98886950296737	4.98322757727733	11.318509743872	10.1438806289187	8.24800683206402	4.72052395568401	5.62803213551751	6.10682090527479	3.63504846882663	4.02447829157598	4.15475383536248	4.0370482506394	4.24083185314981	4.2516888228516	5.02257045255511	4.15011506891992	4.54136313059754	5.10823436753532	3.79105465202942	4.19992155444718	1.58259442837722	2.47704020696447	2.22122122964523	2.29264525608582	2.76372801940133	3.18540052716097	4.6351789840537	4.32604737829562	3.52308929762965	4.49902158209251	3.73824326324144	3.40481815208771	4.67981150160319	4.04771755673701	3.98332919912081	3.97604336109117	3.72109612884797	3.79343156810317	4.96318557912324	4.1907506564443	3.14070513720462	4.4572842350375	2.48374364042138	2.59470395830774	4.44540980114621	4.38086971570113	3.84284011588891	1.7806973422252	3.5915851522406	1.2695976102425	2.92319760157577	2.34234268123487	1.92376897520369	3.65163451782743	3.07225826636662	6.15746825877848	5.78155267056565	6.82668226897915	6.30493100930528	6.38379814389599	5.19696397672137	6.44009051882899	6.52052223493167	12.0035025075671	9.94955954587033	11.8618556523979	6.30013648135794	9.98441104455423	12.7333755296625	11.530841362777	9.99288212863177	11.5855301073105
"0120a2850c6c5d13db081628957cfdbd"	4.51364634494753	4.20928927735875	2.85914341163017	3.46450811813051	3.05761821721653	3.21416374041538	3.1749036654512	2.92686653684221	3.59103382527351	6.0622656682171	5.82669847219604	4.92971854588562	5.38025379647858	5.61328343344931	4.23137691736853	3.47071685224924	3.22485932795625	3.93426438204651	3.68411060118881	3.82766779225549	3.89922319626498	3.96660489844272	4.26742325729202	3.81293318778333	8.38180031383873	7.92282126591544	4.08144468243349	3.01937653193502	3.10524162089512	3.31286313005962	4.85901866128486	5.37025841346841	4.30762485579971	9.84166850088666	8.88548415492415	4.99574156134254	3.96395425028202	3.96746768388432	2.88676832889265	4.57297376939812	4.0649105678584	2.89238977588304	5.09215076287839	4.85075210367072	3.75809996635543	5.30088855819992	5.64466602747244	3.63513579160399	5.30049133294776	6.32962842249148	5.09560401092805	8.54238774485402	8.32381800049442	4.41330891778176	3.37486709548279	2.93402919541253	4.10849595722499	2.87192148242657	2.49291946129786	4.03516728832549	3.25128493006614	3.64261821451745	4.0978480843813	3.21952841188697	3.31190413044941	1.89325201392179	3.84760462074366	5.78994479563288	5.73122699754778	4.22607788188563	6.12395439999327	5.66005186834417	2.32745329992293	2.37049604608497	3.98970970913342	3.39448530262396	5.7248137687521	3.11496153568693	1.78151382810844	2.25740308658734	1.9737698665058	3.17500209520415	1.47366171640839	6.92602678532863	4.85049284329996	7.48396718131895	7.14669264687979	7.72738660818914	3.95975847866166	5.95669351567816	4.95501110973928	3.47028752841771	2.83314369457192	3.06807079543924	2.96379073083967	2.70544307215979	3.22547448573961	2.1749453391027	2.22219119032543	2.41903248151523
"01896a313d0020c8b2b980d58a1a0267"	7.28597742292573	7.00378462241389	9.46110009036526	1.38136221807433	2.84368072234719	2.34627178036077	1.56136364195162	2.69534246543353	2.0556814941155	5.53135024263939	5.57550093558807	6.11055139977712	6.52504796256421	6.75909002571574	7.16725453255303	3.96811913969332	3.52965731950502	5.37571238757534	4.14642372440132	3.68651977225323	4.81930295789241	3.31718673434023	3.58086887458106	4.53576724471973	7.20180793582844	6.75461772698205	8.41445057568539	1.32639572571154	2.96600063637735	2.58929894687346	6.51683371071623	6.51232707360902	5.91033508826112	6.479521469081	6.80020809991975	9.2317714393859	7.54524032463161	7.95836928895118	9.57897685193816	6.93119078263545	7.66837894653242	8.24675373480403	4.13472966131745	3.99402686570723	4.15326891587208	4.37731053132017	3.67571315758218	3.89139367650833	3.07547679831388	3.64758211225904	4.72097699463804	3.53972107946796	3.70726207858511	4.97582189232886	4.79209330599878	4.10677695871509	5.10958478296845	4.2569295728698	3.85766438615004	4.75199599000831	4.15026322640845	4.4471409275231	5.02202247996744	3.78796499825324	3.75480611290497	3.68408372295612	5.54090306450681	4.84149466198499	4.60183647534456	5.43616540030713	4.73775043642026	4.87200223962064	4.44717161250441	4.40991170691341	4.05866384255838	3.98041418927072	3.52139737560174	2.1035015151719	3.37059056878259	2.84962065206695	2.9173233347197	3.62908035083829	3.37266861208811	5.37644783474882	4.96571323913711	4.9658229598606	4.6940520392125	5.26388624018967	4.71471378832664	4.87803877862359	5.42078395942958	4.54487863369784	3.69174973092549	5.02777650059896	3.76024319287265	3.84015640874545	4.78941256349089	4.82005483022509	4.34688773158769	5.03334214449538
"019824552e3a676db7346d8a462c6d9c"	0.126463473628098	0.264913320554078	4.20653158417467	0.113100980812874	0	3.52194032875179	0	0.214700004691302	2.95358805110887	1.84991579239823	1.54365979664978	3.79559650925588	1.75722564874706	0.972222571557266	3.79357058578428	0.504504084875968	0.359147484688998	4.59859441290474	3.79833690585627	0.838254809259856	4.61108159910576	0.454981357820028	0.0315064189673094	4.48888353019671	0.221029317897004	0.130273591749212	3.12940790577548	0	0.192997696791189	3.01481822252898	1.3089164330985	1.4609717782519	4.36232637763769	1.87475473688025	0.934523500135215	3.58613218761092	0.601962927402062	0.638217281734812	3.68828835444895	0.374990092938378	0.420275556627651	3.2902447406582	3.51696060108462	3.19786462754539	4.5704834985878	3.6603668044639	2.93486168398997	4.90688755129493	0.120420443525521	0	1.98773968155296	0.157540356946515	0.193331557022263	2.75833391603588	0.81281288732283	2.18310762259359	5.18746948949002	0.92248749223406	0.568988865930157	5.5132809126575	1.42802154583186	4.19954476503051	5.71411246940151	2.24593960640795	1.88041040418543	4.77514453713479	5.77962420441182	4.95997182238139	4.53550914847078	6.42129300384899	6.07641962469572	4.61760678983809	4.87412193601927	4.84288308701445	3.67698145278141	2.01084747458841	0.107734495536399	0.157540356946515	4.71386614785546	1.35296635183388	1.49560381943014	2.49322900604432	4.57338639028341	2.47563984527747	5.53852407859697	2.91000051386845	2.95607043912102	2.82037886274266	5.54259978140875	4.32530600734437	2.44472542215501	0.205484544820382	0.288613638409445	4.70636917449107	2.95906911905757	0.484601559101293	4.72178083689219	4.45396461839051	2.07317897266659	4.92146047309383
"0209584f794e64ff8cbb96bea8f1325c"	2.8096451960773	4.20953960004733	4.57419119395426	2.25428783232772	2.13583428052104	3.13693144349221	2.15143133457497	2.16373615870013	3.19907854555772	4.01442295062794	3.95264070185959	6.54410087581511	4.15553156940183	4.553351458612	6.52429919458475	2.56148088773036	2.72520645401957	4.66134433559889	3.95102723361179	3.15570664841677	4.38676339847416	3.16114704604813	3.42333114595509	4.32071697514768	3.74373408574266	5.03940993778136	8.17215399364897	2.34244358349334	2.5526782202348	3.20826452362222	3.63867732542377	4.75081776236196	7.17991343451993	5.76061594244734	5.40141060628321	8.273709790956	2.58912258566423	4.2763384542287	4.682478870393	2.60169593257626	4.36500010245752	3.8166774609985	3.98034307511472	5.03273777822251	7.57301030446026	3.61488502916733	5.24511762372618	7.24892290845876	5.12667248523145	7.64600557158986	10.1603066751072	5.62327961766974	7.822657000639	11.3265326021451	2.95511338340665	3.74485375049678	4.82883552114943	2.47987400725993	3.38258728302094	4.74732231307283	2.65966215607204	4.43234230133914	5.08520087581646	1.61320281628096	1.79568093687993	2.64600527947067	4.75803213862021	4.32790178257631	4.10834364948471	4.99215673223843	4.71133989615971	4.05177966083281	8.52937409405582	8.48219393232154	5.78603045784432	9.15602239188261	7.08102904084953	2.71034016322134	3.25704271371288	1.38982437328922	1.46530769301408	1.75046253555316	3.06211510852375	3.24118104355882	4.6940520392125	3.55460561451528	3.65917624944686	3.63497538620009	4.42508114327901	3.11050776886931	2.10882557136799	2.78644280964916	3.34602316271079	4.78013588802983	2.96535966025804	3.05238704947854	4.85121393081039	4.61203099670988	2.90643625238757	4.89870229356798
"02677ced35ad45c6a17b10f76f78b09a"	4.11923131856698	4.64546022144321	5.60430594030451	4.19159187971462	4.15093887717337	4.64867378179956	3.9739740882825	3.35924749436547	5.19357837992324	3.58675871249387	3.84423224682817	5.01034571884006	3.5369052332473	3.50764605506154	4.58859937534207	3.53433791457764	2.88838311518969	4.8066922607422	4.16548393721009	3.09164463564653	4.70138239520517	3.54224498996819	3.41914809915299	4.69218254297724	2.40233992613104	3.13278358897531	4.40985773169969	3.72023845541275	3.49847683329847	4.24982100569338	3.45784009403244	3.59297412474324	4.62512719352389	3.36935921697999	3.29597463429162	4.8304512911055	4.46172445980535	5.05360080085183	5.80199580291068	4.2817087308736	4.97563062386414	5.51493036011371	2.81128044935077	2.52889961147363	3.9822652294824	2.61803066778008	2.90055858443439	3.59605393498217	2.97108798229613	2.98699198830026	3.95131204317033	3.30394597222354	3.05088803898714	3.83702028233493	3.11798530388183	3.20715217060609	4.23194329698465	3.02178103932354	2.82344698451458	3.96928083654826	2.93402919541253	3.11180006123549	3.94023915914761	2.74950847315498	3.07113631615972	3.79615368744543	4.88193063403381	3.57114277988285	3.12716562933759	4.88674639050988	2.93761797947665	3.09215637816819	4.155627790639	4.21063314841162	3.51943660954334	3.29555282566869	3.40284325979468	2.87718525238498	3.47517651218282	1.93781389120319	1.84469973993855	3.53763758126935	3.15868028598252	7.17496695727106	5.38514193609024	6.74091871247836	6.07273547252091	7.00924263884645	5.01995630485686	6.39512935564893	6.17294138055694	2.79298333114301	3.48391392682865	4.65547912005195	3.55244763073239	3.14823565447197	4.94338695716648	4.12540437330835	2.70747403515048	5.00448506012022
