"sample_008Ab"	"sample_008Ao"	"sample_012Ab"	"sample_012Ao"	"sample_024Bb"	"sample_024Bo"	"sample_8_0_12"	"sample_8_0_15"	"sample_8_0_4"	"sample_8_0_6"	"sample_8_0_9"
"00306dbb19665982fc78754ac92927bf"	1.14168003620066	3.05947180644256	1.42545103178093	2.308609330465	1.1676869397181	2.75750968410333	1.64288042543432	3.08852182469592	1.86568999706804	3.01256697149005	1.09810282558049
"0051ee453ff489fa79b20379bcc79b6b"	1.34042318256374	2.66802233562245	1.27196737767908	2.16678885182094	0.901603399122278	2.45020995448319	1.68168564112163	2.26908373709142	1.43375220957934	2.52344956918842	0.224563342932916
"00539cb2af8b7b06ee1279130fa2f307"	1.46063247429251	3.74708282683313	0.954038499484924	3.09374706397674	1.09226716145969	3.85717942506772	2.41044627595035	4.39046396887634	2.61136635492643	4.22723702867738	1.43338684614376
"006c80037cfc5a276d7d1b8ef20cdccd"	2.60049543093496	2.11384641104977	1.46484509440062	1.82182226691346	2.15794354853774	3.83224386719806	2.04483663967561	3.62324124190396	2.9688519415957	3.30269495826241	2.36193869177658
"0092362bbf11972deda26d5b9e919f85"	1.50390293711463	3.7974463737599	1.23008197410087	3.00366075987611	0.799334354441691	3.70103625980123	1.48494259976513	3.56490091590526	1.40713958198137	3.14701197893242	1.39160821754363
"0095b52bd61b59e97345c0564dc8496e"	7.13561910823496	8.26891014955157	6.4299584414206	7.64784570253546	6.30534341128089	7.44762015839823	6.07164680196743	6.68845390703444	6.72209380526998	6.4599296809764	5.9789204579702
"00a550b3fa43f178639afb2a02540b16"	3.59432973508601	2.46162352257293	3.86298852641627	2.916118827901	3.6901330430429	2.55371378180422	1.28431036083497	1.10333710910382	1.91789037903873	0.407830308814445	1.17387806649657
"00c4a692e67b1c93a289ffcae447cfcf"	3.11709600198271	3.82394844527772	2.50710306002508	4.21032812795133	1.99422196754317	3.59140057437899	2.46685568744965	3.84452718098621	2.30394049757037	3.72723399682425	1.65577853313254
"00cee8684ccbb62fce87c20103b8aed2"	1.03244964074383	3.86896203863665	0.706655941323986	2.7190900172501	0.917036999697315	3.15387574129798	1.63151937141254	2.28489836969581	1.98364818751443	1.87315921854321	0.93683959424233
"00d413ed2e7ee7dd251ede7c7ed3ff78"	2.65220304483522	1.8892959568478	1.19445717397681	1.24933854040006	3.82045515436819	1.67224837884478	2.26745520101031	3.1997060532766	2.51965712991083	3.1483637428222	1.03864145308687
