"sample_002Cb"	"sample_002Co"	"sample_008Ab"	"sample_008Ao"	"sample_012Ab"	"sample_012Ao"	"sample_016Bb"	"sample_016Bo"	"sample_016Cb"	"sample_016Co"	"sample_020Bb"	"sample_020Bo"	"sample_020Cb"	"sample_020Co"	"sample_020Db"	"sample_020Do"	"sample_021Ab"	"sample_021Ao"	"sample_024Bb"	"sample_024Bo"	"sample_028Ab"	"sample_028Ao"	"sample_029Db"	"sample_029Do"	"sample_032Ab"	"sample_032Ao"	"sample_032Bb"	"sample_032Bo"	"sample_040Bb"	"sample_040Bo"	"sample_040Db"	"sample_040Do"	"sample_043Cb"	"sample_043Co"	"sample_056Ab"	"sample_056Ao"	"sample_088Ab"	"sample_088Ao"	"sample_088Bb"	"sample_088Bo"	"sample_088Cb"	"sample_088Co"	"sample_106Bb"	"sample_106Bo"	"sample_16_1_1"	"sample_16_1_4"	"sample_16_2_1"	"sample_16_2_4"	"sample_18_0_14"	"sample_18_0_17"	"sample_40_2_1"	"sample_40_2_4"	"sample_7_1_1"	"sample_7_1_4"	"sample_7_2_1"	"sample_7_2_4"	"sample_8_0_12"	"sample_8_0_15"	"sample_8_0_4"	"sample_8_0_6"	"sample_8_0_9"	"sample_CFAb"	"sample_CFAo"	"sample_CFBb"	"sample_CFBo"	"sample_CFCb"	"sample_CFCo"
"03f20837ac22d72ee3fafdf1f4e68653"	2.13194990382348	3.86233187951454	1.65205381693525	2.89941133310319	1.21834749167933	2.96256812234554	1.32100782695699	3.2492032636718	1.69512099095913	3.680428999384	2.03987812981206	3.92640760915742	3.71771080736259	4.55580702768887	2.19031006040001	4.60181115074062	2.44747992647222	4.64804785815449	1.08827234859379	3.55442377732752	1.88128720530663	3.09910887755987	4.06789620087321	4.97744149190681	2.81873760367199	4.16997185937875	2.30242848073099	3.92380320560324	2.32582298946122	4.59000172434022	2.07701359660517	5.08545824868435	2.24107440999131	4.3279919545408	2.50297501267873	4.3462103458861	2.2979624249086	3.71178119575911	2.01459097186014	3.9047292706966	1.7256730841002	3.01496905451481	2.51988118117057	3.32025175258886	5.39723498625512	3.24404379762775	4.55935139491397	3.29964361114716	4.97202889887773	4.25592613587245	3.30394597222354	1.16881101060287	3.28914657285641	1.32117833992793	1.21208233303107	3.21467782558665	3.93508244120856	5.05347825947849	4.10572370681808	5.54862110202878	3.31645136407995	2.49084100660952	4.5331802277201	3.84015640874545	4.49469635290977	3.47970488073656	4.20405205606512
"094460b06f8e9ea03e474cce4556813c"	0.264913320554078	5.4222988233506	0.0890497148335058	4.3820902576499	1.33693472233056	4.90276815800722	3.00774142417658	4.16458013678918	3.23998587162876	4.91658715891183	2.7480175585242	6.12954361337158	5.28182674051557	6.48773876280042	1.87262891198502	6.24568936055079	1.34265068105334	4.82277007958731	0.0890497148335058	4.99473898120963	3.66872233249207	3.95992954121775	2.93766662477144	5.04539903842145	2.56349144907553	5.72183149993124	0.853597972935684	4.45919273580229	0.943828074867243	5.15691450359881	1.47554073863409	5.13856871393447	1.82750829697153	4.99680101353254	1.44501882583956	4.92951838689916	2.08630543120116	5.80454985801345	2.45326117195245	6.00260733501838	2.30493832197754	5.97828224104508	0.620283434036384	4.23190880156101	5.43235280462031	2.33912895735152	5.10346661011545	2.21463938874752	5.64212335960277	3.85528967769688	3.44045514541111	0.107734495536399	3.46840857801928	0.18713080712185	0	4.05189172471114	0.386676366655982	3.86205144768806	0.727571795414228	3.86337395930109	0	2.51326473145303	6.32510926148169	5.5309685368716	6.0222683798026	5.64453980084294	6.23818392764209
"0fdedf0154a40d89a1517a791566c30f"	1.19141508518839	3.80474300429176	0.969457969333098	2.98298866763787	0.743989998498214	2.33345371665651	1.11854464611106	2.95872367586814	1.56507298245684	2.89666745390293	0.697264691963235	4.48347566041943	3.48993888334477	4.69100822822298	0.985973498661941	4.39962217127354	1.7777078730051	4.09323594793631	0.345329325123889	2.92114880375379	0.780331250970541	2.29653140635221	2.58240080661375	4.53826192590248	1.58771997610404	3.34162138900859	1.14959940285395	3.56603475482454	1.57712131095756	3.89785105607001	0.8972709980369	3.35649983131222	1.27755536704772	3.82095234614337	2.37132511918499	3.9586673642412	1.75922250332295	4.21638931864717	1.46894290142978	3.59784307858375	1.99819352457931	3.97158127065314	1.96871177625298	3.46727612230246	3.93530064668687	1.68041255225368	3.94250728219862	1.0527623976559	4.33160795769699	3.01087701088044	3.71491075562617	1.52239482585082	3.33415528474803	1.66719253739376	1.23346509950157	3.3110213661184	1.5735719498074	4.11166987514135	1.70769501850996	4.23677089398633	1.20265033024245	1.77185739698739	4.08580769329414	3.14562085495845	4.50483542006658	4.05280272534416	4.60460250488766
"11074d6de8f52614cf4abf36c8fc3559"	4.08608844071877	4.18803526471399	3.55061157631824	4.15386826452349	3.6252879510798	3.30556971813187	3.22174139519697	3.76450712986154	3.46349818221951	3.61866504220733	3.67400944144721	4.78326294735039	4.09765235211477	4.06605358661528	4.08265267774439	3.85039225263164	4.49173941547057	4.17540582791233	3.40887069964579	3.58182110907026	2.96396747188395	3.48166895120745	4.37466359389729	4.58996273667128	2.36608773404305	4.30176545105288	3.09926794018719	4.25599881966538	3.76508789730445	3.83565586789635	3.48317667448207	3.41032559248903	3.52475402901048	3.893628010153	3.60249578916279	4.42653177408102	4.53123382987672	4.29184724482652	3.69070428809116	4.05227004751472	3.91728434030013	4.81791166282835	4.41678790002317	4.54653781581979	4.22316061341078	4.20034029608612	4.18962959019497	3.3148238375775	3.96847138947881	4.01080895591882	2.91334337823342	1.35749794568765	4.08460949653106	3.15249026567223	3.46462872760741	3.88131459163639	3.02486962777549	4.02051515639338	3.28513626265602	3.7512557643574	2.62646697410454	4.28411651796081	4.4779115583722	1.76407030479067	3.8917478056872	4.02846512468006	4.00352039851764
"143e6bd05c944e61c95ff5da42592ddf"	1.66714156649247	4.51031691978285	2.60515405380016	4.79202665284937	2.00860657278707	3.81166816268138	2.39975808214574	3.09860108749982	2.01292560006778	3.32733459995962	1.02117097221825	4.26134760968546	3.59018577673197	4.97543596273766	1.79861259946236	4.2983479707488	3.65041145759839	3.79732435815162	2.01926084475167	4.56626271177037	2.09795228092632	2.83448059957218	2.91278317976243	3.99235613246436	1.56683829721528	4.36863581399225	1.58771997610404	3.08009327473185	2.21917087482767	4.21286066245431	2.24780150408262	4.25687290834221	0.866782369862384	2.9422574961986	0.82404824189418	3.08787234295476	2.92378611683866	3.82323506947356	2.94325090526501	3.58632887577078	2.79829910940478	4.72994490057239	0.15655065472505	1.47088478914267	5.28366384621796	3.09081097202312	5.28291233603345	3.39740707418036	3.98599439682657	2.9926174274538	1.88309935358744	0.422717427307924	1.55868131610364	0.0924333183310872	0.114265746128343	1.65106726095639	2.96178451391419	3.67685059662013	3.37520871622468	3.4871396985217	1.70769501850996	3.18603026715872	4.36908596420855	3.08837599241809	4.88741273099858	4.29661731915274	4.4557321044058
"1e3b4ef47aa1250abdaa64be54b7917d"	4.56282911116604	5.58722257191768	4.25266425391581	4.28763051199203	4.05812256176565	4.68642279220834	3.67929289958614	4.31063123209759	3.85763657432694	4.50756235159594	4.59455888474211	4.83862294236628	4.40354568023794	5.22741364912873	4.01742096838481	4.73693733324658	4.87463105603193	5.23687516685587	3.55594459781195	4.49459018358868	4.00525054531544	4.63817516953332	4.77095746859625	5.26595738466353	5.70671283030054	5.80768215281031	6.0414178298308	5.82961445565287	5.42480771660821	6.09477288348561	5.52644646932155	5.97240404436924	5.53531168360494	6.8234021232443	5.60140094334107	6.20512503194402	5.43186385905856	6.05932443701362	5.53571878960895	5.83270993543209	5.28819308856694	5.96123680767784	3.58943045871631	4.15481568206163	5.78519002896422	4.77291535487446	5.81074717891518	4.77990181199153	5.84630928690571	5.68902308881233	4.50450187801898	3.38035242733184	2.714046851865	1.74624854746125	1.72921274093126	2.97456864551633	4.70905650354968	4.95467992101837	5.13248792806317	4.9653840047163	3.60974858059325	5.19074747869057	5.86535968087177	4.77540094275833	5.6711305418815	5.60269028855725	5.82823418813367
"2656962ed64a62239535400900e8dc9d"	4.05794461629496	4.92651082959818	3.27182229201234	3.98788334842568	2.82412837690315	3.656691433505	3.2998886833317	4.63784831225067	3.23112770314779	4.43990584423373	5.04594186981877	4.79564167501193	4.86253798890476	4.61314772067278	5.53313241220792	4.73889935905277	4.20720885400083	4.48913849083925	3.0998609558165	4.52762369350876	3.05976261871702	4.20183563163756	4.16369492535685	4.99256256166878	4.06635572011463	4.98880643537897	4.19618538602529	5.0899517504208	3.52731888876791	4.97756787719204	3.88900409142256	5.15575964462083	3.07875370963859	4.62953868752356	3.41833777554718	4.78937592492882	4.42235346662138	4.79165971138735	4.1453091859367	4.44856807051296	4.22432402922079	4.61726929567048	3.06211510852375	3.43073514808374	4.74601543702465	2.97911323924362	4.60361754125885	2.44854379572911	4.33489571819134	3.59559571968156	4.20941898474754	2.51798981667819	3.48078167658831	2.76563648635509	2.64514625443072	4.24881961800522	3.66039129253209	4.65963178000953	3.73598572514028	4.61576609059189	2.84263190861955	4.38872713609173	4.94576977905756	3.80048791067552	4.70430540463149	4.80048220023902	5.06658024606313
"30471b8b9f4a392ba46fff86cf84c5d3"	3.46644474526154	4.60920253512971	2.96942140854919	3.57177510996936	2.91827763061653	3.82132962180039	3.49440000880342	4.151551365632	3.76215561254939	4.71095311641623	4.66752838194325	5.46519873475811	4.84996309755269	5.191470591398	3.90793859557091	5.22741364912873	3.44465653581819	3.78896684123463	2.51035101226393	4.34533548447687	3.66958358039647	4.32414329196001	3.65521976973773	3.98577185596256	4.2638525553824	4.63439301917699	3.83212835346049	4.69457139671554	2.26874905641358	3.38970492901684	2.35793464961553	3.6019917058456	3.56899945574225	4.43550146340908	3.91908101894737	3.93615952196235	4.36577808914023	5.62666425316789	4.51268114303242	5.40011861552455	4.23143714793126	4.49494541455256	2.66387641504384	2.83622234188997	6.00384190559295	5.44419522936582	5.29234033965776	5.4939917100967	4.40421122675971	4.14985179880405	3.59666561320092	3.21495370339562	2.54394138094685	2.38448484452454	2.4461186096849	3.08451734744618	3.68951125448604	4.1552970361715	4.249427721441	4.39544253764736	3.46867956596895	3.58122653512848	4.42670693634506	4.525139824905	5.00264715368766	4.26698866537296	4.90017533911151
"364605b7fe29f41ceb9e133ddd9a51e0"	5.62566778992913	4.43969949255369	4.81407715638975	2.08587703937131	2.24728166348869	0.896188019556969	3.95670464592285	2.02488714620392	3.58301083717229	1.43718113538933	7.74583085193109	2.8557858341603	5.84021625294828	3.02785632641424	6.446083670644	3.07330201828138	5.18430777747867	0.38103579418499	4.18614464945908	4.23528964499026	2.93687221273369	0.529485245138535	5.48544253417431	2.27571736655774	6.87868478102065	4.47390359818445	6.41920797199856	4.69272049939207	6.44235639162085	4.09464118489191	6.93174110527254	4.07752218955208	3.04616732225405	3.17237741661891	4.21468567136497	0.924827390696388	5.22020781412524	0.443043447662953	4.95199903584082	1.79458214838497	4.43482399738337	1.39403433013011	5.42201432488438	2.13638705091276	6.01583440030007	7.04274638420765	6.10708872076452	6.74107123802617	4.04939077972095	6.88743746299905	0.0686814896793344	4.72160999992596	2.45447278562476	4.98074032602398	4.02824900731412	0.954688029190568	4.6518526066164	2.40858772245267	6.41268301029679	2.35479948304271	3.82566601791537	4.27294263990807	1.47269405106714	4.7166246159754	1.27260817191598	2.57651240090347	1.60633229499259
"3be1fb00ea6b5ba04e1015e9bb7b27e3"	2.48801888508895	3.34697267206532	1.70663630843566	3.34574421893708	1.68219475794145	3.08415217893493	2.14253511313024	3.89474426405068	1.23966672874147	2.35803399088836	2.76428660483626	3.36144967100341	2.76529468531207	4.17856413463834	2.10435364237605	4.03964103855439	2.10466572028103	3.01032921790096	1.62883653656336	3.36478215611239	1.21991741078588	2.80698640498875	2.56471548396142	3.77771371031592	2.75005670980846	3.61302355907883	2.35175270972882	3.63682518604882	1.51301511389905	2.61681172066794	1.44056945551989	2.19156414281678	1.64213102090299	3.37986836001862	2.38973873486355	3.21495370339562	2.67658292555012	3.70494766617298	2.52410973458077	4.38939914083967	2.87389113994505	4.19902194459751	1.29499973318475	2.40436159373642	3.61592868906081	2.4080704208625	2.46504079049272	2.23702097944966	3.35475196641919	2.45283101631551	2.21192357141566	0.553533327219064	3.10751176841348	1.43406495808823	1.55101081179835	3.38258354747136	2.12210727546777	3.6374634153515	2.11073379208792	3.46769847569306	1.56043756617796	2.94796454651753	3.71757205606959	2.7741814531702	3.78885889773774	3.72749767811476	3.79810473194819
