"sample_021Ab"	"sample_021Ao"	"sample_029Db"	"sample_029Do"	"sample_040Bb"	"sample_040Bo"	"sample_040Db"	"sample_040Do"	"sample_18_0_14"	"sample_18_0_17"
"00306dbb19665982fc78754ac92927bf"	1.95573832093502	3.56843028199609	2.73014091610916	3.77496526337568	2.67480890898749	3.40849235679921	2.40850208888371	3.49497777090629	3.96822759297345	3.07463299294176
"0034860642bb665e3bc98da83b24f6f7"	1.76566033076874	1.70854171481773	2.22732801680624	2.53689565046559	2.29132961984735	2.93397760194817	1.55300796954876	3.18398051019977	2.33806974302635	2.40714491864446
"0051ee453ff489fa79b20379bcc79b6b"	0.769876713418619	2.37826568507543	0.993473970544805	2.24179845805419	0.919076202477152	1.76632737948895	1.08486004750821	1.8952114506445	2.3897134435495	1.56591380569541
"00539cb2af8b7b06ee1279130fa2f307"	2.31617828551275	4.21294652172806	2.46076592654535	4.11593415403723	2.26007417304183	4.43655388169503	2.10994649811804	4.31120307063428	4.0669939201993	2.67140004789361
"006c80037cfc5a276d7d1b8ef20cdccd"	2.6845208782945	1.11716577009327	3.63788190546299	1.59155496137987	1.27264016318804	3.21872391636426	1.98811195878326	2.59619472515376	1.34327102821263	2.10717227402822
"00823592d773ca77be3da202ae020b29"	1.32027819458905	2.11247278419547	1.48503861851112	2.40509941548008	1.48880112978996	2.3549742697362	1.25305414899894	2.4195504898939	2.40217605889569	1.88793026641604
"0092362bbf11972deda26d5b9e919f85"	4.72663479189597	4.27160807085281	2.63365418746852	4.9054432086977	4.4446257764304	5.03666230053986	3.59971211835086	4.99230362441128	5.3469508517773	4.7830636197673
"0095b52bd61b59e97345c0564dc8496e"	5.56454446833591	6.63347226355316	6.31331381594876	6.92051506555672	7.2781841229063	8.0324231858856	7.55850333659167	7.77451827274606	7.9921169414333	7.5102996775346
"00a811735beb8aad554772043d92e96f"	1.99314808873924	0.432496447159195	2.65017105701036	0.326782586073696	0.774266231844737	0.541219029085784	0.982078472412158	0.869660233945842	0	1.46787434811231
"00bcc118d77be26d37aa6816c6eec493"	1.63166113713089	0.116609013428573	2.04046419890958	0.359686404934866	2.86408481948799	0	2.63494172928157	0.223543471335537	0	2.92505226536625
"00c4a692e67b1c93a289ffcae447cfcf"	1.33454306712969	4.07894695854765	2.36091626333063	4.2515537030428	2.12800548978815	4.1933886713187	1.85537569017753	3.81562883832181	3.87835246155087	2.59710374270481
"00cee8684ccbb62fce87c20103b8aed2"	1.09154739094599	2.46996220240218	1.56281579634904	2.43942276385196	2.84812969316222	3.19628323472499	2.38557556078559	2.94811559123915	3.09929440064321	2.30090910479347
"0112c347c6def14a99ba74cd77bfc94d"	1.6040675176441	3.13816109143593	2.6380854289013	3.61192443295969	1.08312633113266	2.79814072154914	1.28699875002431	2.80321491578154	3.36865008498288	2.05800082344499
"011b116b1e264e2cde7ec36aa569ad7c"	2.27287126375856	4.6640437026872	3.03285383191856	4.62992678018215	2.75340590282301	4.15221873836161	2.62167861939992	4.10212587579043	4.28141040263936	3.24386107756211
"0127000197e26a049598b4a6d0225ba2"	1.5134608008051	0.163391293036848	1.29721746222992	0.251381789520943	1.7479468962714	0.210098837793401	1.98272412217803	0.417196030983863	0.0954919814592207	2.64566402866611
"013c9c13c8d7029019462bef0627adba"	2.22059482086037	3.65199524977425	2.13681625389307	3.1755479027412	4.18860763765862	4.15863646548142	4.13596098127204	3.70887535611766	4.4699998160834	3.18407406552119
"015116cb2ae1efade79e1af688f3c15b"	3.3788897394343	3.6909493104825	3.1769515564005	3.38204650193238	2.90605370640931	3.12427499341683	2.57063317392983	2.92505226536625	2.52623251734291	2.1339534009261
"01525c063123cb2134c64e84ad1e2118"	2.20668854130733	3.64234586695838	3.05356523761156	4.16249218770038	2.46141623093973	3.69788627069053	2.3484089572809	3.85245769734075	4.52936523632062	3.45825171601195
"0160f5a856b526939ba1062b1cc9df76"	2.55635406197929	4.49485162171764	2.6100624397738	3.95633381893569	1.43262913232537	3.06451645660036	1.55620589783716	2.92773711846818	3.24516326260958	1.13275603323495
"017a60cbade7b309db182bcabe59d6a4"	3.38099535461651	1.33046447615922	3.72544616775488	1.72952939269192	4.1451666724416	2.96519885865507	4.03352325688339	2.98044962524543	2.81491527660143	4.36865465020484
"018de0ee05bc68de9383baf688539f9f"	1.51978887806451	2.78483715301161	2.16853470857372	2.95391812034037	2.6461868226658	4.07563602144234	2.78223811325	3.98151117665997	4.30540477379546	3.15394183860536
"019ee757485f09fa0c7881843036a765"	2.51095768889264	3.13883125052626	2.38255641350419	3.57015729011454	2.84485124259436	3.12427499341683	2.64921273137772	2.89503309916712	3.67824814144528	3.53854191169557
"01ac16555e036cea2ece2a239591aae6"	1.70304625991641	2.91687385641689	1.8511664449027	2.97861643652395	1.43128384339541	2.74173594281445	1.86828495357801	3.07656745954945	3.12300240220581	1.8605822847968
"01e013346904f75a91f713c559585ff7"	3.03811304412904	4.27186069515261	3.13292292731456	4.06502033276006	2.41922080405854	3.18964472892508	2.55777754755682	3.17649010837176	3.3930778405569	2.69874033177643
