"sample_016Bb"	"sample_016Bo"	"sample_016Cb"	"sample_016Co"	"sample_028Ab"	"sample_028Ao"	"sample_106Bb"	"sample_106Bo"	"sample_7_1_1"	"sample_7_1_4"	"sample_7_2_1"	"sample_7_2_4"	"sample_8_0_12"	"sample_8_0_15"	"sample_8_0_4"	"sample_8_0_6"	"sample_8_0_9"
"0017fe1f3ebeebeb2783b69b6ce6815a"	0.460879631884987	1.49688985036148	0.924245012537992	3.18282273270214	2.70168766972572	2.2987943170733	1.44553920795506	2.86973074592041	1.69868337532767	0.897148686345789	0.60056028923713	1.92376897520369	0.354081985124743	1.68752424611694	0.397309272850899	1.39551373181746	1.48850070761206
"002861a72226ea57067f3c051d2d1799"	2.37283626582105	3.95756563539542	2.01742796352248	3.56692377507682	2.30105211858897	3.48822676404524	1.36230899836938	1.84278443595229	1.52763983166096	0.683351862691644	0.300878367083592	1.62280418448942	2.49659540270294	3.84906446213463	2.53224305935539	3.30957670725453	0.895153710670298
"0153a1f57cba588bcc28845aa54d5b25"	4.24681614744439	4.1556190590985	4.1899687078855	4.3244414959763	4.1385301574895	4.33835771389789	3.79615368744543	5.11753403607713	4.90699437316166	3.54500316566287	3.50870813390347	4.94191402857821	4.97477933726269	5.79596568573724	4.94251330042797	6.15339303833138	4.11012210626429
"0178d78645f5380df04fdafef7a3e492"	2.01292560006778	2.76249810779733	1.90334750357602	2.8650955444884	2.31337972079356	2.51812920155096	3.18657099774911	4.8329801128172	4.36428327313381	2.80081684583175	2.68474336121849	4.51286025094497	2.48092004717045	2.80906384277772	2.58699802763307	2.70207397900755	1.72746696227096
"01b13221b450af7fc4e6a3c7a9a12fe0"	3.28777146496167	5.17888511230299	3.1216965954784	4.59100038688608	3.09910887755987	4.86636450479752	1.80368721664108	2.71964637153754	3.21078034471539	1.38377494004226	1.43981854023262	2.96337874720652	2.53847711611702	3.65877090679025	2.66990129735596	3.64159642364773	1.24431365911703
"01bca72f3c43238d533a3eea1ff39cd4"	2.34516956543721	2.28284533972125	2.40688411546727	2.0278553096534	2.15043178376007	1.95247185958285	3.12627796340063	3.30259600848438	3.55127362939563	2.89615306941832	2.1811115683527	2.73311607735437	2.87865403946662	2.92108286254101	3.57861158373002	2.6011068037182	1.72466622088546
"01d167a6dbdb0cbe980b5f2ea54e71fd"	3.23866213830582	4.49770737316244	2.83514183626036	4.14764498431386	2.06423259475949	4.51251542044858	3.75961094665633	5.40273634409794	5.14922469423991	3.35887304391146	2.89615306941832	5.63291472167685	3.51092148301704	5.54635200441389	3.71128887684305	5.26437473816665	3.2054640477161
"02a8f82f0c32bc0d6af3a27415523d03"	1.7859457690419	0.184537433258664	2.67100613067581	0.0862437491053853	2.48209152437144	0.126727800591516	2.00522365964009	0.0924333183310872	0	0.607177987580577	0.798679931384444	0	2.39720048603539	0.0610424168808622	1.67875350517428	0.224563342932916	2.04981703727995
"02cb0462cfa6235b205d5a7b9e0db1cd"	2.77731509780917	3.15872310668773	2.82384091265758	3.12417513528697	2.31782507232267	3.23822050418495	3.11988343403819	3.78191705356258	3.78714242921506	3.239173427683	2.857991175397	3.69467027987095	3.1415865762779	3.9032102065401	3.4122000958594	4.11783710542367	3.16974709139065
"030f9394d4a6b0be677c35849676d575"	0.495770664437372	2.11575321999894	0.394833458543438	1.86223299955404	0.439345304000257	1.63550577405782	0.18713080712185	2.40872550445407	2.43875101220381	0.309798198016489	0.135631685464559	2.79860789358628	0.597886599525581	3.19455985333968	0	2.8987939690737	0.81486911522497
