"sample_016Bb"	"sample_016Bo"	"sample_016Cb"	"sample_016Co"	"sample_028Ab"	"sample_028Ao"	"sample_106Bb"	"sample_106Bo"	"sample_7_1_1"	"sample_7_1_4"	"sample_7_2_1"	"sample_7_2_4"
"00306dbb19665982fc78754ac92927bf"	3.34694057760738	4.68499313720926	3.83940110698125	5.46739440481394	3.37275534793579	4.54124946863712	2.74527381455572	3.84401231109544	3.80601905009399	2.20646418664781	1.80312877463051	4.05416308291375
"00539cb2af8b7b06ee1279130fa2f307"	1.50908863374988	2.86935394196391	1.53082850438503	3.05195213487212	1.34613972033702	2.79117419593519	1.1939073168425	2.48216372473953	2.17011656390134	0.502997060371407	0.386686556267673	2.32828451565419
"006c80037cfc5a276d7d1b8ef20cdccd"	3.67130385415048	2.54056539338816	2.659253436911	1.70335457629138	1.91170431463713	0.682860958301575	0.620283434036384	1.04378996756688	0	0.748421041968167	0.37842958638172	0
"0092362bbf11972deda26d5b9e919f85"	1.18610960312656	2.93328330112149	1.46618259532455	3.18375608322446	1.44517440321817	2.66240101888022	0.867087882561922	3.15765127312979	2.3878251938666	0.473279507692021	0.327402660646713	2.42919791994237
"00cee8684ccbb62fce87c20103b8aed2"	1.73364047653287	1.95247185958285	1.43450245115513	2.38948913088971	0.997453304572412	1.85168470927917	0.702473660125897	1.82492439325043	1.75986129402566	0.469494778852093	0.0782753273625249	1.72438436421783
"011b116b1e264e2cde7ec36aa569ad7c"	0.959135060066762	2.77880782839755	1.06107879702975	3.05545358528694	1.12660674872291	2.49138740551638	1.06904271970194	2.29834612123475	2.43132873008648	0.65231476931877	0.273631321354119	2.67394690493955
"013c9c13c8d7029019462bef0627adba"	2.55203626426701	3.74180778235484	2.20029397302911	3.26093071026607	2.08823427207899	3.7139253213757	2.1439474458298	3.34790526412088	2.93821205674787	0.955638427339064	1.10634554156199	2.90474987077264
"01524ceb0052552ad3c425bf777b0b3a"	1.76110299142773	2.4159721694534	1.8193553429491	2.87784416987816	2.17631254821468	2.1582665852243	3.23250867385144	3.934545655596	4.1786481793143	2.50219222307099	2.02778304903657	3.63867241164635
"0160f5a856b526939ba1062b1cc9df76"	1.2493970243415	2.43291635816834	1.21324666880355	2.62965880149096	1.1652623289792	2.58057706772908	0.566798501802664	1.81754579244194	1.47366171640839	0.370103870920096	0.207010104335413	1.40775615046087
"017a60cbade7b309db182bcabe59d6a4"	1.51189696631975	0.371811801479201	2.18900600833974	0.488889169479432	1.25261952963708	0.630314936237133	3.71874913035925	3.34701658912809	3.16176098654941	3.56163781090741	2.73390279106512	3.20882589305502
"017d459400583fe36857c77a1d541f39"	2.43489104757598	4.79754390838387	3.37429866658284	5.01004534677822	3.02865787748089	4.32459056464396	2.21338933197381	3.37100652304839	3.11720693122557	1.33719865027583	0.963964082162872	3.35253885882762
"018de0ee05bc68de9383baf688539f9f"	1.66386435766991	2.9779573487267	2.26310570066594	3.72775657047818	1.98031443115074	3.36233957438377	2.55434719883018	4.18659043060404	4.31584429654249	2.40326763397008	2.07599561127554	4.38997986125506
"019ee757485f09fa0c7881843036a765"	1.85697276265559	1.61332295587016	2.4119432275153	1.97771704656914	2.34300931241227	1.31799865726938	3.53552312537297	3.03803980411899	2.54584141958201	1.66490478531386	2.72917319815653	2.75028240081555
"019f94720ba42ef1861b87fc58cdd3de"	2.1305719415508	3.00216359817906	2.54322422024996	3.55121992387075	1.98702206725792	2.61493843634505	2.04828492611418	2.31402589669891	1.10976321864564	0.327402660646713	0.166848294259004	1.52500901615062
"01ac16555e036cea2ece2a239591aae6"	1.18601983944991	2.97875704666276	1.43345125613132	2.73577735203695	1.46684236016297	2.52979027917747	1.60350836737701	2.40981351303177	2.09851534953006	0.434845900979473	0.664845437887849	2.12777386295997
"01e013346904f75a91f713c559585ff7"	3.03029069277827	3.07495954115431	3.2865095384517	3.8938274253396	3.69731740427198	2.91879744807423	1.13342264947386	1.23698486051778	0.68944533718473	0.197119853222468	0.177040972350029	0.759810006264008
"01e9bb0d97f8ed373a8d529ffb971acc"	2.37840206923103	3.60668336049141	2.90647608963009	4.11907321119453	2.88601112943541	3.22092627440497	3.19404446265255	3.58842715122646	3.64248362124424	2.21998470056503	2.18384153368248	3.72781322706535
"01ea06c562e6b8f6bbc5be68d99c0373"	3.92986072316113	4.02293998132907	4.04170743547161	4.11931559133555	3.88923058033746	3.85549438851859	3.19652325723577	3.21419147039133	2.84611214857988	2.069903700741	1.81360575845787	2.70275286160873
"02104476719f02b32307edfdb1e6a0c4"	2.22493128795241	4.40434867137553	2.4495782185347	3.43451912750514	2.25843454414471	4.21921046982959	2.70975793572381	3.72619714661614	4.12518801393315	2.12993342514446	2.26932361114243	4.21184900733355
