"sample_043Cb"	"sample_043Co"	"sample_056Ab"	"sample_056Ao"	"sample_088Ab"	"sample_088Ao"	"sample_088Bb"	"sample_088Bo"	"sample_088Cb"	"sample_088Co"	"sample_40_2_1"	"sample_40_2_4"
"00306dbb19665982fc78754ac92927bf"	1.62152784979051	3.11344435036465	1.79893838202631	3.15505610840337	2.71235306497559	3.49244367923963	2.38539039573091	3.79025890371181	2.50107496123471	4.11149063571935	1.89846961796236	0.400409236820555
"0051ee453ff489fa79b20379bcc79b6b"	1.51056781990225	2.52312199457686	1.45467110775738	2.67608646936999	2.1607203243996	2.89879525059348	1.68838505325635	2.8171142578224	1.77951085080433	3.18000698275622	1.54522324549091	0.229612307716522
"00539cb2af8b7b06ee1279130fa2f307"	1.85162163174008	3.49097368328872	2.42703424529751	4.15093984967644	2.0005525432278	3.9033244827361	1.7887750201871	4.04497608085951	1.84813035082365	4.33977001782495	3.31487452828524	1.24380337849419
"006c80037cfc5a276d7d1b8ef20cdccd"	1.72305394059846	2.43793273822944	1.5465971463208	0.88364147218024	2.56374604644889	2.50289915947275	1.52132306904417	2.99317646725305	1.89395258087007	2.40586948585907	0.115085230582893	0.606687096893043
"00823592d773ca77be3da202ae020b29"	1.59709464679483	3.26886077975276	2.38712888633511	3.28761975337142	2.8953051243632	3.74855303559955	2.67897697428317	3.83722445641957	2.38826358208313	3.51275545273749	2.14596508354701	0.553533327219064
"0092362bbf11972deda26d5b9e919f85"	1.49726222616816	4.05928503000084	2.02408447502765	4.24449334513106	2.6528902393743	4.63534966799293	2.4404530297077	3.7683589437076	2.45992779690253	5.1480396206683	4.04145539862117	1.5796689821172
"0095b52bd61b59e97345c0564dc8496e"	7.56191344658424	8.54917841043884	8.07678671769597	8.34839988121315	6.2299162485135	6.19468327085986	5.71531861016252	7.02242829241789	5.86163708645049	6.01135471959158	9.54468893670168	8.66200146068248
"00a550b3fa43f178639afb2a02540b16"	2.77620224808418	2.9848380969185	4.03744971364578	3.16159453289081	3.35803375878001	1.6002639601211	3.59401972284244	2.0005525432278	3.89556267443172	0.578801978775085	3.46432124639504	0.884552356086942
"00bcc118d77be26d37aa6816c6eec493"	1.8981266280506	0.365190880203047	2.32235762179805	0.403907228577095	3.39551795085091	0	3.48857435847869	0	3.39142175554723	0	0	1.44166118490928
"00cee8684ccbb62fce87c20103b8aed2"	0.678955355895438	2.58568173560987	0.492207969294036	2.66797761622657	2.92378611683866	4.43234230133914	2.61223656124981	3.38966109384382	2.31359031280072	4.54353730605022	0.906430453259081	0.386293401383151
"0112c347c6def14a99ba74cd77bfc94d"	1.54993394994437	3.21438254518966	1.92337367104954	3.03597582881051	1.8203048131103	3.89165906062277	1.64495948450118	3.970596018251	2.03072387488241	3.80943331415516	2.39623371135119	0.711962555977441
"011b116b1e264e2cde7ec36aa569ad7c"	1.05191182499023	3.54117214964282	2.06652439137714	3.94469567646469	2.38506053148464	4.61364854292991	2.08630543120116	3.96466403121759	2.14713289989905	4.60218292857425	2.80689433362921	0.538411686403664
"0127000197e26a049598b4a6d0225ba2"	1.22466062795551	0.250276111638924	2.26202296054005	0.204982839337034	3.57270939708958	0.915289689833416	2.92497841154379	0.832124526285831	2.54067475115946	0.996651776959194	0.193331557022263	1.65308018223666
"013c9c13c8d7029019462bef0627adba"	2.01821017617756	2.76353248407507	1.90367677717723	3.29051119543734	2.9474076498178	4.2149313981908	2.91681661726382	4.11078255279063	2.62465165636909	4.92344521089855	2.23236350733968	0.524446312948161
"015116cb2ae1efade79e1af688f3c15b"	0.759646278510151	3.09240066693216	2.64687795436662	3.14213308630233	4.34135879493783	3.18793320158783	4.67900282023981	3.5205158305607	4.16714169941648	2.9872473784252	1.93576211723202	0.272175971851484
