"sample_021Ab"	"sample_021Ao"	"sample_029Db"	"sample_029Do"	"sample_16_1_1"	"sample_16_1_4"	"sample_16_2_1"	"sample_16_2_4"
"0026fcece5bad932ca77e9b27dd8c599"	1.62254760368381	3.28850412109675	2.78101189748519	3.4819456864973	5.00444823364995	3.34971957902593	4.96121708274647	3.789148093143
"00306dbb19665982fc78754ac92927bf"	1.95573832093502	3.56843028199609	2.73014091610916	3.77496526337568	2.48193977238682	2.95384616368784	2.28299717831376	3.027821320873
"0032aede248babc5516f057b3bcd4409"	2.7528323438741	2.98798937452948	3.16266265825894	3.82839353968818	3.02256503341897	1.88880662446522	2.70353642934456	2.03636440206363
"0034860642bb665e3bc98da83b24f6f7"	1.76566033076874	1.70854171481773	2.22732801680624	2.53689565046559	3.30128113017792	2.26814995070835	2.93683307483863	2.89678095283442
"0051ee453ff489fa79b20379bcc79b6b"	0.769876713418619	2.37826568507543	0.993473970544805	2.24179845805419	2.37398004813342	1.88522339592511	1.25827589272424	2.15577665535745
"006c80037cfc5a276d7d1b8ef20cdccd"	2.6845208782945	1.11716577009327	3.63788190546299	1.59155496137987	2.78991690168542	2.55346711079066	0.675017170393496	2.76748321988921
"00823592d773ca77be3da202ae020b29"	1.32027819458905	2.11247278419547	1.48503861851112	2.40509941548008	3.29909717504575	2.1391052313606	3.05657371892132	1.85926171917942
"0092362bbf11972deda26d5b9e919f85"	4.72663479189597	4.27160807085281	2.63365418746852	4.9054432086977	4.89120543817544	1.66931797478197	4.65857769285256	2.01290475867956
"0095b52bd61b59e97345c0564dc8496e"	5.56454446833591	6.63347226355316	6.31331381594876	6.92051506555672	6.14513243040775	5.48512588353003	5.71709215985505	5.83907875062416
"00bcc118d77be26d37aa6816c6eec493"	1.63166113713089	0.116609013428573	2.04046419890958	0.359686404934866	0	2.73956618067322	0	2.39330584839184
"00c4a692e67b1c93a289ffcae447cfcf"	1.33454306712969	4.07894695854765	2.36091626333063	4.2515537030428	4.91048332371871	3.11541261928986	4.56136439019034	3.15784797676697
"00cee8684ccbb62fce87c20103b8aed2"	1.09154739094599	2.46996220240218	1.56281579634904	2.43942276385196	2.90654077637384	0.890432059700478	2.3824293809837	1.12740898828547
"00d413ed2e7ee7dd251ede7c7ed3ff78"	1.81866751211831	2.3796979744537	2.52590782825385	3.06733174490589	2.99182806202906	1.5255905428715	2.61115097276207	1.65527438541602
"0112c347c6def14a99ba74cd77bfc94d"	1.6040675176441	3.13816109143593	2.6380854289013	3.61192443295969	3.45327733108006	1.60534488780071	3.18317151838227	1.32465606308192
"011b116b1e264e2cde7ec36aa569ad7c"	2.27287126375856	4.6640437026872	3.03285383191856	4.62992678018215	4.83024401595929	2.12261016841739	4.88985322591189	1.99813304266913
"0127000197e26a049598b4a6d0225ba2"	1.5134608008051	0.163391293036848	1.29721746222992	0.251381789520943	0.17896520959305	2.22916183226529	0	2.32364629171513
"013c9c13c8d7029019462bef0627adba"	2.22059482086037	3.65199524977425	2.13681625389307	3.1755479027412	3.45397618763146	1.0526305682192	3.75791065167579	1.43295292740123
"015116cb2ae1efade79e1af688f3c15b"	3.3788897394343	3.6909493104825	3.1769515564005	3.38204650193238	2.20815154883239	2.58246853502406	2.35611353757127	3.38041974720093
"01525c063123cb2134c64e84ad1e2118"	2.20668854130733	3.64234586695838	3.05356523761156	4.16249218770038	3.50085645494235	1.62366620844473	3.71623811938155	1.87527889533655
"0160f5a856b526939ba1062b1cc9df76"	2.55635406197929	4.49485162171764	2.6100624397738	3.95633381893569	3.39492696361679	1.17424714216405	3.3387479124908	1.8661576611687
