"sample_008Ab"	"sample_008Ao"	"sample_012Ab"	"sample_012Ao"	"sample_021Ab"	"sample_021Ao"	"sample_024Bb"	"sample_024Bo"	"sample_029Db"	"sample_029Do"
"00306dbb19665982fc78754ac92927bf"	1.14168003620066	3.05947180644256	1.42545103178093	2.308609330465	1.95573832093502	3.56843028199609	1.1676869397181	2.75750968410333	2.73014091610916	3.77496526337568
"0032aede248babc5516f057b3bcd4409"	1.73988091589059	2.6129883238016	1.97224948866988	2.99903007980845	2.7528323438741	2.98798937452948	1.7988335554413	2.69264379624379	3.16266265825894	3.82839353968818
"0051ee453ff489fa79b20379bcc79b6b"	1.34042318256374	2.66802233562245	1.27196737767908	2.16678885182094	0.769876713418619	2.37826568507543	0.901603399122278	2.45020995448319	0.993473970544805	2.24179845805419
"00539cb2af8b7b06ee1279130fa2f307"	1.46063247429251	3.74708282683313	0.954038499484924	3.09374706397674	2.31617828551275	4.21294652172806	1.09226716145969	3.85717942506772	2.46076592654535	4.11593415403723
"006c80037cfc5a276d7d1b8ef20cdccd"	2.60049543093496	2.11384641104977	1.46484509440062	1.82182226691346	2.6845208782945	1.11716577009327	2.15794354853774	3.83224386719806	3.63788190546299	1.59155496137987
"0092362bbf11972deda26d5b9e919f85"	1.50390293711463	3.7974463737599	1.23008197410087	3.00366075987611	4.72663479189597	4.27160807085281	0.799334354441691	3.70103625980123	2.63365418746852	4.9054432086977
"0095b52bd61b59e97345c0564dc8496e"	7.13561910823496	8.26891014955157	6.4299584414206	7.64784570253546	5.56454446833591	6.63347226355316	6.30534341128089	7.44762015839823	6.31331381594876	6.92051506555672
"00c4a692e67b1c93a289ffcae447cfcf"	3.11709600198271	3.82394844527772	2.50710306002508	4.21032812795133	1.33454306712969	4.07894695854765	1.99422196754317	3.59140057437899	2.36091626333063	4.2515537030428
"00cee8684ccbb62fce87c20103b8aed2"	1.03244964074383	3.86896203863665	0.706655941323986	2.7190900172501	1.09154739094599	2.46996220240218	0.917036999697315	3.15387574129798	1.56281579634904	2.43942276385196
"00d413ed2e7ee7dd251ede7c7ed3ff78"	2.65220304483522	1.8892959568478	1.19445717397681	1.24933854040006	1.81866751211831	2.3796979744537	3.82045515436819	1.67224837884478	2.52590782825385	3.06733174490589
"0112c347c6def14a99ba74cd77bfc94d"	2.2722774204191	3.97572336290467	1.87102726134746	3.86047009839678	1.6040675176441	3.13816109143593	1.78553429967128	3.58256125780413	2.6380854289013	3.61192443295969
"011b116b1e264e2cde7ec36aa569ad7c"	1.27568956266247	3.04693072594418	1.15332614293146	3.12238496833934	2.27287126375856	4.6640437026872	0.775114189423935	2.96805450356149	3.03285383191856	4.62992678018215
"0127000197e26a049598b4a6d0225ba2"	0.724839627292435	0	0.501953381566355	0	1.5134608008051	0.163391293036848	1.31216869650197	0.564395774148579	1.29721746222992	0.251381789520943
"013c9c13c8d7029019462bef0627adba"	1.76068323293224	3.42848207905065	0.906989610239071	2.32568326440668	2.22059482086037	3.65199524977425	1.01387468832435	2.94031654623578	2.13681625389307	3.1755479027412
"015116cb2ae1efade79e1af688f3c15b"	2.63422136947233	3.4280504230723	2.00502977338474	2.52217072240395	3.3788897394343	3.6909493104825	1.85866004227329	3.28486054974883	3.1769515564005	3.38204650193238
"0160f5a856b526939ba1062b1cc9df76"	2.02454571332062	3.57662467196646	1.42069095690768	3.17878897672828	2.55635406197929	4.49485162171764	1.66974624894349	3.00629726694858	2.6100624397738	3.95633381893569
"017a60cbade7b309db182bcabe59d6a4"	5.70139561169716	4.30286707857383	5.4833421829079	4.3730693880493	3.38099535461651	1.33046447615922	5.51168634196327	4.59852067692376	3.72544616775488	1.72952939269192
"017d459400583fe36857c77a1d541f39"	3.25194051313803	4.77779811939336	3.13808607155888	4.78170888759291	3.04034610994668	6.54239720266928	2.91755854741254	4.76891432960442	4.46648680175993	5.93335883766638
"018de0ee05bc68de9383baf688539f9f"	3.70037883209861	5.06930286488208	3.50088825523123	4.98541313965668	1.51978887806451	2.78483715301161	3.49484876217693	4.76427245785292	2.16853470857372	2.95391812034037
"01ac16555e036cea2ece2a239591aae6"	1.25721525724279	2.65217779698296	1.01992200277372	2.18709001755468	1.70304625991641	2.91687385641689	1.09159480518581	2.8070362108791	1.8511664449027	2.97861643652395
"01e7154d4b5f3188595e288aeab7f7a0"	1.50979988097553	3.24054827158943	1.42709795547086	2.64372570150484	6.84323853894069	4.44421849831325	1.27196737767908	3.00233989506128	2.70126322157323	4.81540534128511
"01e9bb0d97f8ed373a8d529ffb971acc"	3.10045718575609	4.19827876892957	2.84295933378296	3.69876365164998	3.15280183216396	4.50566869489729	3.07491792654025	4.39901775676221	3.72805112760325	4.74441199311636
"01ea06c562e6b8f6bbc5be68d99c0373"	5.10391192278789	5.76453234353086	4.59476337246256	5.00967710184332	4.04433850915927	4.61767270278682	4.77555650872791	5.67750639571111	3.98404706488618	4.52260194183038
"01feb696b69822d637cdf0956d28bad4"	6.09174824751999	6.18969410632919	6.43070906887773	5.91292984141103	6.27900325928417	3.91558186516769	5.95084451135935	6.30115473577041	3.99149976836979	5.63044187978807
"02104476719f02b32307edfdb1e6a0c4"	2.06180589963626	3.43777240607328	2.02884980739555	3.3859748703202	2.94987993973188	4.05511539569976	1.93423828780836	3.77494591025648	3.15938650834875	4.57939011733164
