"sample_002Cb"	"sample_002Co"	"sample_008Ab"	"sample_008Ao"	"sample_012Ab"	"sample_012Ao"	"sample_016Bb"	"sample_016Bo"	"sample_016Cb"	"sample_016Co"	"sample_021Ab"	"sample_021Ao"	"sample_024Bb"	"sample_024Bo"	"sample_028Ab"	"sample_028Ao"	"sample_029Db"	"sample_029Do"	"sample_032Ab"	"sample_032Ao"	"sample_032Bb"	"sample_032Bo"	"sample_040Bb"	"sample_040Bo"	"sample_040Db"	"sample_040Do"	"sample_043Cb"	"sample_043Co"	"sample_056Ab"	"sample_056Ao"	"sample_106Bb"	"sample_106Bo"	"sample_16_1_1"	"sample_16_1_4"	"sample_16_2_1"	"sample_16_2_4"	"sample_18_0_14"	"sample_18_0_17"	"sample_40_2_1"	"sample_40_2_4"	"sample_7_1_1"	"sample_7_1_4"	"sample_7_2_1"	"sample_7_2_4"	"sample_8_0_12"	"sample_8_0_15"	"sample_8_0_4"	"sample_8_0_6"	"sample_8_0_9"
"00089b46831e8ef8664d2a632b8145c5"	3.71789776727671	3.94239497324719	2.57724043482379	4.41577470790568	2.38621919005529	3.95171812526355	1.05396144567602	2.03817504734251	1.47136640047602	2.59916154293683	3.67354025432895	3.79228215197529	2.28454484180039	4.58327001839153	1.44251707343879	1.67634375425559	3.50542755404637	3.86607683481638	5.47257401479438	4.217332935425	4.21045859826241	4.4217843302684	4.18144255659825	4.2751397267084	4.07414620471386	3.77019355180702	2.14096364299398	2.83717431258208	2.50181063563479	3.67282278295519	2.87862296622622	3.66343165615638	3.73273108498697	2.3900835961226	3.34181498469921	2.26602446342469	4.41822766500269	4.27915212898757	1.8634407016102	1.31642110220563	3.18944840120543	2.19102137987819	2.19881913563229	3.31937342396269	2.98033270654521	4.74513259522495	4.13837509985828	4.45019851590721	2.88130410403568
"0036d59b9c2c58b22fd5945b4aa3f348"	2.42444522819535	5.02056107679334	2.59428072532803	4.40851269904336	2.35766921809495	3.76005213143031	2.95930767961336	5.18797848492041	2.34947612161329	4.48293123873669	2.33813714020774	5.28457610584464	2.11518747477128	4.14146444335625	2.34516956543721	5.02295470425243	2.9873980750135	4.82357233879224	2.83172682797374	5.26826404575235	3.15467994368952	5.11637324851511	3.17927725236499	4.40543778498365	3.12156450970816	3.99356222051299	2.65090077545716	4.14643285301625	2.43309471215636	4.68250737859261	2.39115442241196	4.93514881326153	4.63284426179175	2.56439997580984	4.74794270506949	3.14836048072197	5.00366716805371	3.88264312137177	4.79984682017718	2.35661559780081	5.00432378502684	2.27497799992848	1.35920447110479	4.91679260034071	3.05941930727903	5.54672031614072	2.7322202706867	5.11610186812969	2.36075588309706
"008277a5fd42cb04f88c34a26df200ce"	3.24728511230175	4.80628607597282	3.14248631549667	3.80947990422085	3.35044829899479	3.84465014525882	2.80853189674294	3.50894355117089	3.32330223861962	3.95730036447409	2.4642245940757	4.12692970891739	2.91628328069562	3.80975650127717	2.99137290784227	3.72612278696567	3.00372550284697	3.81068161568368	3.25836127220706	4.65480406080025	3.62790986342758	4.14971783549819	3.82478178384445	4.51576175654419	3.75380540019277	4.46615751284062	3.60544192729713	4.6247260682666	3.44639483162034	4.23390324465886	4.12239048925325	4.55140362507052	3.91121180098144	2.85538017495179	3.65491934031742	2.9259697287507	4.23123281428422	3.92426180484741	2.69522944819862	1.56381007307326	4.05315392337199	3.15507409889706	3.14678222250868	4.27795230541249	3.95788637642822	4.3968001666545	3.96447806470545	4.23790750352365	3.10699418169055
"00b05a391e262ebf75433a5901c94f69"	2.23001507476128	4.40425414311174	2.38091815960227	4.70940521247607	2.28597671095102	4.30504419655968	1.48563935416859	3.35072383711522	2.24469105608001	3.54338971094429	2.2712995824861	3.9805590114471	2.07942715058055	4.80540818274086	1.90400991361561	2.92195984868338	2.67168060468772	4.11514249122343	2.49736909270935	4.77699829833228	2.53158962626022	3.95975456761856	3.02784546282565	3.90535028578504	3.18243254718854	3.72042737477053	1.81923606902695	3.8165041516984	2.3195843593955	3.89493057875544	2.00055759435131	3.59375907940331	4.69442115488517	2.55868593697836	4.72456665713492	2.5307946703015	4.36379984227434	3.71886872519578	2.86599753142405	1.29143212464847	3.78687194401829	1.18723247411525	1.42676762193938	3.44829692833912	2.47965446520454	4.78224559125134	2.51684830201988	5.39607781787786	1.93907256589414
"0104f91f1cc33e553be3bfc68a517ce7"	2.40794927943205	4.00634569318659	2.12785464686593	3.59289340425621	2.02033961760091	3.64119401531916	1.39343654489537	3.00384021518064	1.57211001477479	2.88980665381048	2.08635751475654	3.41285876608187	1.6806795840527	3.53873589221132	1.0656657980178	2.73730455570978	2.66914850652899	3.60556625535101	3.13579067446751	4.35727873992856	2.5921022587301	3.96638879366336	2.00769190454408	3.09550627504102	1.89598433942033	3.17341674405027	2.02622315869074	4.00925780758401	2.41120676553325	4.2557348081033	1.63609233658954	3.4664814414221	4.62251726832052	1.65817704325643	4.61248436251072	1.8940194411024	3.1432827590955	2.434373220337	3.65787986721845	0.998883301609148	3.05443842640389	1.10056977977122	0.802075621261634	3.36465742616014	2.0277665191774	3.80900112511352	2.28075900899645	3.60165904281392	1.16039619628125
"010f0a7d84a28949c78be5930457dabc"	2.64771495267318	2.89084525447743	1.91118042202476	2.63803394899704	2.05908193429904	2.50057533561373	2.6092854727391	3.15005419039834	2.4701245044586	2.99895152133079	2.46399031358758	2.70807696745243	1.56415180189178	2.89205922221595	2.51561691888903	3.09201582256343	3.09366967034777	3.10994553391103	2.77424099051815	3.18867634813812	2.55743142103465	2.57329530259586	2.35200941184804	2.57439228403341	2.29351613576913	2.57280304709248	1.72654071678562	2.78061988593654	2.31536290789259	2.95418611063709	3.67614622960173	2.9589930788853	3.04677342615647	2.25114905157652	2.37969167909355	2.68249441608568	2.95308704764296	3.18767822793498	2.03900098481965	1.13282432547163	2.79713254327343	2.99294464171624	2.55434719883018	2.92124334422992	2.98113139766009	3.36111289289544	3.04529318823797	3.12305543492882	1.95866164491774
"01651ac01a6d8f5ab55e823ecd4020b2"	1.97615746496007	3.19957225765746	1.2416803539938	2.38988372038999	1.23008197410087	2.27638330467065	0.705356838398787	2.15435685748681	1.78405654439836	2.47548347413078	2.51145665706052	3.4567983543916	1.05640217838302	2.87419043243115	1.69097863598291	2.18267941863324	2.94006014955309	3.76804258271072	2.53131322137679	3.44470748084245	1.87220768496708	2.99433192792714	2.49089700506278	3.34065796454903	1.99415594739748	3.10798895589966	3.10267476223239	4.86024885174032	3.28655723943801	5.05022898255739	1.95680911043858	2.25993277862657	4.19030238074804	2.50210310619136	4.14254899933137	2.54715896579906	3.56582442086772	2.72644661138036	5.42280383943601	3.62358691544325	1.97880250118421	1.00467333497008	0.725246442419945	2.19198699623455	3.55819862334617	4.42225097863662	3.6867553999071	4.57427921520393	1.72466622088546
"018166381b3825f4433929cd661c73b1"	2.137510216671	2.0068479294072	2.01217062427861	2.03329223113484	2.49729542436122	2.18790068911578	2.29992385503946	1.93636372662016	2.3622856173757	1.82117910321009	2.26178633779325	2.84484035641633	2.0454102402077	2.38254118153164	2.5135809185503	1.71962112019515	1.74677023466751	2.32593744744127	2.02371136048318	1.9802520180125	2.2036692734138	3.19436733548724	2.98172730621041	2.86057072993302	3.35681851846783	3.15501152735045	2.14550755386223	2.77240914831198	2.52335446263412	2.86761722600108	2.60968650251607	2.49550691897746	2.63266781723073	2.79536657601969	2.95858082599318	2.53666985041898	3.75266145068133	2.99296998884401	2.82078209815933	1.07971854216256	2.42084612504322	1.90483470134016	1.77169155763311	2.63992281811768	2.5487321641009	2.50246905050156	2.80865647636154	2.16726132571736	2.16114811879166
"01ba5a538d3091e6f291367ab4c114de"	2.28238771688106	2.72075036519574	0.956929661901802	2.79470084524106	1.13374569691712	3.46069639383166	2.26684269786994	2.32276849857299	3.35691077191089	3.26661505850843	2.10042651225372	2.02690269326494	1.36018317147038	3.92843082897951	2.22034322944364	1.99571737408898	2.95296411936914	3.10118148665658	2.5196887471479	2.73857249840362	2.00792749032969	2.91103830063319	1.92829924711967	3.05016927348084	1.79576315978948	2.90471871908708	3.95736596250388	3.90298820175061	3.30549539429423	3.98270448566285	5.33821458159154	2.02138927258793	3.34109958290787	3.0094391467613	2.13366615969003	3.5923179979272	2.99219412339006	2.61694456155039	3.22796997312851	1.74481182935822	1.92553541528028	3.76017470642019	4.40812807147839	1.93781389120319	3.50853576166785	3.16607730272451	4.75685910427466	3.22008437285146	1.72500015910892
"029ac96df8a3842cd51b0e24cb25d147"	2.48381038243981	0	2.01039018633988	0	2.48073253360686	0	6.17311167861165	1.88642140866696	6.53462550962827	0.972222571557266	3.74463719302214	0.0744579109180097	1.66220207456514	0	4.24520371663245	0.642232761758396	2.82230583760955	2.24997935878664	2.72386416529315	0	3.07543612382184	0	5.36578160360181	4.86179493397453	6.27584561473336	5.61182872240825	3.22151935868059	0.579967509845387	3.39044155011737	0.211358713653962	4.1045774439131	0.954688029190568	4.52256768650791	6.65886093621623	4.61409109608037	5.79847683457935	4.13205291438508	5.60016562311733	0	2.18783238672173	0.9867846096207	3.64596451570548	3.42641652227898	0	3.84780487063812	0.825985029904507	4.08781043837919	0.665558873461503	3.08352544492526
