"sample_020Bb"	"sample_020Bo"	"sample_020Cb"	"sample_020Co"	"sample_020Db"	"sample_020Do"	"sample_021Ab"	"sample_021Ao"	"sample_029Db"	"sample_029Do"
"0026fcece5bad932ca77e9b27dd8c599"	2.98995159759496	3.43164510908097	3.36200461478504	4.61679274165604	2.64328153792844	3.98104782307148	1.62254760368381	3.28850412109675	2.78101189748519	3.4819456864973
"00306dbb19665982fc78754ac92927bf"	3.26771960447526	4.80785879829288	3.95105480927813	4.42730620539703	3.36722047591833	4.25297112035842	1.95573832093502	3.56843028199609	2.73014091610916	3.77496526337568
"0032aede248babc5516f057b3bcd4409"	2.44962990286275	3.23942096781706	2.60467055324363	3.39757898719653	1.82826491802882	3.24571608632723	2.7528323438741	2.98798937452948	3.16266265825894	3.82839353968818
"0034860642bb665e3bc98da83b24f6f7"	1.20879733217147	2.2395822630702	1.3773869364132	2.33158769474961	1.09225709091451	2.07055911464886	1.76566033076874	1.70854171481773	2.22732801680624	2.53689565046559
"0051ee453ff489fa79b20379bcc79b6b"	1.81397817790943	2.93629019107775	2.55810517080816	3.11316873355318	1.60589522854176	3.03533834164761	0.769876713418619	2.37826568507543	0.993473970544805	2.24179845805419
"00539cb2af8b7b06ee1279130fa2f307"	2.00289458129608	4.37487672933642	3.29115049223728	4.41061435252543	2.1295954640247	4.06601607755993	2.31617828551275	4.21294652172806	2.46076592654535	4.11593415403723
"006c80037cfc5a276d7d1b8ef20cdccd"	3.69237755560237	0	3.1113215522069	0.753150876229689	3.81318431490403	0.247912199829091	2.6845208782945	1.11716577009327	3.63788190546299	1.59155496137987
"00823592d773ca77be3da202ae020b29"	2.46288971271645	3.79582342544386	2.93451899101082	4.02001016443603	2.31947092154603	3.66585440037414	1.32027819458905	2.11247278419547	1.48503861851112	2.40509941548008
"0092362bbf11972deda26d5b9e919f85"	2.90779290247465	4.79392050063143	3.72081581606859	4.71910368835638	2.30520725212794	4.44044821982137	4.72663479189597	4.27160807085281	2.63365418746852	4.9054432086977
"0095b52bd61b59e97345c0564dc8496e"	6.75999670802805	7.4509478067342	7.15739318268075	7.06069865202205	6.81568790997879	7.4646496254384	5.56454446833591	6.63347226355316	6.31331381594876	6.92051506555672
"00a811735beb8aad554772043d92e96f"	1.84772005484702	0.504504084875968	2.38346990753451	0.803036027830471	2.75414951007064	1.35188819939135	1.99314808873924	0.432496447159195	2.65017105701036	0.326782586073696
"00bcc118d77be26d37aa6816c6eec493"	2.39082305075915	0.175672836288781	2.1831220469101	0.569957555604261	2.10240045716355	0.359147484688998	1.63166113713089	0.116609013428573	2.04046419890958	0.359686404934866
"00c4a692e67b1c93a289ffcae447cfcf"	2.1369870750238	4.38077234838561	3.76032736286256	4.44590553205753	2.33042591549876	4.60853280603898	1.33454306712969	4.07894695854765	2.36091626333063	4.2515537030428
