"sample_021Ab"	"sample_021Ao"	"sample_029Db"	"sample_029Do"	"sample_CFAb"	"sample_CFAo"	"sample_CFBb"	"sample_CFBo"	"sample_CFCb"	"sample_CFCo"
"0026fcece5bad932ca77e9b27dd8c599"	1.62254760368381	3.28850412109675	2.78101189748519	3.4819456864973	2.25939696806041	3.38025045190157	3.21819623399863	3.53353145778927	3.34548733020355	3.56414491263053
"00306dbb19665982fc78754ac92927bf"	1.95573832093502	3.56843028199609	2.73014091610916	3.77496526337568	3.58543928400651	2.62491011819617	3.36090112298382	2.79400596017524	3.33504634541391	3.65726616035692
"0032aede248babc5516f057b3bcd4409"	2.7528323438741	2.98798937452948	3.16266265825894	3.82839353968818	2.05191205897586	3.32107278174665	2.67342397311897	3.33416800981893	3.10350950659645	3.56629614053659
"0034860642bb665e3bc98da83b24f6f7"	1.76566033076874	1.70854171481773	2.22732801680624	2.53689565046559	2.18354747067283	3.47970488073656	2.57997558837479	3.16570894483575	3.4655453846523	3.85023695941967
"0051ee453ff489fa79b20379bcc79b6b"	0.769876713418619	2.37826568507543	0.993473970544805	2.24179845805419	2.08136985361815	3.08646859926419	1.77705953704084	3.38306927713354	3.08522800905022	3.32517749244754
"00539cb2af8b7b06ee1279130fa2f307"	2.31617828551275	4.21294652172806	2.46076592654535	4.11593415403723	2.44969113178826	4.51070274697797	2.32097809979093	4.65243751504201	4.27124511857527	4.55131909691513
"006c80037cfc5a276d7d1b8ef20cdccd"	2.6845208782945	1.11716577009327	3.63788190546299	1.59155496137987	3.07593806610919	2.38405678238062	2.57361873897985	1.5133557656137	2.08067798044198	1.57584134739554
"00823592d773ca77be3da202ae020b29"	1.32027819458905	2.11247278419547	1.48503861851112	2.40509941548008	3.09321608929916	4.45237120553681	3.2818686520361	4.40353457180824	4.31589302873133	4.65807886693594
"0092362bbf11972deda26d5b9e919f85"	4.72663479189597	4.27160807085281	2.63365418746852	4.9054432086977	1.48654685300898	4.22295129860826	1.28530649370849	4.19377859089752	3.40983305334999	3.40731701842988
"0095b52bd61b59e97345c0564dc8496e"	5.56454446833591	6.63347226355316	6.31331381594876	6.92051506555672	5.63405024419647	5.56909765518585	4.88649485289338	4.64967759222818	5.32789480939254	5.42269644926596
