"sample_040Bb"	"sample_040Bo"	"sample_040Db"	"sample_040Do"	"sample_18_0_14"	"sample_18_0_17"	"sample_CFAb"	"sample_CFAo"	"sample_CFBb"	"sample_CFBo"	"sample_CFCb"	"sample_CFCo"
"00306dbb19665982fc78754ac92927bf"	2.67480890898749	3.40849235679921	2.40850208888371	3.49497777090629	3.96822759297345	3.07463299294176	3.58543928400651	2.62491011819617	3.36090112298382	2.79400596017524	3.33504634541391	3.65726616035692
"0034860642bb665e3bc98da83b24f6f7"	2.29132961984735	2.93397760194817	1.55300796954876	3.18398051019977	2.33806974302635	2.40714491864446	2.18354747067283	3.47970488073656	2.57997558837479	3.16570894483575	3.4655453846523	3.85023695941967
"0051ee453ff489fa79b20379bcc79b6b"	0.919076202477152	1.76632737948895	1.08486004750821	1.8952114506445	2.3897134435495	1.56591380569541	2.08136985361815	3.08646859926419	1.77705953704084	3.38306927713354	3.08522800905022	3.32517749244754
"00539cb2af8b7b06ee1279130fa2f307"	2.26007417304183	4.43655388169503	2.10994649811804	4.31120307063428	4.0669939201993	2.67140004789361	2.44969113178826	4.51070274697797	2.32097809979093	4.65243751504201	4.27124511857527	4.55131909691513
"006c80037cfc5a276d7d1b8ef20cdccd"	1.27264016318804	3.21872391636426	1.98811195878326	2.59619472515376	1.34327102821263	2.10717227402822	3.07593806610919	2.38405678238062	2.57361873897985	1.5133557656137	2.08067798044198	1.57584134739554
"00823592d773ca77be3da202ae020b29"	1.48880112978996	2.3549742697362	1.25305414899894	2.4195504898939	2.40217605889569	1.88793026641604	3.09321608929916	4.45237120553681	3.2818686520361	4.40353457180824	4.31589302873133	4.65807886693594
"008810a5ca2332a04d285ca396b6a5f1"	1.63411101263898	2.95767208672945	1.41249802661653	2.83214807097192	4.21162376727345	2.28417669331069	2.3313754447133	3.96417482717559	3.28813200035428	4.05015704958266	3.89731927344294	4.27442561095132
"0092362bbf11972deda26d5b9e919f85"	4.4446257764304	5.03666230053986	3.59971211835086	4.99230362441128	5.3469508517773	4.7830636197673	1.48654685300898	4.22295129860826	1.28530649370849	4.19377859089752	3.40983305334999	3.40731701842988
"0095b52bd61b59e97345c0564dc8496e"	7.2781841229063	8.0324231858856	7.55850333659167	7.77451827274606	7.9921169414333	7.5102996775346	5.63405024419647	5.56909765518585	4.88649485289338	4.64967759222818	5.32789480939254	5.42269644926596
"00a550b3fa43f178639afb2a02540b16"	3.91797326745464	2.54867925268507	2.92146121117871	1.92107574069811	1.56671828521394	3.45350832473626	3.53619250251365	1.69670565655887	3.38283542809703	1.46569501656816	2.70544307215979	0.971711815206825
"00b08f570ae6322b03af00df9230f86d"	1.1800386540303	0.325050108920519	0.812040710500356	1.07175483449823	0.417196030983863	1.75663302975248	2.0811452995388	0.939014227009374	1.38443907162406	0.621090271424502	1.48298477892835	0.529052390683763
"00c4a692e67b1c93a289ffcae447cfcf"	2.12800548978815	4.1933886713187	1.85537569017753	3.81562883832181	3.87835246155087	2.59710374270481	2.33579856799926	4.337590408346	2.49335750715752	3.90255286486516	4.74201127551835	4.81661407437961
"00c6a28930e3eafc29b6cf8827820e4c"	4.40542495439816	3.99141496628142	4.24055806345313	3.29125240100391	3.7909536700183	4.32215111304276	2.92238586382834	2.57337177543235	2.48658796543783	2.40889780681551	2.5041404086231	2.04911945542891
