"sample_021Ab"	"sample_021Ao"	"sample_029Db"	"sample_029Do"	"sample_088Ab"	"sample_088Ao"	"sample_088Bb"	"sample_088Bo"	"sample_088Cb"	"sample_088Co"
"0026fcece5bad932ca77e9b27dd8c599"	1.62254760368381	3.28850412109675	2.78101189748519	3.4819456864973	2.5057969206795	3.46433930300809	2.24771910835279	3.84134600230157	2.01922699202232	3.29935511414919
"00306dbb19665982fc78754ac92927bf"	1.95573832093502	3.56843028199609	2.73014091610916	3.77496526337568	2.71235306497559	3.49244367923963	2.38539039573091	3.79025890371181	2.50107496123471	4.11149063571935
"0032aede248babc5516f057b3bcd4409"	2.7528323438741	2.98798937452948	3.16266265825894	3.82839353968818	2.25322466625582	2.75603496165613	1.80035574845341	2.72455065017816	1.9887014033102	2.56914362612936
"0034860642bb665e3bc98da83b24f6f7"	1.76566033076874	1.70854171481773	2.22732801680624	2.53689565046559	2.14100924806395	3.67360539734608	2.23661621605183	3.70666043140902	2.51005281804303	3.46706127410702
"0051ee453ff489fa79b20379bcc79b6b"	0.769876713418619	2.37826568507543	0.993473970544805	2.24179845805419	2.1607203243996	2.89879525059348	1.68838505325635	2.8171142578224	1.77951085080433	3.18000698275622
"00539cb2af8b7b06ee1279130fa2f307"	2.31617828551275	4.21294652172806	2.46076592654535	4.11593415403723	2.0005525432278	3.9033244827361	1.7887750201871	4.04497608085951	1.84813035082365	4.33977001782495
"006c80037cfc5a276d7d1b8ef20cdccd"	2.6845208782945	1.11716577009327	3.63788190546299	1.59155496137987	2.56374604644889	2.50289915947275	1.52132306904417	2.99317646725305	1.89395258087007	2.40586948585907
"00823592d773ca77be3da202ae020b29"	1.32027819458905	2.11247278419547	1.48503861851112	2.40509941548008	2.8953051243632	3.74855303559955	2.67897697428317	3.83722445641957	2.38826358208313	3.51275545273749
"0092362bbf11972deda26d5b9e919f85"	4.72663479189597	4.27160807085281	2.63365418746852	4.9054432086977	2.6528902393743	4.63534966799293	2.4404530297077	3.7683589437076	2.45992779690253	5.1480396206683
"0095b52bd61b59e97345c0564dc8496e"	5.56454446833591	6.63347226355316	6.31331381594876	6.92051506555672	6.2299162485135	6.19468327085986	5.71531861016252	7.02242829241789	5.86163708645049	6.01135471959158
"00bcc118d77be26d37aa6816c6eec493"	1.63166113713089	0.116609013428573	2.04046419890958	0.359686404934866	3.39551795085091	0	3.48857435847869	0	3.39142175554723	0
"00c4a692e67b1c93a289ffcae447cfcf"	1.33454306712969	4.07894695854765	2.36091626333063	4.2515537030428	2.27852393099678	4.34813939324064	1.70372211155474	4.32281815028634	1.95967215954285	4.48987560156709
"00cee8684ccbb62fce87c20103b8aed2"	1.09154739094599	2.46996220240218	1.56281579634904	2.43942276385196	2.92378611683866	4.43234230133914	2.61223656124981	3.38966109384382	2.31359031280072	4.54353730605022
"0112c347c6def14a99ba74cd77bfc94d"	1.6040675176441	3.13816109143593	2.6380854289013	3.61192443295969	1.8203048131103	3.89165906062277	1.64495948450118	3.970596018251	2.03072387488241	3.80943331415516
