"head_ratio_002C"	"head_ratio_008A"	"head_ratio_012A"	"head_ratio_016B"	"head_ratio_016C"	"head_ratio_020B"	"head_ratio_020C"	"head_ratio_020D"	"head_ratio_021A"	"head_ratio_024B"	"head_ratio_028A"	"head_ratio_029D"	"head_ratio_032A"	"head_ratio_032B"	"head_ratio_040B"	"head_ratio_040D"	"head_ratio_043C"	"head_ratio_056A"	"head_ratio_088A"	"head_ratio_088B"	"head_ratio_088C"	"head_ratio_106B"	"head_ratio_16_1_1"	"head_ratio_16_2_1"	"head_ratio_40_2_1"	"head_ratio_7_2_1"	"head_ratio_8_0_1"	"head_ratio_8_0_2"	"head_ratio_8_0_3"	"head_ratio_CFA"	"head_ratio_CFB"	"head_ratio_CFC"	"ovary_ratio_002C"	"ovary_ratio_008A"	"ovary_ratio_012A"	"ovary_ratio_016B"	"ovary_ratio_016C"	"ovary_ratio_020B"	"ovary_ratio_020C"	"ovary_ratio_020D"	"ovary_ratio_021A"	"ovary_ratio_024B"	"ovary_ratio_028A"	"ovary_ratio_029D"	"ovary_ratio_032A"	"ovary_ratio_032B"	"ovary_ratio_040B"	"ovary_ratio_040D"	"ovary_ratio_043C"	"ovary_ratio_056A"	"ovary_ratio_088A"	"ovary_ratio_088B"	"ovary_ratio_088C"	"ovary_ratio_106B"	"ovary_ratio_16_1_1"	"ovary_ratio_16_2_1"	"ovary_ratio_18_0_3"	"ovary_ratio_40_2_1"	"ovary_ratio_7_1_1"	"ovary_ratio_7_2_1"	"ovary_ratio_8_0_2"	"ovary_ratio_8_0_3"	"ovary_ratio_CFA"	"ovary_ratio_CFB"	"ovary_ratio_CFC"
"002c8b16c60ae57f34435016c957fe69"	3.16629897174853	3.01645245871601	3.83262528541745	4.11719455742097	4.16134994740079	1.37086814290185	0.923206222660694	1.52564889060868	3.38191935805325	4.41329436694853	4.12773661455165	2.50651851751341	3.42822381273541	3.30903212593371	5.35832811512592	5.91273606835069	3.25995381654885	2.7347113927467	1.21619918032971	1.19454329503617	1.37686749404646	1.26450533695827	1.29889194786999	1.51603451731399	5.56632279256314	1.59619067886279	2.19578812761316	5.05854893119527	2.79628076138408	1.2885580199429	1.09864395012424	0.615203789929472	4.06620813155088	4.23897954618596	4.91936647446314	6.97409898502041	6.38304040927005	1.57090205713818	1.1183358783247	1.58648955718888	4.60266932900979	5.05509974424113	5.96631687521983	3.92146322314602	4.44292311493637	3.11630136877083	8.99594344552854	7.45972758012877	4.12012635578864	3.44052394227816	1.43245384897591	1.52950406918736	1.49806704484374	1.77495000862859	1.50981640117605	1.9935767741381	4.84497810287332	6.36000638708084	1.84806859930504	2.16563729886579	8.37435638772618	3.59080963349253	1.49681759978188	1.43265972922501	1.07736395620073
"003096becb056512a6852b6d97c81e70"	35.9627254314513	0.808040889924524	1.18731403309566	1.3525982153631	1.56669734351373	107.536095828083	1.76396901988627	18.1539780825577	41.2040436123712	1.47907288269142	1.75326303597203	1.74599631242026	0.164365003505892	0.0519833518919378	5.12229279146586	2.28291686547633	1.79644009503476	0.9448743712752	160.286292283242	4.75528166327627	28.6118020347087	1	45.6433368059283	307.191674974213	0.664925035956257	1	3.45403453300602	6.48555753846469	4.79657181865564	3.36853635090749	1.51346904009187	1.43205002530307	904.67649098669	1.95304395347139	2.78316564810255	5.17234470121162	9.56631907198356	620.950940600924	4.68667458632109	1012.99908206092	492.971411789745	3.0622545381892	6.38956709641796	5.24631088688784	10.5934095732178	17.9469037948072	17.416570203659	5.45255736477947	23.6378927658648	14.0027784850748	489.260387939936	21.8337853977687	36.7332656363768	425.535617748024	490.651055000434	1004.81938094372	3.21698559649335	21.7682143516391	38.5776148916126	387.520798437867	17.943662850695	24.5117021272659	973.110724037535	12.9094492025094	3.13316655805941
"005a280b00d3ecf88ee311777cf5222e"	1.0748905622812	0.997607376501473	0.979969702572931	2.40808065090356	1.59069668413094	0.653055177916746	0.899519754232041	0.826068367014181	1.11913573791671	1.16188536899178	1.57444200750865	0.900339052011114	1.02787829840231	1.17776670378234	1.07851743280801	1.14434636926403	1.31059493989325	1.07469241521333	1.06713713997879	0.995559003031698	0.743756998717163	0.712560816175698	0.941157099874716	0.693611793556981	1.36220609377681	2.43183395882402	0.990862126362475	1.74699510747879	1.06618805469089	1.27128121574105	1.03446246358925	0.472903882727724	1.11621761126461	1.29425027165259	1.16139363371412	1.0161017325624	1.58649222607257	1.2061244363271	1.08052494700568	1.16982596767588	1.49606162921205	1.35649154638206	0.845707171925819	1.00695948268724	1.08635476916338	1.2372769096238	1.22942808163574	1.1237337184772	1.20158005870959	0.918966831823494	0.884986684464679	1.00658660159221	0.895936618864218	0.610236209836816	1.10517032367682	1.01905063072462	0.906908328309688	0.789106173602012	0.814435702012225	1.31493505179788	1.78867895987845	1.13321648295719	1.23033682212227	0.86928795027193	1.17866406939952
"005a669dcc950227443b1c6e9c6e8d8b"	3.40471730602938	6.49351490813412	8.05148706926838	3.1848724214821	3.42242735028859	1.99718818456855	1.55987788274458	2.24335614718401	2.47873746042722	8.29179146596099	4.05073054896194	2.04656707990065	3.49444377095826	3.49058655229589	3.34833016787936	3.59621495323506	5.21411293454615	3.60569497102322	2.1181247659529	1.87674131862536	2.74337124837271	2.35791841040834	3.08916246416388	2.89828375182854	9.19052177842386	4.84084172564214	4.07737294686074	6.77774388977658	4.83640864949373	2.23901804224477	2.35443704149281	1.41448661568078	4.36288880062017	9.62377217215946	11.0673094739515	4.71563765753723	4.56398215998821	3.83568372002244	2.42710357887644	3.63881168172945	3.25931045809952	11.3139823071288	4.84390251308773	3.10611234344711	4.06784778962364	4.33462694016926	5.04210242262099	5.01289401775437	7.69773949542553	5.21957981655828	2.95829002838138	2.91473242003709	3.28876403936124	2.73742434956764	4.26151743365211	5.81823281756903	4.42021050187354	8.8490852990866	3.61694334021587	5.4396752864477	8.32555673721047	6.09689689611368	3.28982878999122	3.53958207846359	2.19833698592208
"00e1fdb5474821f870fd6c48acac291c"	0.877187853051492	0.880871483821253	1.05678054886944	3.12620373423458	2.96104978807449	1.97225322117512	2.0550466092058	2.10175592092251	1.70488026333427	1.02867018528485	2.68819570533898	2.41503478183849	1.10683803688205	1.0503536379825	0.826638217614572	0.742649589502838	1.56162809730451	1.20458329917318	0.933451088360794	0.83127640775274	0.86521975464257	0.936040025371572	1.33327317965759	0.957400027157614	2.8146232248418	1.89352221737954	1.99164139459146	3.79045624327469	2.33830760835736	2.48194328892325	5.38955735052887	2.63001352529047	0.949242936056399	1.23216455946734	1.43412357549999	3.16017663683224	3.07344257288156	2.13049375271995	1.84071146229508	1.88880220664619	2.1743463891882	1.28445910357311	2.18878662687919	2.59938576048776	1.14257845155709	1.053036326458	0.904381403798678	0.822533954511831	1.4009977618211	1.38770855767541	0.760592715535458	0.757330185699176	0.851490341937137	0.95418720358877	1.57843573503535	1.7150832902868	1.1563962342409	1.39942223077913	1.24692614939758	1.59391235762377	2.99755040794033	1.95310772670147	2.97999268407906	7.18129952972828	3.01910410387809
"0120a2850c6c5d13db081628957cfdbd"	0.932718642356135	0.882892804656072	0.922120994961444	1.98847238661357	2.24030310223429	0.929365836197187	1.03886109718006	1.07564703221261	1.88830112227517	1.02834414542231	2.31034277685822	1.82813546441792	1.00088411526178	0.889141150025292	0.952686882370467	1.06473068781339	2.49082569653663	1.95899878221007	0.869762124291801	0.868489817144638	1.11999358928855	1.02860346985103	2.02173191583355	2.16440350701011	4.48686614340042	1.60553003096786	1.83085200356175	2.37396831061219	2.17353224302249	0.816927817416435	0.913125138228224	1.02162335614407	0.634254579789316	0.927948253622206	1.13065706330033	1.65379123694975	1.60843715246841	1.13317587999085	1.05823122756719	0.961356052566456	0.994406965703141	1.09688019796507	1.7635391624314	1.04255350931582	0.728938519784689	0.633298360829197	0.738531678399414	0.686351398952998	1.96933124620282	1.02877752435459	1.21673786327423	1.40363549562061	1.25957963577809	0.589328152963901	1.34702943752726	1.495015088113	0.584405736892681	2.23482872002342	0.790117045666033	0.747900117578511	1.57767862408572	1.39624312045326	0.884430027779532	1.08799669465176	1.11171315732446
"01896a313d0020c8b2b980d58a1a0267"	1.92337975739761	2.05099770949418	1.72165270546384	2.02622725645649	2.07335148773133	0.889781626745823	0.889351042472376	1.07925077889959	1.86992038754167	2.22688577875601	1.99733383711892	2.09780094312215	2.1099194663218	2.21117204572739	0.966052600022775	0.840084860934865	1.18541877036891	1.047198355974	0.857287998459424	0.906427987642826	1.07136031663337	0.991269302017391	1.05196588992729	0.972500667428858	1.6708752514495	1.24314260323646	0.89195174582365	0.900061356728506	0.923767037668273	0.812699970431541	1.02119577220479	0.902036909461884	2.59794189805698	1.69349990229137	1.31457890393209	2.21180523568079	2.19569810031984	1.35383385928219	1.16188898873346	1.36624950977425	2.34405082322776	1.94500692935808	1.81621009189127	2.86973005051391	2.54002780355104	2.38381281927155	1.00447297075311	0.889244936882635	1.53330499753665	1.40456722675127	1.0661152244945	1.11602404227299	1.20954425384078	0.9726481746554	1.20362096405252	1.11555979145358	1.09548780262508	1.8880583527503	1.18218147793102	1.15555004531538	0.86998743157938	0.923746667894563	1.10601772423277	1.27297161428838	1.04415836295182
"019824552e3a676db7346d8a462c6d9c"	2.01455608042995	0.0812341212390584	22.4700004691302	0.835338784153472	0.555799182890794	0.717482126070949	0.222736283640098	0.089264694743686	0.607167925811684	20.2997696791189	1.11528808144135	0.501138679560313	1.0592427297625	1.11762760787853	0.909526640745265	0.802334437094525	0.0766750957877485	1.21362733569426	2.66537830943467	0.620907916462248	2.92731689398672	0.837970306836124	1.0933806665098	1.31524131178584	0.702723198649888	1.66260803389285	1.0479411354305	1.76610628961442	1.1747480309411	1.38577752134546	0.16658472378652	0.466665655028799	30.8986095111863	28.6914068874942	296.358805110887	2.04611226207657	2.15228348936706	8.95735242610509	1.21341197308455	9.67540623841099	13.5887857625718	302.481822252897	3.31508977211383	1.90801069085701	6.04332090858693	8.57228484886348	1.29870560424724	1.33961748600031	15.3176881442059	16.5233855680494	6.31670890134077	5.92316889894661	3.98054708289523	2.12113148931057	1.27370202441669	1.38976652423704	1.32469392606647	12.0618548952569	3.46587143659085	3.04421809451718	2.2620044308394	2.23223170852316	21.8872735324123	1.59369170846185	1.10472660396486
"0209584f794e64ff8cbb96bea8f1325c"	1.49647892079385	0.947686177474658	1.00569290540409	1.95325028493618	2.20780743813178	1.06366975818114	0.799213552876834	1.08267800139817	2.69295487643675	1.08936862002415	2.55229423256315	1.8759987530099	1.64914824636226	1.67515676227358	2.51539931262026	2.91055743762522	4.6135553761525	4.2025006403914	1.26634407018284	1.36255379715154	1.6640091673155	1.11241855840113	1.05331224195413	1.16238208135388	11.9025797480197	1.19328499667518	1.00663951348983	1.47275349657716	1.09640329675808	1.20010434367933	1.02924936786061	0.630985870597491	1.62580426797378	1.38981069392451	1.48470066766602	3.47270102780556	3.2962101955438	1.81659694920848	1.11000584928194	1.36566261742564	4.36794859760262	1.36805173403697	3.9526137922563	2.86793003215768	1.8054088315322	1.46520788016227	3.83862578601375	4.02023529725125	6.15105419970914	6.12395007505716	1.631922592987	1.9106678888978	1.90855643071826	1.63627444015655	1.15775480252037	1.23151848448934	2.99659141218323	14.0579914374845	2.33389471997561	2.0823555134098	2.09317897764258	1.44687483600216	1.7129389778691	1.63382396949914	1.06202279843259
"02677ced35ad45c6a17b10f76f78b09a"	1.12743991854127	0.990324380923923	0.84570015258758	1.07158487819601	0.991750786597991	0.817750221633445	0.742822791869949	0.965346733920989	1.30279466626238	0.940550282571752	1.0389677802455	0.978284468156082	1.13235975211949	1.16168895339952	0.899910397797525	1.10750556305074	1.00533496699815	0.923638485552435	1.02850616549048	0.934581669244423	1.06038352680061	1.11655258395964	1.14152174382932	0.950183556258115	1.18206590899405	1.91278270270685	0.86658002657685	1.03593564315371	0.939589388876249	1.24649828916531	0.886535321172616	0.657124138256033	1.35964917127794	1.10878779166814	1.30612756624793	1.39579719412402	1.29651035844899	1.35898223499837	1.12834403533909	1.32372135262533	1.83218695003251	1.14197015998057	1.33660349607819	1.43235772828887	1.29972136144625	1.2873497962172	1.41505437022438	1.37215062944004	1.32881420028375	1.16085787595195	1.35612635127167	1.31252250242852	1.34177988632144	1.37928682751744	1.55934726183607	1.57849759766185	1.18025289911014	1.14490499802121	1.7892759302738	1.70845998290133	0.813521590334691	0.750893075524926	1.66446909199044	1.39044484877049	1.21257429925978
