"sample_020Bb"	"sample_020Bo"	"sample_020Cb"	"sample_020Co"	"sample_020Db"	"sample_020Do"	"sample_8_0_12"	"sample_8_0_15"	"sample_8_0_4"	"sample_8_0_6"	"sample_8_0_9"
"00306dbb19665982fc78754ac92927bf"	3.26771960447526	4.80785879829288	3.95105480927813	4.42730620539703	3.36722047591833	4.25297112035842	1.64288042543432	3.08852182469592	1.86568999706804	3.01256697149005	1.09810282558049
"0051ee453ff489fa79b20379bcc79b6b"	1.81397817790943	2.93629019107775	2.55810517080816	3.11316873355318	1.60589522854176	3.03533834164761	1.68168564112163	2.26908373709142	1.43375220957934	2.52344956918842	0.224563342932916
"00539cb2af8b7b06ee1279130fa2f307"	2.00289458129608	4.37487672933642	3.29115049223728	4.41061435252543	2.1295954640247	4.06601607755993	2.41044627595035	4.39046396887634	2.61136635492643	4.22723702867738	1.43338684614376
"006c80037cfc5a276d7d1b8ef20cdccd"	3.69237755560237	0	3.1113215522069	0.753150876229689	3.81318431490403	0.247912199829091	2.04483663967561	3.62324124190396	2.9688519415957	3.30269495826241	2.36193869177658
"0092362bbf11972deda26d5b9e919f85"	2.90779290247465	4.79392050063143	3.72081581606859	4.71910368835638	2.30520725212794	4.44044821982137	1.48494259976513	3.56490091590526	1.40713958198137	3.14701197893242	1.39160821754363
"0095b52bd61b59e97345c0564dc8496e"	6.75999670802805	7.4509478067342	7.15739318268075	7.06069865202205	6.81568790997879	7.4646496254384	6.07164680196743	6.68845390703444	6.72209380526998	6.4599296809764	5.9789204579702
"00a550b3fa43f178639afb2a02540b16"	3.69052220406108	3.3218177541024	3.73428800229766	3.86559532838706	3.5772966199216	3.58353971601803	1.28431036083497	1.10333710910382	1.91789037903873	0.407830308814445	1.17387806649657
"00a811735beb8aad554772043d92e96f"	1.84772005484702	0.504504084875968	2.38346990753451	0.803036027830471	2.75414951007064	1.35188819939135	1.91325589799444	0.342976750614841	2.3562919124853	0.104496942886173	0.664830007178165
"00b08f570ae6322b03af00df9230f86d"	1.86769652948454	0	2.47911759214871	0.639864540314357	2.59429125791423	0.313417068401069	1.43375220957934	0	1.39551373181746	0	0.104496942886173
"00c4a692e67b1c93a289ffcae447cfcf"	2.1369870750238	4.38077234838561	3.76032736286256	4.44590553205753	2.33042591549876	4.60853280603898	2.46685568744965	3.84452718098621	2.30394049757037	3.72723399682425	1.65577853313254
"00c6a28930e3eafc29b6cf8827820e4c"	2.31946813617108	2.48033127625347	2.37021487207159	2.34592822832419	2.87571763484655	2.86325230710352	1.59974961204351	0.986556072092665	1.85080010787124	0.777746790571071	1.09310669373849
"00cee8684ccbb62fce87c20103b8aed2"	3.06512343904469	4.74001879070773	3.7434222780568	4.36563578563762	2.71466322014521	3.95195031503719	1.63151937141254	2.28489836969581	1.98364818751443	1.87315921854321	0.93683959424233
"00d413ed2e7ee7dd251ede7c7ed3ff78"	3.93988327860692	5.24402534890184	4.21775198833632	5.0937041138552	3.40967177236618	4.64993213349008	2.26745520101031	3.1997060532766	2.51965712991083	3.1483637428222	1.03864145308687
"0112c347c6def14a99ba74cd77bfc94d"	1.76630695131609	3.01929585878887	2.48045810299321	3.58442841364703	1.74975413594969	3.56015193297139	0.926792197953112	2.69465907215343	0.94530569694268	2.19479407049043	0.199100008032773
"011b116b1e264e2cde7ec36aa569ad7c"	1.80500936612918	4.44529783899845	3.28352739514361	4.1336171362169	1.73954433163965	3.85106138544421	2.00209494622719	4.62891389973583	2.2376787175397	4.3267622025882	1.12910528224873
"0127000197e26a049598b4a6d0225ba2"	1.85116121139404	0.21430180337389	1.98748007396407	0.293371634839806	2.35495397839321	0.335288420978619	2.16700926353372	0.136477568926128	2.32240848092588	0.118527961947003	1.2105978850176
"013c9c13c8d7029019462bef0627adba"	3.31660634600919	5.53780370012466	3.75958206316628	4.21444579766469	2.66133085131587	4.09685447641721	1.9240293553094	3.31617965252278	1.95770152164937	3.48800228905079	1.53603680383569
"015116cb2ae1efade79e1af688f3c15b"	1.47202833866916	1.51777402180592	1.93370887684901	2.2507959424273	2.06814475124343	1.91227619375501	2.3306126263542	2.71674086101518	2.77137999201965	1.26673124205471	1.27994446729997
"017a60cbade7b309db182bcabe59d6a4"	4.50192179378187	2.23238577976311	4.68111882593014	3.22103397438732	4.32475010797653	2.7572014429324	5.99028869606603	3.20737603502321	6.25975163696519	2.95607043912102	6.18530007961185
"017d459400583fe36857c77a1d541f39"	3.97204546951341	5.15575731511443	4.9466222597552	5.78441893832944	4.00378960507092	5.42674834665433	3.72996285446471	5.52732334818822	4.10416670004041	5.39982170470114	4.63274823170951
"018de0ee05bc68de9383baf688539f9f"	2.65909242288633	4.84317444792897	4.08373157652837	4.24381522210586	2.71360275709186	4.59455888474211	2.46900014274866	4.61763276444356	3.04529318823797	4.74636310402903	1.9935578922028
"019ee757485f09fa0c7881843036a765"	3.22613120085779	3.56242467736002	3.58974407756409	3.58398416355546	3.27632809774957	3.47171163747906	3.00635841559928	3.69265153087873	3.89907408890725	3.58343182355061	2.51965712991083
"019f94720ba42ef1861b87fc58cdd3de"	2.74699190097593	4.05279549789508	3.24688686683974	3.94608969013528	2.53011007182105	3.87394266580174	2.38423291178722	3.41789060460382	3.4871396985217	3.15509528838766	1.17387806649657
"01ac16555e036cea2ece2a239591aae6"	2.00598099359427	4.22894782716517	3.47625251018198	4.32480560872473	2.22876081123402	3.92511228437832	1.05969896916914	2.49204460825491	1.27980077837349	2.32185861945031	0.29510109682646
"01b2f3b340d5c58058b29719f8ce8d4e"	5.00042912118497	4.91976180693282	4.78366466217572	4.94821344323078	4.91307947205711	5.04995051560399	4.44780707181443	4.4273395220225	4.45551275637583	4.62104597608628	3.96775768624105
"01e013346904f75a91f713c559585ff7"	3.27511853068661	3.28535351460243	2.73874854799081	3.58708977763676	2.49903898294276	3.33785949059088	1.25782442340836	2.48486198212375	1.26673124205471	2.05184113053799	0.28552174061444
"01e7154d4b5f3188595e288aeab7f7a0"	2.29073718287561	3.98313676224695	3.15160683806642	4.21112863982674	2.215068861314	3.84184514640642	2.97632965424395	4.85722120514154	3.20098847585504	4.65260323922272	2.08368154016861
"01e9bb0d97f8ed373a8d529ffb971acc"	4.07452361875818	5.21496695277458	4.97510436052616	5.12034785385702	4.14032844325343	5.177663027643	3.6374634153515	4.6428007894329	4.08396690007592	4.78719303150561	2.75249366218931
"01ea06c562e6b8f6bbc5be68d99c0373"	4.69525857411968	5.34166394123236	4.57429835730449	5.01837547479496	4.80813036041019	4.83201175519772	5.26152179675598	5.61446222335741	5.34713396846323	5.3721453566533	4.1077959519296
"01feb696b69822d637cdf0956d28bad4"	4.68850822117782	1.56714567096362	4.05972268220673	1.68956135531	3.39206177882796	1.2699403039872	0	0	0	0.535393350509669	0.69669288710644
"02104476719f02b32307edfdb1e6a0c4"	3.17381700872827	4.29839688036552	3.21311925402768	4.38673446164927	2.39372178787662	3.59533312097707	2.69465907215343	4.12141716964486	2.76048931878345	4.03648166499788	2.10115606562648
"02266378f920e88e1dac1ed916c48ff6"	2.34433683116869	5.16283781463578	3.19842296381586	3.94454169472357	2.25109430542179	3.79833690585627	2.14076486037811	3.92656147210738	2.21531947368005	3.78140371513655	1.52997488200336
"022b87e073ba519506a6d0d9dac1bba1"	3.05537080934737	0.614218685254534	0.911628681385166	2.20805724708674	0	0.336543662641743	3.46916975039103	5.4974714252251	4.00543684285676	5.40993562562401	3.33231079024156
"026e9b4b119e8cabb3eedd41465c0b04"	3.81010181295635	0.728643659662414	1.92065915202594	0.347909438902162	2.23066752016323	1.00372708521521	0.975419647444183	0.104496942886173	1.37979931389288	0	0.273623715200741
"026f6d9d6a5c591d5465aaeddf6222f1"	1.48674161879161	4.01153594623291	3.3956392533568	4.20082973235053	1.88069270981256	3.92024808711937	1.75776825836069	4.15505024741948	2.03553249544821	4.14712067668836	1.47419167888141
"027ee5073ec17a7192c3036f2b817f18"	2.25109430542179	3.69927156855448	3.16992504780121	3.9759564435399	2.45192295261704	3.79258249692223	0.933001525551467	1.68168564112163	1.21673186028251	5.07692098803813	0.261582420445554
