"sample_008Ab"	"sample_008Ao"	"sample_012Ab"	"sample_012Ao"	"sample_024Bb"	"sample_024Bo"	"sample_16_1_1"	"sample_16_1_4"	"sample_16_2_1"	"sample_16_2_4"
"00306dbb19665982fc78754ac92927bf"	1.14168003620066	3.05947180644256	1.42545103178093	2.308609330465	1.1676869397181	2.75750968410333	2.48193977238682	2.95384616368784	2.28299717831376	3.027821320873
"0032aede248babc5516f057b3bcd4409"	1.73988091589059	2.6129883238016	1.97224948866988	2.99903007980845	1.7988335554413	2.69264379624379	3.02256503341897	1.88880662446522	2.70353642934456	2.03636440206363
"0051ee453ff489fa79b20379bcc79b6b"	1.34042318256374	2.66802233562245	1.27196737767908	2.16678885182094	0.901603399122278	2.45020995448319	2.37398004813342	1.88522339592511	1.25827589272424	2.15577665535745
"006c80037cfc5a276d7d1b8ef20cdccd"	2.60049543093496	2.11384641104977	1.46484509440062	1.82182226691346	2.15794354853774	3.83224386719806	2.78991690168542	2.55346711079066	0.675017170393496	2.76748321988921
"0092362bbf11972deda26d5b9e919f85"	1.50390293711463	3.7974463737599	1.23008197410087	3.00366075987611	0.799334354441691	3.70103625980123	4.89120543817544	1.66931797478197	4.65857769285256	2.01290475867956
"0095b52bd61b59e97345c0564dc8496e"	7.13561910823496	8.26891014955157	6.4299584414206	7.64784570253546	6.30534341128089	7.44762015839823	6.14513243040775	5.48512588353003	5.71709215985505	5.83907875062416
"00a550b3fa43f178639afb2a02540b16"	3.59432973508601	2.46162352257293	3.86298852641627	2.916118827901	3.6901330430429	2.55371378180422	3.64458011856188	3.57405333621416	3.40579373555818	4.00620997284737
"00c4a692e67b1c93a289ffcae447cfcf"	3.11709600198271	3.82394844527772	2.50710306002508	4.21032812795133	1.99422196754317	3.59140057437899	4.91048332371871	3.11541261928986	4.56136439019034	3.15784797676697
"00cee8684ccbb62fce87c20103b8aed2"	1.03244964074383	3.86896203863665	0.706655941323986	2.7190900172501	0.917036999697315	3.15387574129798	2.90654077637384	0.890432059700478	2.3824293809837	1.12740898828547
"00d413ed2e7ee7dd251ede7c7ed3ff78"	2.65220304483522	1.8892959568478	1.19445717397681	1.24933854040006	3.82045515436819	1.67224837884478	2.99182806202906	1.5255905428715	2.61115097276207	1.65527438541602
"00ebf8e1ef000771b72c70f2036cc4f0"	1.69693125659223	0.246395126108177	1.4523231774657	0	0.822981748340178	0.400308502306564	0.611905671277479	2.66203418542213	0	2.22749014162885
"0112c347c6def14a99ba74cd77bfc94d"	2.2722774204191	3.97572336290467	1.87102726134746	3.86047009839678	1.78553429967128	3.58256125780413	3.45327733108006	1.60534488780071	3.18317151838227	1.32465606308192
"011b116b1e264e2cde7ec36aa569ad7c"	1.27568956266247	3.04693072594418	1.15332614293146	3.12238496833934	0.775114189423935	2.96805450356149	4.83024401595929	2.12261016841739	4.88985322591189	1.99813304266913
"0127000197e26a049598b4a6d0225ba2"	0.724839627292435	0	0.501953381566355	0	1.31216869650197	0.564395774148579	0.17896520959305	2.22916183226529	0	2.32364629171513
"013c9c13c8d7029019462bef0627adba"	1.76068323293224	3.42848207905065	0.906989610239071	2.32568326440668	1.01387468832435	2.94031654623578	3.45397618763146	1.0526305682192	3.75791065167579	1.43295292740123
"015116cb2ae1efade79e1af688f3c15b"	2.63422136947233	3.4280504230723	2.00502977338474	2.52217072240395	1.85866004227329	3.28486054974883	2.20815154883239	2.58246853502406	2.35611353757127	3.38041974720093
"01524ceb0052552ad3c425bf777b0b3a"	0.974491713162854	2.48406713082388	1.28309262473153	1.85658388699329	1.28309262473153	2.53279601153133	2.86015719402329	1.38769787573231	2.98511682856144	1.65809892540673
"0160f5a856b526939ba1062b1cc9df76"	2.02454571332062	3.57662467196646	1.42069095690768	3.17878897672828	1.66974624894349	3.00629726694858	3.39492696361679	1.17424714216405	3.3387479124908	1.8661576611687
"017a60cbade7b309db182bcabe59d6a4"	5.70139561169716	4.30286707857383	5.4833421829079	4.3730693880493	5.51168634196327	4.59852067692376	4.95434888112948	5.14754854511918	4.37912141861755	5.3359837666131
"017d459400583fe36857c77a1d541f39"	3.25194051313803	4.77779811939336	3.13808607155888	4.78170888759291	2.91755854741254	4.76891432960442	5.83041976581375	3.48691136184084	5.43989926050183	4.18355401888583
"018de0ee05bc68de9383baf688539f9f"	3.70037883209861	5.06930286488208	3.50088825523123	4.98541313965668	3.49484876217693	4.76427245785292	4.20697669546922	2.7734186277729	4.43594422632915	2.89841421931827
"019f94720ba42ef1861b87fc58cdd3de"	2.76809175100447	4.34740368060868	2.33731641698011	3.46284156198351	2.78794089722258	3.62315890131879	5.81530449917208	3.55603890851393	5.52598094313943	3.93037029973101
"01ac16555e036cea2ece2a239591aae6"	1.25721525724279	2.65217779698296	1.01992200277372	2.18709001755468	1.09159480518581	2.8070362108791	3.04606971626084	1.84999252765283	3.32446225900453	1.49285870188942
