"sample_16_1_1"	"sample_16_1_4"	"sample_16_2_1"	"sample_16_2_4"	"sample_CFAb"	"sample_CFAo"	"sample_CFBb"	"sample_CFBo"	"sample_CFCb"	"sample_CFCo"
"0026fcece5bad932ca77e9b27dd8c599"	5.00444823364995	3.34971957902593	4.96121708274647	3.789148093143	2.25939696806041	3.38025045190157	3.21819623399863	3.53353145778927	3.34548733020355	3.56414491263053
"00306dbb19665982fc78754ac92927bf"	2.48193977238682	2.95384616368784	2.28299717831376	3.027821320873	3.58543928400651	2.62491011819617	3.36090112298382	2.79400596017524	3.33504634541391	3.65726616035692
"0032aede248babc5516f057b3bcd4409"	3.02256503341897	1.88880662446522	2.70353642934456	2.03636440206363	2.05191205897586	3.32107278174665	2.67342397311897	3.33416800981893	3.10350950659645	3.56629614053659
"0034860642bb665e3bc98da83b24f6f7"	3.30128113017792	2.26814995070835	2.93683307483863	2.89678095283442	2.18354747067283	3.47970488073656	2.57997558837479	3.16570894483575	3.4655453846523	3.85023695941967
"0051ee453ff489fa79b20379bcc79b6b"	2.37398004813342	1.88522339592511	1.25827589272424	2.15577665535745	2.08136985361815	3.08646859926419	1.77705953704084	3.38306927713354	3.08522800905022	3.32517749244754
"006c80037cfc5a276d7d1b8ef20cdccd"	2.78991690168542	2.55346711079066	0.675017170393496	2.76748321988921	3.07593806610919	2.38405678238062	2.57361873897985	1.5133557656137	2.08067798044198	1.57584134739554
"00823592d773ca77be3da202ae020b29"	3.29909717504575	2.1391052313606	3.05657371892132	1.85926171917942	3.09321608929916	4.45237120553681	3.2818686520361	4.40353457180824	4.31589302873133	4.65807886693594
"0092362bbf11972deda26d5b9e919f85"	4.89120543817544	1.66931797478197	4.65857769285256	2.01290475867956	1.48654685300898	4.22295129860826	1.28530649370849	4.19377859089752	3.40983305334999	3.40731701842988
"0095b52bd61b59e97345c0564dc8496e"	6.14513243040775	5.48512588353003	5.71709215985505	5.83907875062416	5.63405024419647	5.56909765518585	4.88649485289338	4.64967759222818	5.32789480939254	5.42269644926596
"00a550b3fa43f178639afb2a02540b16"	3.64458011856188	3.57405333621416	3.40579373555818	4.00620997284737	3.53619250251365	1.69670565655887	3.38283542809703	1.46569501656816	2.70544307215979	0.971711815206825
"00b08f570ae6322b03af00df9230f86d"	0.611905671277479	1.5255905428715	0	2.37281445304717	2.0811452995388	0.939014227009374	1.38443907162406	0.621090271424502	1.48298477892835	0.529052390683763
"00c4a692e67b1c93a289ffcae447cfcf"	4.91048332371871	3.11541261928986	4.56136439019034	3.15784797676697	2.33579856799926	4.337590408346	2.49335750715752	3.90255286486516	4.74201127551835	4.81661407437961
"00cee8684ccbb62fce87c20103b8aed2"	2.90654077637384	0.890432059700478	2.3824293809837	1.12740898828547	2.09176516916119	3.85020666332935	1.1252211052926	3.71708353765595	3.50072734659853	3.52898892326627
"00d413ed2e7ee7dd251ede7c7ed3ff78"	2.99182806202906	1.5255905428715	2.61115097276207	1.65527438541602	2.48071119449383	3.772907134304	2.60837836308103	3.70792002641407	3.18603026715872	3.18728674220146
"011b116b1e264e2cde7ec36aa569ad7c"	4.83024401595929	2.12261016841739	4.88985322591189	1.99813304266913	2.80685632357778	4.83672136593079	2.90227046445955	5.00152232349245	4.58880524786174	4.88154677157744
"0127000197e26a049598b4a6d0225ba2"	0.17896520959305	2.22916183226529	0	2.32364629171513	2.96778811080916	1.22896649358202	0.489999997373214	0.98821899490561	1.63493870281451	1.02774834681357
"013c9c13c8d7029019462bef0627adba"	3.45397618763146	1.0526305682192	3.75791065167579	1.43295292740123	3.12578883594263	5.06514115599177	1.83692019781439	5.19057811282368	4.66038409272112	4.94587795435297
"015116cb2ae1efade79e1af688f3c15b"	2.20815154883239	2.58246853502406	2.35611353757127	3.38041974720093	2.39989980782947	3.3807679819852	2.5845745934592	3.18540143711743	2.97316759530457	3.2954839148355
"01524ceb0052552ad3c425bf777b0b3a"	2.86015719402329	1.38769787573231	2.98511682856144	1.65809892540673	3.16891149964139	4.50146714041196	3.58629463819045	5.04359686991079	4.37293008624475	4.79055032720691
"01525c063123cb2134c64e84ad1e2118"	3.50085645494235	1.62366620844473	3.71623811938155	1.87527889533655	2.27827272810035	3.96446348954187	2.77607762892059	4.03843219527259	3.52505779407815	4.14583431730998
"0160f5a856b526939ba1062b1cc9df76"	3.39492696361679	1.17424714216405	3.3387479124908	1.8661576611687	2.24982377421737	4.36406641110914	1.10109453866824	4.05623167253907	4.02521110942549	4.09294010977364
