"sample_002Cb"	"sample_002Co"	"sample_021Ab"	"sample_021Ao"	"sample_029Db"	"sample_029Do"	"sample_032Ab"	"sample_032Ao"	"sample_032Bb"	"sample_032Bo"	"sample_040Bb"	"sample_040Bo"	"sample_040Db"	"sample_040Do"	"sample_043Cb"	"sample_043Co"	"sample_056Ab"	"sample_056Ao"	"sample_18_0_14"	"sample_18_0_17"	"sample_40_2_1"	"sample_40_2_4"
"002aab5740aa6be49247450ebfe2e82c"	3.37906703532883	3.85629244936099	4.10910246009753	4.69237286134569	4.01073285434855	5.06012235823163	3.75749635826736	4.29466484629735	3.2133009541131	3.78924083238099	2.91875943234824	3.86933051261619	2.61681172066794	3.67529003480312	3.36474485487651	4.46193767214082	4.08640317941415	4.11466476796974	3.53270213871409	2.79508380006715	3.15676456355066	1.8183197675015
"002c8b16c60ae57f34435016c957fe69"	4.1550364783484	8.4676570634759	3.62879962075582	7.96310846044027	3.75676699381072	7.27400955858142	4.062908803801	9.0473047351521	4.42232148225384	6.85643460013153	4.12901652944295	9.25001417690747	4.25638561200201	9.37571293185656	3.86824654064504	7.73647915402558	5.08342108909319	8.48747237010924	9.94376317596189	6.62028434947856	7.12747712569315	2.3117204734584
"003096becb056512a6852b6d97c81e70"	0	9.0267649098669	4.46058869194388	15.6985753165893	9.72736818226129	16.1875252576734	1.84998603981021	9.8912923158316	1.07785546147629	7.03783886962841	1.7799749824555	9.22802651773402	3.17222870050772	8.18038729903813	0.193331557022263	4.79632954080859	0.35527296162064	5.10483636816104	10.6995903446221	6.67119923457767	4.66979252861254	0.204982839337034
"0053ef839671147b583abc1da338caa2"	8.97216989342653	0.782837946811406	8.59413010360015	0.993473970544805	9.82679372734323	4.7570571540046	6.69192800247653	0.111502912454782	7.64436084825571	0.88629853713109	6.79554187585909	0.406131552651325	6.35555949172873	1.88558467275825	4.38720766274131	0.322771432840649	6.4617857949391	0.398314396359297	0	5.24650313649706	0	3.30821095631639
"005a280b00d3ecf88ee311777cf5222e"	2.53851787236983	2.83470053176181	2.04647403640559	3.06661189733721	3.54325003169536	3.56797881377438	2.92275526162359	3.17601266525379	2.51699267661759	3.11658968956739	3.59559571968156	4.42282062880213	3.04880373606313	3.42728089641818	2.55401642555249	3.07087100714771	3.29185855560376	3.02429849597249	3.32875929652199	3.6714738516569	2.30831892312662	2.92790493685312
"005a669dcc950227443b1c6e9c6e8d8b"	9.16531426117522	12.7945262223615	4.80156595608761	7.64031236089046	4.84549898611503	7.56244301284162	10.361836841135	13.8820870534343	9.7042387787171	13.7364083051775	7.164861991523	11.8607630790107	7.0959567087786	11.7020491755112	4.93965032227829	11.2817345469725	7.23560458701546	12.5683203432858	12.5448000739666	8.6005323067813	8.30959610958424	2.91837576721885
"005e3c863bc4d8614de17acaf3c95a2c"	2.82874425489024	4.66802535358076	7.64842013291516	8.1345841052573	7.63189237563055	9.06702344727968	2.33394838267326	4.89182244085973	2.85624161687754	4.13768831842691	3.24646375417614	5.14763807115446	3.47182979725072	5.24073168497164	6.40365650250043	12.9001619467695	7.71163112672272	12.5335405892313	5.35416258519115	4.0362033126161	9.85737131386589	4.97404685659994
"0084cda4bdf71b9f9a12554bffbf7c67"	2.53050012267834	3.48624382665894	2.32226026118727	2.10088987288571	2.44077014054992	3.4171435628118	3.08164085101703	4.1936456012767	2.28371547630807	3.4414013932703	3.66381361233221	4.80749280235002	2.83629609103467	5.04802534799956	0.830266067923065	3.02291568396936	1.49087912596084	2.92179957834606	4.07519571572467	4.6826610598862	2.09478805424745	0.73267746117689
"00a7492993e99c31e0ae624d3b3d151b"	8.04679691934984	12.7373658883143	3.68747196406437	4.45917862979936	3.81723792773357	4.94923920811118	10.6215940785608	12.5743656994354	9.19660310240945	12.2256545784413	4.88371295080744	7.23448410736136	4.87953099803137	7.56192832307587	2.40909846385886	4.85472478668039	3.29449871181598	4.73830251399692	7.09252681460883	5.47709460536954	3.05491670585401	1.62547916088034
"00e1fdb5474821f870fd6c48acac291c"	4.69672645595392	4.45782684026403	6.54428191462094	6.99042201088762	4.72052395568401	6.10682090527479	3.63504846882663	4.15475383536248	4.0370482506394	4.2516888228516	5.02257045255511	4.54136313059754	5.10823436753532	4.19992155444718	1.58259442837722	2.22122122964523	2.29264525608582	3.18540052716097	4.44540980114621	3.84284011588891	1.7806973422252	1.2695976102425
"0120a2850c6c5d13db081628957cfdbd"	4.51364634494753	2.85914341163017	8.38180031383873	4.08144468243349	9.84166850088666	4.99574156134254	3.96395425028202	2.88676832889265	4.57297376939812	2.89238977588304	5.09215076287839	3.75809996635543	5.30088855819992	3.63513579160399	5.30049133294776	5.09560401092805	8.54238774485402	4.41330891778176	2.32745329992293	3.98970970913342	3.39448530262396	3.11496153568693
