"sample_106Bb"	"sample_106Bo"	"sample_16_1_1"	"sample_16_1_4"	"sample_16_2_1"	"sample_16_2_4"	"sample_7_1_1"	"sample_7_1_4"	"sample_7_2_1"	"sample_7_2_4"
"00306dbb19665982fc78754ac92927bf"	2.74527381455572	3.84401231109544	2.48193977238682	2.95384616368784	2.28299717831376	3.027821320873	3.80601905009399	2.20646418664781	1.80312877463051	4.05416308291375
"0032aede248babc5516f057b3bcd4409"	2.36306617509738	2.68391699035078	3.02256503341897	1.88880662446522	2.70353642934456	2.03636440206363	2.23174784311504	1.33401505446619	0.954688029190568	1.87113580107638
"0051ee453ff489fa79b20379bcc79b6b"	1.08961022473438	1.4901632648776	2.37398004813342	1.88522339592511	1.25827589272424	2.15577665535745	1.26128229008728	0.458082858350042	0.14614586950682	1.45688329156018
"006c80037cfc5a276d7d1b8ef20cdccd"	0.620283434036384	1.04378996756688	2.78991690168542	2.55346711079066	0.675017170393496	2.76748321988921	0	0.748421041968167	0.37842958638172	0
"00823592d773ca77be3da202ae020b29"	1.66719253739376	2.86835675176038	3.29909717504575	2.1391052313606	3.05657371892132	1.85926171917942	2.05915273371699	1.39283542166327	1.00909595872004	1.7031021930346
"0092362bbf11972deda26d5b9e919f85"	0.867087882561922	3.15765127312979	4.89120543817544	1.66931797478197	4.65857769285256	2.01290475867956	2.3878251938666	0.473279507692021	0.327402660646713	2.42919791994237
"00a550b3fa43f178639afb2a02540b16"	2.66049692167537	0.645990057253149	3.64458011856188	3.57405333621416	3.40579373555818	4.00620997284737	1.31144149621782	1.75046253555316	2.38448484452454	0.309798198016489
"00c4a692e67b1c93a289ffcae447cfcf"	2.49222811566037	4.42855597128806	4.91048332371871	3.11541261928986	4.56136439019034	3.15784797676697	3.91807793727439	3.62133990104798	2.9425329533264	4.09716125827331
"00cee8684ccbb62fce87c20103b8aed2"	0.702473660125897	1.82492439325043	2.90654077637384	0.890432059700478	2.3824293809837	1.12740898828547	1.75986129402566	0.469494778852093	0.0782753273625249	1.72438436421783
"0112c347c6def14a99ba74cd77bfc94d"	1.25440019893045	3.21952841188697	3.45327733108006	1.60534488780071	3.18317151838227	1.32465606308192	2.5110758140157	0.450397045231816	0.566798501802664	2.22261071631923
"011b116b1e264e2cde7ec36aa569ad7c"	1.06904271970194	2.29834612123475	4.83024401595929	2.12261016841739	4.88985322591189	1.99813304266913	2.43132873008648	0.65231476931877	0.273631321354119	2.67394690493955
"0127000197e26a049598b4a6d0225ba2"	1.7356352263313	0.736900873449868	0.17896520959305	2.22916183226529	0	2.32364629171513	0.327402660646713	1.14889023443033	1.1450457096447	0.236107159466067
"013c9c13c8d7029019462bef0627adba"	2.1439474458298	3.34790526412088	3.45397618763146	1.0526305682192	3.75791065167579	1.43295292740123	2.93821205674787	0.955638427339064	1.10634554156199	2.90474987077264
"01524ceb0052552ad3c425bf777b0b3a"	3.23250867385144	3.934545655596	2.86015719402329	1.38769787573231	2.98511682856144	1.65809892540673	4.1786481793143	2.50219222307099	2.02778304903657	3.63867241164635
"01525c063123cb2134c64e84ad1e2118"	2.0261884333741	3.61809694646879	3.50085645494235	1.62366620844473	3.71623811938155	1.87527889533655	2.61194413800011	1.41071376566063	1.47366171640839	2.84400112263786
"0160f5a856b526939ba1062b1cc9df76"	0.566798501802664	1.81754579244194	3.39492696361679	1.17424714216405	3.3387479124908	1.8661576611687	1.47366171640839	0.370103870920096	0.207010104335413	1.40775615046087
"017a60cbade7b309db182bcabe59d6a4"	3.71874913035925	3.34701658912809	4.95434888112948	5.14754854511918	4.37912141861755	5.3359837666131	3.16176098654941	3.56163781090741	2.73390279106512	3.20882589305502
"017d459400583fe36857c77a1d541f39"	2.21338933197381	3.37100652304839	5.83041976581375	3.48691136184084	5.43989926050183	4.18355401888583	3.11720693122557	1.33719865027583	0.963964082162872	3.35253885882762
"018de0ee05bc68de9383baf688539f9f"	2.55434719883018	4.18659043060404	4.20697669546922	2.7734186277729	4.43594422632915	2.89841421931827	4.31584429654249	2.40326763397008	2.07599561127554	4.38997986125506
"019f94720ba42ef1861b87fc58cdd3de"	2.04828492611418	2.31402589669891	5.81530449917208	3.55603890851393	5.52598094313943	3.93037029973101	1.10976321864564	0.327402660646713	0.166848294259004	1.52500901615062
