"sample_020Bb"	"sample_020Bo"	"sample_020Cb"	"sample_020Co"	"sample_020Db"	"sample_020Do"	"sample_088Ab"	"sample_088Ao"	"sample_088Bb"	"sample_088Bo"	"sample_088Cb"	"sample_088Co"
"0026fcece5bad932ca77e9b27dd8c599"	2.98995159759496	3.43164510908097	3.36200461478504	4.61679274165604	2.64328153792844	3.98104782307148	2.5057969206795	3.46433930300809	2.24771910835279	3.84134600230157	2.01922699202232	3.29935511414919
"00306dbb19665982fc78754ac92927bf"	3.26771960447526	4.80785879829288	3.95105480927813	4.42730620539703	3.36722047591833	4.25297112035842	2.71235306497559	3.49244367923963	2.38539039573091	3.79025890371181	2.50107496123471	4.11149063571935
"0032aede248babc5516f057b3bcd4409"	2.44962990286275	3.23942096781706	2.60467055324363	3.39757898719653	1.82826491802882	3.24571608632723	2.25322466625582	2.75603496165613	1.80035574845341	2.72455065017816	1.9887014033102	2.56914362612936
"0034860642bb665e3bc98da83b24f6f7"	1.20879733217147	2.2395822630702	1.3773869364132	2.33158769474961	1.09225709091451	2.07055911464886	2.14100924806395	3.67360539734608	2.23661621605183	3.70666043140902	2.51005281804303	3.46706127410702
"0051ee453ff489fa79b20379bcc79b6b"	1.81397817790943	2.93629019107775	2.55810517080816	3.11316873355318	1.60589522854176	3.03533834164761	2.1607203243996	2.89879525059348	1.68838505325635	2.8171142578224	1.77951085080433	3.18000698275622
"00539cb2af8b7b06ee1279130fa2f307"	2.00289458129608	4.37487672933642	3.29115049223728	4.41061435252543	2.1295954640247	4.06601607755993	2.0005525432278	3.9033244827361	1.7887750201871	4.04497608085951	1.84813035082365	4.33977001782495
"006c80037cfc5a276d7d1b8ef20cdccd"	3.69237755560237	0	3.1113215522069	0.753150876229689	3.81318431490403	0.247912199829091	2.56374604644889	2.50289915947275	1.52132306904417	2.99317646725305	1.89395258087007	2.40586948585907
"00823592d773ca77be3da202ae020b29"	2.46288971271645	3.79582342544386	2.93451899101082	4.02001016443603	2.31947092154603	3.66585440037414	2.8953051243632	3.74855303559955	2.67897697428317	3.83722445641957	2.38826358208313	3.51275545273749
"008810a5ca2332a04d285ca396b6a5f1"	2.25948383626136	3.36366760074349	2.93451899101082	4.05584937247971	1.62235729662952	3.56966294152024	2.16127725633982	4.23219627547368	2.11192567262253	3.72446954606942	2.2063913229388	3.80866093599022
"0092362bbf11972deda26d5b9e919f85"	2.90779290247465	4.79392050063143	3.72081581606859	4.71910368835638	2.30520725212794	4.44044821982137	2.6528902393743	4.63534966799293	2.4404530297077	3.7683589437076	2.45992779690253	5.1480396206683
"0095b52bd61b59e97345c0564dc8496e"	6.75999670802805	7.4509478067342	7.15739318268075	7.06069865202205	6.81568790997879	7.4646496254384	6.2299162485135	6.19468327085986	5.71531861016252	7.02242829241789	5.86163708645049	6.01135471959158
"00a550b3fa43f178639afb2a02540b16"	3.69052220406108	3.3218177541024	3.73428800229766	3.86559532838706	3.5772966199216	3.58353971601803	3.35803375878001	1.6002639601211	3.59401972284244	2.0005525432278	3.89556267443172	0.578801978775085
"00b08f570ae6322b03af00df9230f86d"	1.86769652948454	0	2.47911759214871	0.639864540314357	2.59429125791423	0.313417068401069	2.9124908721767	1.39834644214403	2.65599872463041	0.880049894477776	2.1224100308313	0
"00bcc118d77be26d37aa6816c6eec493"	2.39082305075915	0.175672836288781	2.1831220469101	0.569957555604261	2.10240045716355	0.359147484688998	3.39551795085091	0	3.48857435847869	0	3.39142175554723	0
"00c4a692e67b1c93a289ffcae447cfcf"	2.1369870750238	4.38077234838561	3.76032736286256	4.44590553205753	2.33042591549876	4.60853280603898	2.27852393099678	4.34813939324064	1.70372211155474	4.32281815028634	1.95967215954285	4.48987560156709
