"sample_016Bb"	"sample_016Bo"	"sample_016Cb"	"sample_016Co"	"sample_020Bb"	"sample_020Bo"	"sample_020Cb"	"sample_020Co"	"sample_020Db"	"sample_020Do"	"sample_028Ab"	"sample_028Ao"
"00306dbb19665982fc78754ac92927bf"	3.34694057760738	4.68499313720926	3.83940110698125	5.46739440481394	3.26771960447526	4.80785879829288	3.95105480927813	4.42730620539703	3.36722047591833	4.25297112035842	3.37275534793579	4.54124946863712
"00539cb2af8b7b06ee1279130fa2f307"	1.50908863374988	2.86935394196391	1.53082850438503	3.05195213487212	2.00289458129608	4.37487672933642	3.29115049223728	4.41061435252543	2.1295954640247	4.06601607755993	1.34613972033702	2.79117419593519
"006c80037cfc5a276d7d1b8ef20cdccd"	3.67130385415048	2.54056539338816	2.659253436911	1.70335457629138	3.69237755560237	0	3.1113215522069	0.753150876229689	3.81318431490403	0.247912199829091	1.91170431463713	0.682860958301575
"0092362bbf11972deda26d5b9e919f85"	1.18610960312656	2.93328330112149	1.46618259532455	3.18375608322446	2.90779290247465	4.79392050063143	3.72081581606859	4.71910368835638	2.30520725212794	4.44044821982137	1.44517440321817	2.66240101888022
"0095b52bd61b59e97345c0564dc8496e"	6.62691685260544	6.8311478052137	7.4704519720516	7.50847902831682	6.75999670802805	7.4509478067342	7.15739318268075	7.06069865202205	6.81568790997879	7.4646496254384	6.98941275053016	6.99522721256596
"00cee8684ccbb62fce87c20103b8aed2"	1.73364047653287	1.95247185958285	1.43450245115513	2.38948913088971	3.06512343904469	4.74001879070773	3.7434222780568	4.36563578563762	2.71466322014521	3.95195031503719	0.997453304572412	1.85168470927917
"011b116b1e264e2cde7ec36aa569ad7c"	0.959135060066762	2.77880782839755	1.06107879702975	3.05545358528694	1.80500936612918	4.44529783899845	3.28352739514361	4.1336171362169	1.73954433163965	3.85106138544421	1.12660674872291	2.49138740551638
"013c9c13c8d7029019462bef0627adba"	2.55203626426701	3.74180778235484	2.20029397302911	3.26093071026607	3.31660634600919	5.53780370012466	3.75958206316628	4.21444579766469	2.66133085131587	4.09685447641721	2.08823427207899	3.7139253213757
"0160f5a856b526939ba1062b1cc9df76"	1.2493970243415	2.43291635816834	1.21324666880355	2.62965880149096	1.87753708544777	4.353359377388	2.99155998163668	3.10320976683262	2.35045788412452	3.33158803447882	1.1652623289792	2.58057706772908
"017a60cbade7b309db182bcabe59d6a4"	1.51189696631975	0.371811801479201	2.18900600833974	0.488889169479432	4.50192179378187	2.23238577976311	4.68111882593014	3.22103397438732	4.32475010797653	2.7572014429324	1.25261952963708	0.630314936237133
"017d459400583fe36857c77a1d541f39"	2.43489104757598	4.79754390838387	3.37429866658284	5.01004534677822	3.97204546951341	5.15575731511443	4.9466222597552	5.78441893832944	4.00378960507092	5.42674834665433	3.02865787748089	4.32459056464396
"018de0ee05bc68de9383baf688539f9f"	1.66386435766991	2.9779573487267	2.26310570066594	3.72775657047818	2.65909242288633	4.84317444792897	4.08373157652837	4.24381522210586	2.71360275709186	4.59455888474211	1.98031443115074	3.36233957438377
"019ee757485f09fa0c7881843036a765"	1.85697276265559	1.61332295587016	2.4119432275153	1.97771704656914	3.22613120085779	3.56242467736002	3.58974407756409	3.58398416355546	3.27632809774957	3.47171163747906	2.34300931241227	1.31799865726938
"019f94720ba42ef1861b87fc58cdd3de"	2.1305719415508	3.00216359817906	2.54322422024996	3.55121992387075	2.74699190097593	4.05279549789508	3.24688686683974	3.94608969013528	2.53011007182105	3.87394266580174	1.98702206725792	2.61493843634505
"01ac16555e036cea2ece2a239591aae6"	1.18601983944991	2.97875704666276	1.43345125613132	2.73577735203695	2.00598099359427	4.22894782716517	3.47625251018198	4.32480560872473	2.22876081123402	3.92511228437832	1.46684236016297	2.52979027917747
"01e013346904f75a91f713c559585ff7"	3.03029069277827	3.07495954115431	3.2865095384517	3.8938274253396	3.27511853068661	3.28535351460243	2.73874854799081	3.58708977763676	2.49903898294276	3.33785949059088	3.69731740427198	2.91879744807423
"01e9bb0d97f8ed373a8d529ffb971acc"	2.37840206923103	3.60668336049141	2.90647608963009	4.11907321119453	4.07452361875818	5.21496695277458	4.97510436052616	5.12034785385702	4.14032844325343	5.177663027643	2.88601112943541	3.22092627440497
"01ea06c562e6b8f6bbc5be68d99c0373"	3.92986072316113	4.02293998132907	4.04170743547161	4.11931559133555	4.69525857411968	5.34166394123236	4.57429835730449	5.01837547479496	4.80813036041019	4.83201175519772	3.88923058033746	3.85549438851859
"02104476719f02b32307edfdb1e6a0c4"	2.22493128795241	4.40434867137553	2.4495782185347	3.43451912750514	3.17381700872827	4.29839688036552	3.21311925402768	4.38673446164927	2.39372178787662	3.59533312097707	2.25843454414471	4.21921046982959
"02266378f920e88e1dac1ed916c48ff6"	1.9870584136627	3.20952308493334	2.0614971130218	3.2216219516252	2.34433683116869	5.16283781463578	3.19842296381586	3.94454169472357	2.25109430542179	3.79833690585627	1.55568127098108	2.83797593092143
"022b87e073ba519506a6d0d9dac1bba1"	3.51971937385252	5.63381700177439	3.24526335149943	5.38214391568651	3.05537080934737	0.614218685254534	0.911628681385166	2.20805724708674	0	0.336543662641743	3.38656021238724	5.62994553243721
"02556710e6071f6303dfb662fc79f6b6"	0.439345304000257	3.4128694308275	1.14037815759873	3.76867400022871	1.64732080803148	2.35350441746356	1.46159383743623	3.11677186753025	0.911628681385166	3.22294848033691	1.3089164330985	2.23702599791468
"028a375a3a51f2d5d05b85cf4ef10890"	1.8027900744605	2.98694618870335	2.13457558842624	3.40467516050595	3.97445403235906	4.92500597253699	4.37171793211324	4.92558696361488	3.96751371831647	5.0400540218029	1.90502446203054	2.43390419029686
"02a63d174c8502c109303db99cf1e437"	2.65676797407774	3.76605884522662	3.27635567717754	4.47188597918101	4.31709454276416	5.14788251779488	4.79577395041772	4.89790878264618	4.25546188993484	5.2206909256826	2.72321529503582	3.79882500185427
"02adf979cb3500c39977fffbf7d2a048"	3.3973489197048	4.08144001846193	3.43574019811517	3.9315337210866	3.09394504562831	4.14298325519082	3.2149890960607	3.7765941393957	2.59261061155475	3.70641077284415	4.11667487155684	4.85660222333445
"02c19d40dee2d87c409a2e2f7b713d7f"	1.54365979664978	1.90166772820734	1.84102396532875	1.54845806503253	1.22395188664125	2.88481322673489	2.09060054773135	3.19055140925791	1.03831577968344	2.81731898950284	1.85697276265559	1.57677400834968
"02ccf6f06e50ce9c5e49ffe2278c9f27"	1.97884764860217	5.45477109616755	2.21932375005557	5.46665372019242	2.3131566170054	5.80043218113637	4.88335298284598	5.61106792728153	1.68065880670059	5.47503743090164	1.80491341820058	5.16543713889765
"02db2ad8ae83f16a31add624ea4ad90e"	2.58313174376579	3.91739622380008	2.72778289131233	3.67187662173155	3.91466511198861	4.75169778093757	4.46265483245309	4.79484765493403	3.39098447367196	4.58823076061443	2.74817960383614	3.89405671383502
"02ed78575eba82d038ec26a744d9b6c5"	4.44784363508344	4.78030503850925	5.07488978740174	5.50426138222127	7.46601503248975	7.84321027130245	7.58228339759602	7.4693519653564	7.08805067449697	7.7503685604148	4.42908889020197	4.95111297785107
"02f7b0f943947c68160210ebf8af9e7d"	1.24292069180414	2.03964064024988	2.14121291748721	2.38742262556175	3.2659629435914	4.19411864975801	3.79366281906935	4.46653208120849	3.44354631632015	4.5102448317283	1.41006581786914	2.04256539787456
"03355cd11fa9d7ee1d42bfd508147739"	1.88252800822886	1.21629941107046	2.14277932746718	1.83869119779125	3.20523156287477	3.06426422480575	3.29629878702387	2.89278582176373	3.35583274379399	3.40418141095641	1.74279468662777	2.34727248173769
"03734cd02763530410103ffac1802bfc"	3.20726686084322	0.126727800591516	3.69620034090806	0.116759400809843	4.37816503829865	0.381251647372873	3.22867010394196	0.413517930258873	4.23458470907985	0.865563172165401	3.49951542723872	0.116759400809843
"0381b98525605c48d762e395044ca5b2"	1.48563935416859	3.35072383711522	2.24469105608001	3.54338971094429	2.80904732280919	4.66409027680788	3.44823468194751	4.40475648314741	2.55837259528661	4.28242436350102	1.90400991361561	2.92195984868338
"03ce41b70baf38697859cf6c9998b33f"	0.522832650051581	1.74550259357198	1.26857810448374	3.40840815477061	2.53392694620513	5.2881520341837	4.23574319347651	4.61631805692955	2.93706787923566	4.69569723575157	1.15111871358184	1.56035396511462
"03dbe23a9e8b7382924fd20ec95338af"	1.49183701019042	2.04402457510141	1.09997868805247	3.0324636408553	2.86542491661368	3.03399354071072	2.78389124676778	3.13241484196063	2.0755855623498	3.09063232503	1.03013357069587	1.68473275141124
"03e263884fc71d9f491555f67c1f630d"	0.967954857495304	2.87657659625596	1.53641894709715	2.80426312482575	3.29370437163138	3.99469592490613	3.56514516985497	4.48744428869928	3.28774659823481	4.11400083894028	1.50442155976762	2.53165123111522
"03f86a1233871340db1328f6fc35aff1"	3.49131815003563	4.43631317794396	3.57104903921017	4.31906017054026	2.01030794600599	4.23481651335095	3.19186764542098	4.12285394670348	2.52755737116754	4.06632793621526	3.57421077942203	4.59510304191252
"03f8d34575dc20b78b31c3c1177379b9"	3.15152302201884	4.12333399528403	3.30568623833268	4.75076650999262	3.16114704604813	5.01551287267934	4.14414234555692	4.94628096221702	3.20103310609595	5.15085443049302	3.06345204165529	4.35367682455675
"040ffbbb2858152fe7b1bfe2be12eebb"	1.37367962889975	2.66240101888022	2.01742796352248	2.96338618393353	2.6260592189962	3.74720373806313	2.90953888918988	3.97625665509713	2.34126219688012	3.63508893900142	1.89152938657264	2.7329212042841
"041c4b843dce3deada3d6b1daf849177"	0.356164213538162	2.56856818621036	0.67715701658107	2.45152031019536	1.18067265181289	3.64098249092172	2.60853508627049	4.07425150875632	1.23797183125075	4.00583162208694	0	2.46692273762636
"042f95fd86a3be60cda5e0a13e76be0c"	3.91537842969049	3.11422390254325	4.10196179397703	4.03376429463034	6.93698111317461	5.41328679438627	6.46178025265284	5.5292017600872	7.13387767233765	6.09403585554134	4.00093338650094	2.90656351654725
"04356242a8d119e65547c999cf90c0a1"	5.43571289813702	5.94463644520987	5.64386902094144	6.59430534173013	4.52684028783297	4.39910768848581	4.58342301483601	5.06257390220246	4.24722314887326	4.76992671769185	5.57833067782345	6.01311826400176
"0495aca4ee75b03118200f39e55de807"	3.93383439811723	5.47638607194257	4.05721217632808	5.35703424507301	3.25309234560259	4.8410277071709	3.77511788245571	4.36685517793347	2.92511708682501	4.3298214509574	3.81215559721482	5.67991097752491
"0496149b2d1f183353cbf9189b7049e2"	1.22654394868085	2.99992372712682	1.18266509896779	3.39149883577516	2.25613646528716	4.19509952860057	3.44806849928989	4.57495837057985	2.24940791995774	4.27568964241792	1.27489090137627	2.9356773394347
