"sample_016Bb"	"sample_016Bo"	"sample_016Cb"	"sample_016Co"	"sample_028Ab"	"sample_028Ao"	"sample_088Ab"	"sample_088Ao"	"sample_088Bb"	"sample_088Bo"	"sample_088Cb"	"sample_088Co"
"00306dbb19665982fc78754ac92927bf"	3.34694057760738	4.68499313720926	3.83940110698125	5.46739440481394	3.37275534793579	4.54124946863712	2.71235306497559	3.49244367923963	2.38539039573091	3.79025890371181	2.50107496123471	4.11149063571935
"00539cb2af8b7b06ee1279130fa2f307"	1.50908863374988	2.86935394196391	1.53082850438503	3.05195213487212	1.34613972033702	2.79117419593519	2.0005525432278	3.9033244827361	1.7887750201871	4.04497608085951	1.84813035082365	4.33977001782495
"006c80037cfc5a276d7d1b8ef20cdccd"	3.67130385415048	2.54056539338816	2.659253436911	1.70335457629138	1.91170431463713	0.682860958301575	2.56374604644889	2.50289915947275	1.52132306904417	2.99317646725305	1.89395258087007	2.40586948585907
"0092362bbf11972deda26d5b9e919f85"	1.18610960312656	2.93328330112149	1.46618259532455	3.18375608322446	1.44517440321817	2.66240101888022	2.6528902393743	4.63534966799293	2.4404530297077	3.7683589437076	2.45992779690253	5.1480396206683
"0095b52bd61b59e97345c0564dc8496e"	6.62691685260544	6.8311478052137	7.4704519720516	7.50847902831682	6.98941275053016	6.99522721256596	6.2299162485135	6.19468327085986	5.71531861016252	7.02242829241789	5.86163708645049	6.01135471959158
"00cee8684ccbb62fce87c20103b8aed2"	1.73364047653287	1.95247185958285	1.43450245115513	2.38948913088971	0.997453304572412	1.85168470927917	2.92378611683866	4.43234230133914	2.61223656124981	3.38966109384382	2.31359031280072	4.54353730605022
"011b116b1e264e2cde7ec36aa569ad7c"	0.959135060066762	2.77880782839755	1.06107879702975	3.05545358528694	1.12660674872291	2.49138740551638	2.38506053148464	4.61364854292991	2.08630543120116	3.96466403121759	2.14713289989905	4.60218292857425
"013c9c13c8d7029019462bef0627adba"	2.55203626426701	3.74180778235484	2.20029397302911	3.26093071026607	2.08823427207899	3.7139253213757	2.9474076498178	4.2149313981908	2.91681661726382	4.11078255279063	2.62465165636909	4.92344521089855
"0160f5a856b526939ba1062b1cc9df76"	1.2493970243415	2.43291635816834	1.21324666880355	2.62965880149096	1.1652623289792	2.58057706772908	1.91138056161224	3.42576880218575	1.61122536738821	3.08384445912122	1.66002961054623	3.76678122545621
"017a60cbade7b309db182bcabe59d6a4"	1.51189696631975	0.371811801479201	2.18900600833974	0.488889169479432	1.25261952963708	0.630314936237133	4.17520754875954	4.41120696724656	3.21836929660442	4.08151359632087	3.22808211661667	4.59252679409913
"017d459400583fe36857c77a1d541f39"	2.43489104757598	4.79754390838387	3.37429866658284	5.01004534677822	3.02865787748089	4.32459056464396	3.5858462282152	5.07773565591595	3.63207203749079	5.45595886067287	3.60639255349965	5.48340326569125
"018de0ee05bc68de9383baf688539f9f"	1.66386435766991	2.9779573487267	2.26310570066594	3.72775657047818	1.98031443115074	3.36233957438377	2.74277756042271	3.89299809115043	2.73049382060838	3.20686919140612	2.73538683068147	3.73597417820307
"019ee757485f09fa0c7881843036a765"	1.85697276265559	1.61332295587016	2.4119432275153	1.97771704656914	2.34300931241227	1.31799865726938	3.19366631871136	3.12642802454425	3.00033765249798	2.58896181384501	2.5678083435862	3.24315703577133
"019f94720ba42ef1861b87fc58cdd3de"	2.1305719415508	3.00216359817906	2.54322422024996	3.55121992387075	1.98702206725792	2.61493843634505	3.96895177067865	5.06208452299206	3.85656018854496	4.67835540396367	3.88952337649042	5.58288055533468
"01ac16555e036cea2ece2a239591aae6"	1.18601983944991	2.97875704666276	1.43345125613132	2.73577735203695	1.46684236016297	2.52979027917747	2.39145640589668	4.23573127090585	2.23661621605183	4.06938293011589	2.28563626972274	4.59868238565136
"01e013346904f75a91f713c559585ff7"	3.03029069277827	3.07495954115431	3.2865095384517	3.8938274253396	3.69731740427198	2.91879744807423	2.96233281187041	2.51245046938849	2.84970785629012	2.22398778614692	2.9145962953114	2.16473311421427
"01e9bb0d97f8ed373a8d529ffb971acc"	2.37840206923103	3.60668336049141	2.90647608963009	4.11907321119453	2.88601112943541	3.22092627440497	3.61158147622099	4.56425714565663	3.64261821451745	4.30439801075395	3.62187923882541	4.45668433070174
"01ea06c562e6b8f6bbc5be68d99c0373"	3.92986072316113	4.02293998132907	4.04170743547161	4.11931559133555	3.88923058033746	3.85549438851859	5.54963499482382	5.42044340215704	5.44300463781337	5.55665569163232	5.25409553663157	5.0409029712402
"02104476719f02b32307edfdb1e6a0c4"	2.22493128795241	4.40434867137553	2.4495782185347	3.43451912750514	2.25843454414471	4.21921046982959	3.54746334435798	4.86722871141447	3.22254349075137	4.71585341086258	3.14535500338471	5.11650348086729
"02266378f920e88e1dac1ed916c48ff6"	1.9870584136627	3.20952308493334	2.0614971130218	3.2216219516252	1.55568127098108	2.83797593092143	3.52616874152108	3.87733424743514	3.18288961905158	3.53788620103113	2.44724977986089	4.06848951593406
"022b87e073ba519506a6d0d9dac1bba1"	3.51971937385252	5.63381700177439	3.24526335149943	5.38214391568651	3.38656021238724	5.62994553243721	4.01651238175426	6.07186028476679	4.27478323639348	5.52056059269114	3.96300999290853	6.4745029780054
"02556710e6071f6303dfb662fc79f6b6"	0.439345304000257	3.4128694308275	1.14037815759873	3.76867400022871	1.3089164330985	2.23702599791468	2.4636949301874	4.23623525169929	2.39463906802219	4.57813397932521	2.16127725633982	3.99590228250986
