"sample_020Bb"	"sample_020Bo"	"sample_020Cb"	"sample_020Co"	"sample_020Db"	"sample_020Do"	"sample_CFAb"	"sample_CFAo"	"sample_CFBb"	"sample_CFBo"	"sample_CFCb"	"sample_CFCo"
"0026fcece5bad932ca77e9b27dd8c599"	2.98995159759496	3.43164510908097	3.36200461478504	4.61679274165604	2.64328153792844	3.98104782307148	2.25939696806041	3.38025045190157	3.21819623399863	3.53353145778927	3.34548733020355	3.56414491263053
"00306dbb19665982fc78754ac92927bf"	3.26771960447526	4.80785879829288	3.95105480927813	4.42730620539703	3.36722047591833	4.25297112035842	3.58543928400651	2.62491011819617	3.36090112298382	2.79400596017524	3.33504634541391	3.65726616035692
"0032aede248babc5516f057b3bcd4409"	2.44962990286275	3.23942096781706	2.60467055324363	3.39757898719653	1.82826491802882	3.24571608632723	2.05191205897586	3.32107278174665	2.67342397311897	3.33416800981893	3.10350950659645	3.56629614053659
"0034860642bb665e3bc98da83b24f6f7"	1.20879733217147	2.2395822630702	1.3773869364132	2.33158769474961	1.09225709091451	2.07055911464886	2.18354747067283	3.47970488073656	2.57997558837479	3.16570894483575	3.4655453846523	3.85023695941967
"0051ee453ff489fa79b20379bcc79b6b"	1.81397817790943	2.93629019107775	2.55810517080816	3.11316873355318	1.60589522854176	3.03533834164761	2.08136985361815	3.08646859926419	1.77705953704084	3.38306927713354	3.08522800905022	3.32517749244754
"00539cb2af8b7b06ee1279130fa2f307"	2.00289458129608	4.37487672933642	3.29115049223728	4.41061435252543	2.1295954640247	4.06601607755993	2.44969113178826	4.51070274697797	2.32097809979093	4.65243751504201	4.27124511857527	4.55131909691513
"006c80037cfc5a276d7d1b8ef20cdccd"	3.69237755560237	0	3.1113215522069	0.753150876229689	3.81318431490403	0.247912199829091	3.07593806610919	2.38405678238062	2.57361873897985	1.5133557656137	2.08067798044198	1.57584134739554
"00823592d773ca77be3da202ae020b29"	2.46288971271645	3.79582342544386	2.93451899101082	4.02001016443603	2.31947092154603	3.66585440037414	3.09321608929916	4.45237120553681	3.2818686520361	4.40353457180824	4.31589302873133	4.65807886693594
"008810a5ca2332a04d285ca396b6a5f1"	2.25948383626136	3.36366760074349	2.93451899101082	4.05584937247971	1.62235729662952	3.56966294152024	2.3313754447133	3.96417482717559	3.28813200035428	4.05015704958266	3.89731927344294	4.27442561095132
"0092362bbf11972deda26d5b9e919f85"	2.90779290247465	4.79392050063143	3.72081581606859	4.71910368835638	2.30520725212794	4.44044821982137	1.48654685300898	4.22295129860826	1.28530649370849	4.19377859089752	3.40983305334999	3.40731701842988
