"sample_020Bb"	"sample_020Bo"	"sample_020Cb"	"sample_020Co"	"sample_020Db"	"sample_020Do"	"sample_040Bb"	"sample_040Bo"	"sample_040Db"	"sample_040Do"	"sample_18_0_14"	"sample_18_0_17"
"00306dbb19665982fc78754ac92927bf"	3.26771960447526	4.80785879829288	3.95105480927813	4.42730620539703	3.36722047591833	4.25297112035842	2.67480890898749	3.40849235679921	2.40850208888371	3.49497777090629	3.96822759297345	3.07463299294176
"0034860642bb665e3bc98da83b24f6f7"	1.20879733217147	2.2395822630702	1.3773869364132	2.33158769474961	1.09225709091451	2.07055911464886	2.29132961984735	2.93397760194817	1.55300796954876	3.18398051019977	2.33806974302635	2.40714491864446
"0051ee453ff489fa79b20379bcc79b6b"	1.81397817790943	2.93629019107775	2.55810517080816	3.11316873355318	1.60589522854176	3.03533834164761	0.919076202477152	1.76632737948895	1.08486004750821	1.8952114506445	2.3897134435495	1.56591380569541
"00539cb2af8b7b06ee1279130fa2f307"	2.00289458129608	4.37487672933642	3.29115049223728	4.41061435252543	2.1295954640247	4.06601607755993	2.26007417304183	4.43655388169503	2.10994649811804	4.31120307063428	4.0669939201993	2.67140004789361
"006c80037cfc5a276d7d1b8ef20cdccd"	3.69237755560237	0	3.1113215522069	0.753150876229689	3.81318431490403	0.247912199829091	1.27264016318804	3.21872391636426	1.98811195878326	2.59619472515376	1.34327102821263	2.10717227402822
"00823592d773ca77be3da202ae020b29"	2.46288971271645	3.79582342544386	2.93451899101082	4.02001016443603	2.31947092154603	3.66585440037414	1.48880112978996	2.3549742697362	1.25305414899894	2.4195504898939	2.40217605889569	1.88793026641604
"008810a5ca2332a04d285ca396b6a5f1"	2.25948383626136	3.36366760074349	2.93451899101082	4.05584937247971	1.62235729662952	3.56966294152024	1.63411101263898	2.95767208672945	1.41249802661653	2.83214807097192	4.21162376727345	2.28417669331069
"0092362bbf11972deda26d5b9e919f85"	2.90779290247465	4.79392050063143	3.72081581606859	4.71910368835638	2.30520725212794	4.44044821982137	4.4446257764304	5.03666230053986	3.59971211835086	4.99230362441128	5.3469508517773	4.7830636197673
"0095b52bd61b59e97345c0564dc8496e"	6.75999670802805	7.4509478067342	7.15739318268075	7.06069865202205	6.81568790997879	7.4646496254384	7.2781841229063	8.0324231858856	7.55850333659167	7.77451827274606	7.9921169414333	7.5102996775346
"00a550b3fa43f178639afb2a02540b16"	3.69052220406108	3.3218177541024	3.73428800229766	3.86559532838706	3.5772966199216	3.58353971601803	3.91797326745464	2.54867925268507	2.92146121117871	1.92107574069811	1.56671828521394	3.45350832473626
