"sample_8_0_12"	"sample_8_0_15"	"sample_8_0_4"	"sample_8_0_6"	"sample_8_0_9"	"sample_CFAb"	"sample_CFAo"	"sample_CFBb"	"sample_CFBo"	"sample_CFCb"	"sample_CFCo"
"00306dbb19665982fc78754ac92927bf"	1.64288042543432	3.08852182469592	1.86568999706804	3.01256697149005	1.09810282558049	3.58543928400651	2.62491011819617	3.36090112298382	2.79400596017524	3.33504634541391	3.65726616035692
"0051ee453ff489fa79b20379bcc79b6b"	1.68168564112163	2.26908373709142	1.43375220957934	2.52344956918842	0.224563342932916	2.08136985361815	3.08646859926419	1.77705953704084	3.38306927713354	3.08522800905022	3.32517749244754
"00539cb2af8b7b06ee1279130fa2f307"	2.41044627595035	4.39046396887634	2.61136635492643	4.22723702867738	1.43338684614376	2.44969113178826	4.51070274697797	2.32097809979093	4.65243751504201	4.27124511857527	4.55131909691513
"006c80037cfc5a276d7d1b8ef20cdccd"	2.04483663967561	3.62324124190396	2.9688519415957	3.30269495826241	2.36193869177658	3.07593806610919	2.38405678238062	2.57361873897985	1.5133557656137	2.08067798044198	1.57584134739554
"0092362bbf11972deda26d5b9e919f85"	1.48494259976513	3.56490091590526	1.40713958198137	3.14701197893242	1.39160821754363	1.48654685300898	4.22295129860826	1.28530649370849	4.19377859089752	3.40983305334999	3.40731701842988
"0095b52bd61b59e97345c0564dc8496e"	6.07164680196743	6.68845390703444	6.72209380526998	6.4599296809764	5.9789204579702	5.63405024419647	5.56909765518585	4.88649485289338	4.64967759222818	5.32789480939254	5.42269644926596
"00a550b3fa43f178639afb2a02540b16"	1.28431036083497	1.10333710910382	1.91789037903873	0.407830308814445	1.17387806649657	3.53619250251365	1.69670565655887	3.38283542809703	1.46569501656816	2.70544307215979	0.971711815206825
"00b08f570ae6322b03af00df9230f86d"	1.43375220957934	0	1.39551373181746	0	0.104496942886173	2.0811452995388	0.939014227009374	1.38443907162406	0.621090271424502	1.48298477892835	0.529052390683763
"00c4a692e67b1c93a289ffcae447cfcf"	2.46685568744965	3.84452718098621	2.30394049757037	3.72723399682425	1.65577853313254	2.33579856799926	4.337590408346	2.49335750715752	3.90255286486516	4.74201127551835	4.81661407437961
"00c6a28930e3eafc29b6cf8827820e4c"	1.59974961204351	0.986556072092665	1.85080010787124	0.777746790571071	1.09310669373849	2.92238586382834	2.57337177543235	2.48658796543783	2.40889780681551	2.5041404086231	2.04911945542891
"00cee8684ccbb62fce87c20103b8aed2"	1.63151937141254	2.28489836969581	1.98364818751443	1.87315921854321	0.93683959424233	2.09176516916119	3.85020666332935	1.1252211052926	3.71708353765595	3.50072734659853	3.52898892326627
"00d413ed2e7ee7dd251ede7c7ed3ff78"	2.26745520101031	3.1997060532766	2.51965712991083	3.1483637428222	1.03864145308687	2.48071119449383	3.772907134304	2.60837836308103	3.70792002641407	3.18603026715872	3.18728674220146
"011b116b1e264e2cde7ec36aa569ad7c"	2.00209494622719	4.62891389973583	2.2376787175397	4.3267622025882	1.12910528224873	2.80685632357778	4.83672136593079	2.90227046445955	5.00152232349245	4.58880524786174	4.88154677157744
"0127000197e26a049598b4a6d0225ba2"	2.16700926353372	0.136477568926128	2.32240848092588	0.118527961947003	1.2105978850176	2.96778811080916	1.22896649358202	0.489999997373214	0.98821899490561	1.63493870281451	1.02774834681357
"013c9c13c8d7029019462bef0627adba"	1.9240293553094	3.31617965252278	1.95770152164937	3.48800228905079	1.53603680383569	3.12578883594263	5.06514115599177	1.83692019781439	5.19057811282368	4.66038409272112	4.94587795435297
"015116cb2ae1efade79e1af688f3c15b"	2.3306126263542	2.71674086101518	2.77137999201965	1.26673124205471	1.27994446729997	2.39989980782947	3.3807679819852	2.5845745934592	3.18540143711743	2.97316759530457	3.2954839148355
"01524ceb0052552ad3c425bf777b0b3a"	2.86350289009041	3.83726411377998	2.85719683871086	3.59083588199424	2.16635016339032	3.16891149964139	4.50146714041196	3.58629463819045	5.04359686991079	4.37293008624475	4.79055032720691
"017a60cbade7b309db182bcabe59d6a4"	5.99028869606603	3.20737603502321	6.25975163696519	2.95607043912102	6.18530007961185	3.57144028432891	3.88708108576335	2.30137716374116	3.50698028810043	3.76518713370774	3.8276593492211
"017d459400583fe36857c77a1d541f39"	3.72996285446471	5.52732334818822	4.10416670004041	5.39982170470114	4.63274823170951	3.87925449437806	5.52522773449225	4.27082028761294	5.33846933825313	5.02528180175133	5.37236661697767
