"sample_088Ab"	"sample_088Ao"	"sample_088Bb"	"sample_088Bo"	"sample_088Cb"	"sample_088Co"	"sample_16_1_1"	"sample_16_1_4"	"sample_16_2_1"	"sample_16_2_4"
"0026fcece5bad932ca77e9b27dd8c599"	2.5057969206795	3.46433930300809	2.24771910835279	3.84134600230157	2.01922699202232	3.29935511414919	5.00444823364995	3.34971957902593	4.96121708274647	3.789148093143
"00306dbb19665982fc78754ac92927bf"	2.71235306497559	3.49244367923963	2.38539039573091	3.79025890371181	2.50107496123471	4.11149063571935	2.48193977238682	2.95384616368784	2.28299717831376	3.027821320873
"0032aede248babc5516f057b3bcd4409"	2.25322466625582	2.75603496165613	1.80035574845341	2.72455065017816	1.9887014033102	2.56914362612936	3.02256503341897	1.88880662446522	2.70353642934456	2.03636440206363
"0034860642bb665e3bc98da83b24f6f7"	2.14100924806395	3.67360539734608	2.23661621605183	3.70666043140902	2.51005281804303	3.46706127410702	3.30128113017792	2.26814995070835	2.93683307483863	2.89678095283442
"0051ee453ff489fa79b20379bcc79b6b"	2.1607203243996	2.89879525059348	1.68838505325635	2.8171142578224	1.77951085080433	3.18000698275622	2.37398004813342	1.88522339592511	1.25827589272424	2.15577665535745
"006c80037cfc5a276d7d1b8ef20cdccd"	2.56374604644889	2.50289915947275	1.52132306904417	2.99317646725305	1.89395258087007	2.40586948585907	2.78991690168542	2.55346711079066	0.675017170393496	2.76748321988921
"00823592d773ca77be3da202ae020b29"	2.8953051243632	3.74855303559955	2.67897697428317	3.83722445641957	2.38826358208313	3.51275545273749	3.29909717504575	2.1391052313606	3.05657371892132	1.85926171917942
"0092362bbf11972deda26d5b9e919f85"	2.6528902393743	4.63534966799293	2.4404530297077	3.7683589437076	2.45992779690253	5.1480396206683	4.89120543817544	1.66931797478197	4.65857769285256	2.01290475867956
"0095b52bd61b59e97345c0564dc8496e"	6.2299162485135	6.19468327085986	5.71531861016252	7.02242829241789	5.86163708645049	6.01135471959158	6.14513243040775	5.48512588353003	5.71709215985505	5.83907875062416
"00a550b3fa43f178639afb2a02540b16"	3.35803375878001	1.6002639601211	3.59401972284244	2.0005525432278	3.89556267443172	0.578801978775085	3.64458011856188	3.57405333621416	3.40579373555818	4.00620997284737
"00b08f570ae6322b03af00df9230f86d"	2.9124908721767	1.39834644214403	2.65599872463041	0.880049894477776	2.1224100308313	0	0.611905671277479	1.5255905428715	0	2.37281445304717
"00bcc118d77be26d37aa6816c6eec493"	3.39551795085091	0	3.48857435847869	0	3.39142175554723	0	0	2.73956618067322	0	2.39330584839184
"00c4a692e67b1c93a289ffcae447cfcf"	2.27852393099678	4.34813939324064	1.70372211155474	4.32281815028634	1.95967215954285	4.48987560156709	4.91048332371871	3.11541261928986	4.56136439019034	3.15784797676697
"00cee8684ccbb62fce87c20103b8aed2"	2.92378611683866	4.43234230133914	2.61223656124981	3.38966109384382	2.31359031280072	4.54353730605022	2.90654077637384	0.890432059700478	2.3824293809837	1.12740898828547
"0112c347c6def14a99ba74cd77bfc94d"	1.8203048131103	3.89165906062277	1.64495948450118	3.970596018251	2.03072387488241	3.80943331415516	3.45327733108006	1.60534488780071	3.18317151838227	1.32465606308192
"011b116b1e264e2cde7ec36aa569ad7c"	2.38506053148464	4.61364854292991	2.08630543120116	3.96466403121759	2.14713289989905	4.60218292857425	4.83024401595929	2.12261016841739	4.88985322591189	1.99813304266913
"0127000197e26a049598b4a6d0225ba2"	3.57270939708958	0.915289689833416	2.92497841154379	0.832124526285831	2.54067475115946	0.996651776959194	0.17896520959305	2.22916183226529	0	2.32364629171513
"013c9c13c8d7029019462bef0627adba"	2.9474076498178	4.2149313981908	2.91681661726382	4.11078255279063	2.62465165636909	4.92344521089855	3.45397618763146	1.0526305682192	3.75791065167579	1.43295292740123
"015116cb2ae1efade79e1af688f3c15b"	4.34135879493783	3.18793320158783	4.67900282023981	3.5205158305607	4.16714169941648	2.9872473784252	2.20815154883239	2.58246853502406	2.35611353757127	3.38041974720093
"01525c063123cb2134c64e84ad1e2118"	2.51429067947616	4.05800694229185	2.42592068464007	4.50942749266328	2.48278773981633	4.21946829263474	3.50085645494235	1.62366620844473	3.71623811938155	1.87527889533655
"0160f5a856b526939ba1062b1cc9df76"	1.91138056161224	3.42576880218575	1.61122536738821	3.08384445912122	1.66002961054623	3.76678122545621	3.39492696361679	1.17424714216405	3.3387479124908	1.8661576611687
"017a60cbade7b309db182bcabe59d6a4"	4.17520754875954	4.41120696724656	3.21836929660442	4.08151359632087	3.22808211661667	4.59252679409913	4.95434888112948	5.14754854511918	4.37912141861755	5.3359837666131
"017d459400583fe36857c77a1d541f39"	3.5858462282152	5.07773565591595	3.63207203749079	5.45595886067287	3.60639255349965	5.48340326569125	5.83041976581375	3.48691136184084	5.43989926050183	4.18355401888583
"018de0ee05bc68de9383baf688539f9f"	2.74277756042271	3.89299809115043	2.73049382060838	3.20686919140612	2.73538683068147	3.73597417820307	4.20697669546922	2.7734186277729	4.43594422632915	2.89841421931827
