"sample_020Bb"	"sample_020Bo"	"sample_020Cb"	"sample_020Co"	"sample_020Db"	"sample_020Do"	"sample_043Cb"	"sample_043Co"	"sample_056Ab"	"sample_056Ao"	"sample_40_2_1"	"sample_40_2_4"
"00306dbb19665982fc78754ac92927bf"	3.26771960447526	4.80785879829288	3.95105480927813	4.42730620539703	3.36722047591833	4.25297112035842	1.62152784979051	3.11344435036465	1.79893838202631	3.15505610840337	1.89846961796236	0.400409236820555
"0051ee453ff489fa79b20379bcc79b6b"	1.81397817790943	2.93629019107775	2.55810517080816	3.11316873355318	1.60589522854176	3.03533834164761	1.51056781990225	2.52312199457686	1.45467110775738	2.67608646936999	1.54522324549091	0.229612307716522
"00539cb2af8b7b06ee1279130fa2f307"	2.00289458129608	4.37487672933642	3.29115049223728	4.41061435252543	2.1295954640247	4.06601607755993	1.85162163174008	3.49097368328872	2.42703424529751	4.15093984967644	3.31487452828524	1.24380337849419
"006c80037cfc5a276d7d1b8ef20cdccd"	3.69237755560237	0	3.1113215522069	0.753150876229689	3.81318431490403	0.247912199829091	1.72305394059846	2.43793273822944	1.5465971463208	0.88364147218024	0.115085230582893	0.606687096893043
"00823592d773ca77be3da202ae020b29"	2.46288971271645	3.79582342544386	2.93451899101082	4.02001016443603	2.31947092154603	3.66585440037414	1.59709464679483	3.26886077975276	2.38712888633511	3.28761975337142	2.14596508354701	0.553533327219064
"0092362bbf11972deda26d5b9e919f85"	2.90779290247465	4.79392050063143	3.72081581606859	4.71910368835638	2.30520725212794	4.44044821982137	1.49726222616816	4.05928503000084	2.02408447502765	4.24449334513106	4.04145539862117	1.5796689821172
"0095b52bd61b59e97345c0564dc8496e"	6.75999670802805	7.4509478067342	7.15739318268075	7.06069865202205	6.81568790997879	7.4646496254384	7.56191344658424	8.54917841043884	8.07678671769597	8.34839988121315	9.54468893670168	8.66200146068248
"00a550b3fa43f178639afb2a02540b16"	3.69052220406108	3.3218177541024	3.73428800229766	3.86559532838706	3.5772966199216	3.58353971601803	2.77620224808418	2.9848380969185	4.03744971364578	3.16159453289081	3.46432124639504	0.884552356086942
"00bcc118d77be26d37aa6816c6eec493"	2.39082305075915	0.175672836288781	2.1831220469101	0.569957555604261	2.10240045716355	0.359147484688998	1.8981266280506	0.365190880203047	2.32235762179805	0.403907228577095	0	1.44166118490928
"00cee8684ccbb62fce87c20103b8aed2"	3.06512343904469	4.74001879070773	3.7434222780568	4.36563578563762	2.71466322014521	3.95195031503719	0.678955355895438	2.58568173560987	0.492207969294036	2.66797761622657	0.906430453259081	0.386293401383151
