"sample_016Bb"	"sample_016Bo"	"sample_016Cb"	"sample_016Co"	"sample_028Ab"	"sample_028Ao"	"sample_CFAb"	"sample_CFAo"	"sample_CFBb"	"sample_CFBo"	"sample_CFCb"	"sample_CFCo"
"00306dbb19665982fc78754ac92927bf"	3.34694057760738	4.68499313720926	3.83940110698125	5.46739440481394	3.37275534793579	4.54124946863712	3.58543928400651	2.62491011819617	3.36090112298382	2.79400596017524	3.33504634541391	3.65726616035692
"00539cb2af8b7b06ee1279130fa2f307"	1.50908863374988	2.86935394196391	1.53082850438503	3.05195213487212	1.34613972033702	2.79117419593519	2.44969113178826	4.51070274697797	2.32097809979093	4.65243751504201	4.27124511857527	4.55131909691513
"006c80037cfc5a276d7d1b8ef20cdccd"	3.67130385415048	2.54056539338816	2.659253436911	1.70335457629138	1.91170431463713	0.682860958301575	3.07593806610919	2.38405678238062	2.57361873897985	1.5133557656137	2.08067798044198	1.57584134739554
"0092362bbf11972deda26d5b9e919f85"	1.18610960312656	2.93328330112149	1.46618259532455	3.18375608322446	1.44517440321817	2.66240101888022	1.48654685300898	4.22295129860826	1.28530649370849	4.19377859089752	3.40983305334999	3.40731701842988
"0095b52bd61b59e97345c0564dc8496e"	6.62691685260544	6.8311478052137	7.4704519720516	7.50847902831682	6.98941275053016	6.99522721256596	5.63405024419647	5.56909765518585	4.88649485289338	4.64967759222818	5.32789480939254	5.42269644926596
"00cee8684ccbb62fce87c20103b8aed2"	1.73364047653287	1.95247185958285	1.43450245115513	2.38948913088971	0.997453304572412	1.85168470927917	2.09176516916119	3.85020666332935	1.1252211052926	3.71708353765595	3.50072734659853	3.52898892326627
"011b116b1e264e2cde7ec36aa569ad7c"	0.959135060066762	2.77880782839755	1.06107879702975	3.05545358528694	1.12660674872291	2.49138740551638	2.80685632357778	4.83672136593079	2.90227046445955	5.00152232349245	4.58880524786174	4.88154677157744
"013c9c13c8d7029019462bef0627adba"	2.55203626426701	3.74180778235484	2.20029397302911	3.26093071026607	2.08823427207899	3.7139253213757	3.12578883594263	5.06514115599177	1.83692019781439	5.19057811282368	4.66038409272112	4.94587795435297
"01524ceb0052552ad3c425bf777b0b3a"	1.76110299142773	2.4159721694534	1.8193553429491	2.87784416987816	2.17631254821468	2.1582665852243	3.16891149964139	4.50146714041196	3.58629463819045	5.04359686991079	4.37293008624475	4.79055032720691
"0160f5a856b526939ba1062b1cc9df76"	1.2493970243415	2.43291635816834	1.21324666880355	2.62965880149096	1.1652623289792	2.58057706772908	2.24982377421737	4.36406641110914	1.10109453866824	4.05623167253907	4.02521110942549	4.09294010977364
"017a60cbade7b309db182bcabe59d6a4"	1.51189696631975	0.371811801479201	2.18900600833974	0.488889169479432	1.25261952963708	0.630314936237133	3.57144028432891	3.88708108576335	2.30137716374116	3.50698028810043	3.76518713370774	3.8276593492211
"017d459400583fe36857c77a1d541f39"	2.43489104757598	4.79754390838387	3.37429866658284	5.01004534677822	3.02865787748089	4.32459056464396	3.87925449437806	5.52522773449225	4.27082028761294	5.33846933825313	5.02528180175133	5.37236661697767
"018de0ee05bc68de9383baf688539f9f"	1.66386435766991	2.9779573487267	2.26310570066594	3.72775657047818	1.98031443115074	3.36233957438377	2.11440223226983	3.83819354217953	1.80990844240993	4.03440345675513	3.56285195104166	3.7064267950646
"019ee757485f09fa0c7881843036a765"	1.85697276265559	1.61332295587016	2.4119432275153	1.97771704656914	2.34300931241227	1.31799865726938	3.42082901394736	2.84647420535894	2.41767793554588	3.85765095548011	4.00850413576587	3.62106988225176
"019f94720ba42ef1861b87fc58cdd3de"	2.1305719415508	3.00216359817906	2.54322422024996	3.55121992387075	1.98702206725792	2.61493843634505	3.39922290032285	5.0273777667676	2.08459125909438	4.9829339571641	4.87761692794638	5.15672841019881
