"sample_002Cb"	"sample_002Co"	"sample_020Bb"	"sample_020Bo"	"sample_020Cb"	"sample_020Co"	"sample_020Db"	"sample_020Do"	"sample_032Ab"	"sample_032Ao"	"sample_032Bb"	"sample_032Bo"
"00306dbb19665982fc78754ac92927bf"	2.77649887361831	2.83346374542469	3.26771960447526	4.80785879829288	3.95105480927813	4.42730620539703	3.36722047591833	4.25297112035842	1.84559294898146	2.7800125774472	2.26994103251022	2.28116536297025
"0032aede248babc5516f057b3bcd4409"	2.7149786108116	4.17283209200237	2.44962990286275	3.23942096781706	2.60467055324363	3.39757898719653	1.82826491802882	3.24571608632723	1.98587550247762	4.1021007219649	1.58080775287044	3.25706454416049
"0034860642bb665e3bc98da83b24f6f7"	2.35335567579169	2.48240360311207	1.20879733217147	2.2395822630702	1.3773869364132	2.33158769474961	1.09225709091451	2.07055911464886	2.38953203457443	3.1068360301847	2.44657512785367	2.72496932870087
"0051ee453ff489fa79b20379bcc79b6b"	1.11314110425696	2.54194405328656	1.81397817790943	2.93629019107775	2.55810517080816	3.11316873355318	1.60589522854176	3.03533834164761	1.31020396852998	2.91837506818275	1.14983081522815	2.20989062136022
"00539cb2af8b7b06ee1279130fa2f307"	2.05926780776313	3.75758180550668	2.00289458129608	4.37487672933642	3.29115049223728	4.41061435252543	2.1295954640247	4.06601607755993	2.64650077771755	4.11740406824264	2.26602840176231	3.5933496232009
"006c80037cfc5a276d7d1b8ef20cdccd"	2.69676649203356	2.3906656659168	3.69237755560237	0	3.1113215522069	0.753150876229689	3.81318431490403	0.247912199829091	1.45907329052186	0.635450118746671	2.06063034487378	4.84595238827701
"00823592d773ca77be3da202ae020b29"	2.63137805086797	2.62479771562831	2.46288971271645	3.79582342544386	2.93451899101082	4.02001016443603	2.31947092154603	3.66585440037414	3.03836134779674	2.73221861434901	2.26275276270948	2.71336108521088
"008810a5ca2332a04d285ca396b6a5f1"	1.12801703373601	3.18720673112703	2.25948383626136	3.36366760074349	2.93451899101082	4.05584937247971	1.62235729662952	3.56966294152024	0.96871125070545	3.47899495552325	1.32087892226901	2.20329257419331
"0092362bbf11972deda26d5b9e919f85"	2.08069275858139	4.25000768344732	2.90779290247465	4.79392050063143	3.72081581606859	4.71910368835638	2.30520725212794	4.44044821982137	1.77841955355073	4.47582322639966	2.10357021479843	3.72023009665233
"0095b52bd61b59e97345c0564dc8496e"	4.76463885165755	5.83337156452353	6.75999670802805	7.4509478067342	7.15739318268075	7.06069865202205	6.81568790997879	7.4646496254384	5.74576046315788	5.98478106229775	5.65452110748807	6.46171569259405
"00b08f570ae6322b03af00df9230f86d"	1.53897469748732	1.44922852921162	1.86769652948454	0	2.47911759214871	0.639864540314357	2.59429125791423	0.313417068401069	1.60880679783936	0.799328399067572	1.65444950378834	1.26426602430395
"00bcc118d77be26d37aa6816c6eec493"	2.6797814450598	0.170047369543551	2.39082305075915	0.175672836288781	2.1831220469101	0.569957555604261	2.10240045716355	0.359147484688998	1.98818580649548	0	2.82774808374984	0.554714654119703
"00c4a692e67b1c93a289ffcae447cfcf"	2.23639398076231	3.79093669592108	2.1369870750238	4.38077234838561	3.76032736286256	4.44590553205753	2.33042591549876	4.60853280603898	2.73348748462049	3.70267402464347	2.46439271363719	3.22902191762921
