"sample_008Ab"	"sample_008Ao"	"sample_012Ab"	"sample_012Ao"	"sample_024Bb"	"sample_024Bo"	"sample_040Bb"	"sample_040Bo"	"sample_040Db"	"sample_040Do"	"sample_18_0_14"	"sample_18_0_17"
"00306dbb19665982fc78754ac92927bf"	1.14168003620066	3.05947180644256	1.42545103178093	2.308609330465	1.1676869397181	2.75750968410333	2.67480890898749	3.40849235679921	2.40850208888371	3.49497777090629	3.96822759297345	3.07463299294176
"0051ee453ff489fa79b20379bcc79b6b"	1.34042318256374	2.66802233562245	1.27196737767908	2.16678885182094	0.901603399122278	2.45020995448319	0.919076202477152	1.76632737948895	1.08486004750821	1.8952114506445	2.3897134435495	1.56591380569541
"00539cb2af8b7b06ee1279130fa2f307"	1.46063247429251	3.74708282683313	0.954038499484924	3.09374706397674	1.09226716145969	3.85717942506772	2.26007417304183	4.43655388169503	2.10994649811804	4.31120307063428	4.0669939201993	2.67140004789361
"006c80037cfc5a276d7d1b8ef20cdccd"	2.60049543093496	2.11384641104977	1.46484509440062	1.82182226691346	2.15794354853774	3.83224386719806	1.27264016318804	3.21872391636426	1.98811195878326	2.59619472515376	1.34327102821263	2.10717227402822
"0092362bbf11972deda26d5b9e919f85"	1.50390293711463	3.7974463737599	1.23008197410087	3.00366075987611	0.799334354441691	3.70103625980123	4.4446257764304	5.03666230053986	3.59971211835086	4.99230362441128	5.3469508517773	4.7830636197673
"0095b52bd61b59e97345c0564dc8496e"	7.13561910823496	8.26891014955157	6.4299584414206	7.64784570253546	6.30534341128089	7.44762015839823	7.2781841229063	8.0324231858856	7.55850333659167	7.77451827274606	7.9921169414333	7.5102996775346
"00a550b3fa43f178639afb2a02540b16"	3.59432973508601	2.46162352257293	3.86298852641627	2.916118827901	3.6901330430429	2.55371378180422	3.91797326745464	2.54867925268507	2.92146121117871	1.92107574069811	1.56671828521394	3.45350832473626
"00c4a692e67b1c93a289ffcae447cfcf"	3.11709600198271	3.82394844527772	2.50710306002508	4.21032812795133	1.99422196754317	3.59140057437899	2.12800548978815	4.1933886713187	1.85537569017753	3.81562883832181	3.87835246155087	2.59710374270481
"00cee8684ccbb62fce87c20103b8aed2"	1.03244964074383	3.86896203863665	0.706655941323986	2.7190900172501	0.917036999697315	3.15387574129798	2.84812969316222	3.19628323472499	2.38557556078559	2.94811559123915	3.09929440064321	2.30090910479347
"00ebf8e1ef000771b72c70f2036cc4f0"	1.69693125659223	0.246395126108177	1.4523231774657	0	0.822981748340178	0.400308502306564	3.93769854941728	0.360607202466337	2.84775996820322	0	0	4.48196020104521
"0112c347c6def14a99ba74cd77bfc94d"	2.2722774204191	3.97572336290467	1.87102726134746	3.86047009839678	1.78553429967128	3.58256125780413	1.08312633113266	2.79814072154914	1.28699875002431	2.80321491578154	3.36865008498288	2.05800082344499
"011b116b1e264e2cde7ec36aa569ad7c"	1.27568956266247	3.04693072594418	1.15332614293146	3.12238496833934	0.775114189423935	2.96805450356149	2.75340590282301	4.15221873836161	2.62167861939992	4.10212587579043	4.28141040263936	3.24386107756211
"0127000197e26a049598b4a6d0225ba2"	0.724839627292435	0	0.501953381566355	0	1.31216869650197	0.564395774148579	1.7479468962714	0.210098837793401	1.98272412217803	0.417196030983863	0.0954919814592207	2.64566402866611
"013c9c13c8d7029019462bef0627adba"	1.76068323293224	3.42848207905065	0.906989610239071	2.32568326440668	1.01387468832435	2.94031654623578	4.18860763765862	4.15863646548142	4.13596098127204	3.70887535611766	4.4699998160834	3.18407406552119
